"Evaluate/step_episode","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpRet","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpRet__MIN","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpRet__MAX","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step__MIN","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step__MAX","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpRet","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpRet__MIN","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpRet__MAX","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step__MIN","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step__MAX","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpRet","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpRet__MIN","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpRet__MAX","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step__MIN","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step__MAX","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpRet","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpRet__MIN","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpRet__MAX","4090_ppo_dis_2025-07-30_13-18-07 - _step","4090_ppo_dis_2025-07-30_13-18-07 - _step__MIN","4090_ppo_dis_2025-07-30_13-18-07 - _step__MAX","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpRet","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpRet__MIN","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpRet__MAX","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step__MIN","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step__MAX","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpRet","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpRet__MIN","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpRet__MAX","4090_dqn_2025-07-29_13-21-06 - _step","4090_dqn_2025-07-29_13-21-06 - _step__MIN","4090_dqn_2025-07-29_13-21-06 - _step__MAX","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpRet","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpRet__MIN","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpRet__MAX","penalty_4070_dqn_2025-07-27_11-39-32 - _step","penalty_4070_dqn_2025-07-27_11-39-32 - _step__MIN","penalty_4070_dqn_2025-07-27_11-39-32 - _step__MAX","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpRet","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpRet__MIN","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpRet__MAX","4070_rl_filter_2025-07-20_12-17-12 - _step","4070_rl_filter_2025-07-20_12-17-12 - _step__MIN","4070_rl_filter_2025-07-20_12-17-12 - _step__MAX"
"10","1.3219999074935913","1.3219999074935913","1.3219999074935913","1282","1282","1282","1.4179999828338623","1.4179999828338623","1.4179999828338623","1122","1122","1122","1.3319998979568481","1.3319998979568481","1.3319998979568481","1185","1185","1185","-103.57530212402344","-103.57530212402344","-103.57530212402344","1165","1165","1165","-205.29837036132812","-205.29837036132812","-205.29837036132812","2071","2071","2071","-173.49679565429688","-173.49679565429688","-173.49679565429688","2078","2078","2078","-171.69671630859375","-171.69671630859375","-171.69671630859375","2080","2080","2080","-205.29837036132812","-205.29837036132812","-205.29837036132812","2073","2073","2073"
"11","1.3579999208450317","1.3579999208450317","1.3579999208450317","1286","1286","1286","1.375999927520752","1.375999927520752","1.375999927520752","1126","1126","1126","1.3519998788833618","1.3519998788833618","1.3519998788833618","1189","1189","1189","-108.87516784667969","-108.87516784667969","-108.87516784667969","1169","1169","1169","-205.29837036132812","-205.29837036132812","-205.29837036132812","2074","2074","2074","-173.5968017578125","-173.5968017578125","-173.5968017578125","2082","2082","2082","0.9739998579025269","0.9739998579025269","0.9739998579025269","2084","2084","2084","-205.29837036132812","-205.29837036132812","-205.29837036132812","2076","2076","2076"
"12","1.1319998502731323","1.1319998502731323","1.1319998502731323","1290","1290","1290","1.5739998817443848","1.5739998817443848","1.5739998817443848","1130","1130","1130","1.1519999504089355","1.1519999504089355","1.1519999504089355","1193","1193","1193","1.1419999599456787","1.1419999599456787","1.1419999599456787","1173","1173","1173","-178.2970428466797","-178.2970428466797","-178.2970428466797","2078","2078","2078","-112.8350601196289","-112.8350601196289","-112.8350601196289","2086","2086","2086","-125.3347396850586","-125.3347396850586","-125.3347396850586","2088","2088","2088","-178.09703063964844","-178.09703063964844","-178.09703063964844","2080","2080","2080"
"13","1.8979997634887695","1.8979997634887695","1.8979997634887695","1294","1294","1294","1.9199999570846558","1.9199999570846558","1.9199999570846558","1134","1134","1134","1.835999846458435","1.835999846458435","1.835999846458435","1197","1197","1197","1.8139997720718384","1.8139997720718384","1.8139997720718384","1177","1177","1177","-153.19580078125","-153.19580078125","-153.19580078125","2082","2082","2082","-31.05593490600586","-31.05593490600586","-31.05593490600586","2090","2090","2090","-36.455955505371094","-36.455955505371094","-36.455955505371094","2092","2092","2092","-153.09579467773438","-153.09579467773438","-153.09579467773438","2084","2084","2084"
"14","1.9079997539520264","1.9079997539520264","1.9079997539520264","1298","1298","1298","1.9039998054504395","1.9039998054504395","1.9039998054504395","1138","1138","1138","1.6719999313354492","1.6719999313354492","1.6719999313354492","1201","1201","1201","1.8359999656677246","1.8359999656677246","1.8359999656677246","1181","1181","1181","-153.19580078125","-153.19580078125","-153.19580078125","2086","2086","2086","-43.85604476928711","-43.85604476928711","-43.85604476928711","2094","2094","2094","-43.15603256225586","-43.15603256225586","-43.15603256225586","2096","2096","2096","-153.09579467773438","-153.09579467773438","-153.09579467773438","2088","2088","2088"
"15","1.4119997024536133","1.4119997024536133","1.4119997024536133","1302","1302","1302","1.1479997634887695","1.1479997634887695","1.1479997634887695","1142","1142","1142","-161.4962158203125","-161.4962158203125","-161.4962158203125","1205","1205","1205","0.9779999256134033","0.9779999256134033","0.9779999256134033","1185","1185","1185","-178.9970703125","-178.9970703125","-178.9970703125","2090","2090","2090","-176.69696044921875","-176.69696044921875","-176.69696044921875","2098","2098","2098","-178.49705505371094","-178.49705505371094","-178.49705505371094","2100","2100","2100","-178.9970703125","-178.9970703125","-178.9970703125","2092","2092","2092"
"16","2.052000045776367","2.052000045776367","2.052000045776367","1306","1306","1306","2.0739998817443848","2.0739998817443848","2.0739998817443848","1146","1146","1146","-81.83585357666016","-81.83585357666016","-81.83585357666016","1209","1209","1209","1.9799997806549072","1.9799997806549072","1.9799997806549072","1189","1189","1189","-143.69534301757812","-143.69534301757812","-143.69534301757812","2094","2094","2094","-137.89505004882812","-137.89505004882812","-137.89505004882812","2102","2102","2102","-137.4950408935547","-137.4950408935547","-137.4950408935547","2104","2104","2104","-143.69534301757812","-143.69534301757812","-143.69534301757812","2096","2096","2096"
"17","1.9459999799728394","1.9459999799728394","1.9459999799728394","1310","1310","1310","1.9660000801086426","1.9660000801086426","1.9660000801086426","1150","1150","1150","-103.435302734375","-103.435302734375","-103.435302734375","1213","1213","1213","2.0199999809265137","2.0199999809265137","2.0199999809265137","1193","1193","1193","-143.69534301757812","-143.69534301757812","-143.69534301757812","2098","2098","2098","-137.0950164794922","-137.0950164794922","-137.0950164794922","2106","2106","2106","-137.5950469970703","-137.5950469970703","-137.5950469970703","2108","2108","2108","-143.69534301757812","-143.69534301757812","-143.69534301757812","2100","2100","2100"
"18","-333.3932800292969","-333.3932800292969","-333.3932800292969","1923","1923","1923","-358.2908020019531","-358.2908020019531","-358.2908020019531","1736","1736","1736","0.8599998950958252","0.8599998950958252","0.8599998950958252","1743","1743","1743","-333.59326171875","-333.59326171875","-333.59326171875","1729","1729","1729","0.8059998750686646","0.8059998750686646","0.8059998750686646","3143","3143","3143","0.7779998779296875","0.7779998779296875","0.7779998779296875","3151","3151","3151","0.8339998722076416","0.8339998722076416","0.8339998722076416","3145","3145","3145","0.9419999122619629","0.9419999122619629","0.9419999122619629","3141","3141","3141"
"19","-181.09716796875","-181.09716796875","-181.09716796875","1927","1927","1927","-205.29837036132812","-205.29837036132812","-205.29837036132812","1739","1739","1739","1.1399998664855957","1.1399998664855957","1.1399998664855957","1747","1747","1747","-180.99716186523438","-180.99716186523438","-180.99716186523438","1733","1733","1733","1.2259998321533203","1.2259998321533203","1.2259998321533203","3147","3147","3147","1.3739999532699585","1.3739999532699585","1.3739999532699585","3155","3155","3155","1.3839998245239258","1.3839998245239258","1.3839998245239258","3149","3149","3149","1.3659999370574951","1.3659999370574951","1.3659999370574951","3145","3145","3145"
"20","-182.0972137451172","-182.0972137451172","-182.0972137451172","1931","1931","1931","-205.29837036132812","-205.29837036132812","-205.29837036132812","1742","1742","1742","1.1499998569488525","1.1499998569488525","1.1499998569488525","1751","1751","1751","-180.6971435546875","-180.6971435546875","-180.6971435546875","1737","1737","1737","1.363999843597412","1.363999843597412","1.363999843597412","3151","3151","3151","1.4759998321533203","1.4759998321533203","1.4759998321533203","3159","3159","3159","1.4639999866485596","1.4639999866485596","1.4639999866485596","3153","3153","3153","1.4559998512268066","1.4559998512268066","1.4559998512268066","3149","3149","3149"
"21","-132.2747802734375","-132.2747802734375","-132.2747802734375","1935","1935","1935","-172.0967254638672","-172.0967254638672","-172.0967254638672","1746","1746","1746","1.1339998245239258","1.1339998245239258","1.1339998245239258","1755","1755","1755","-177.29698181152344","-177.29698181152344","-177.29698181152344","1741","1741","1741","1.1599998474121094","1.1599998474121094","1.1599998474121094","3155","3155","3155","0.9279998540878296","0.9279998540878296","0.9279998540878296","3163","3163","3163","1.3199999332427979","1.3199999332427979","1.3199999332427979","3157","3157","3157","1.5239999294281006","1.5239999294281006","1.5239999294281006","3153","3153","3153"
"22","-114.47502899169922","-114.47502899169922","-114.47502899169922","1939","1939","1939","-138.89511108398438","-138.89511108398438","-138.89511108398438","1750","1750","1750","1.8519998788833618","1.8519998788833618","1.8519998788833618","1759","1759","1759","-151.99574279785156","-151.99574279785156","-151.99574279785156","1745","1745","1745","1.895999789237976","1.895999789237976","1.895999789237976","3159","3159","3159","1.8880000114440918","1.8880000114440918","1.8880000114440918","3167","3167","3167","1.9880001544952393","1.9880001544952393","1.9880001544952393","3161","3161","3161","2.191999912261963","2.191999912261963","2.191999912261963","3157","3157","3157"
"23","-153.69583129882812","-153.69583129882812","-153.69583129882812","1943","1943","1943","-138.09506225585938","-138.09506225585938","-138.09506225585938","1754","1754","1754","1.9219999313354492","1.9219999313354492","1.9219999313354492","1763","1763","1763","-152.4957733154297","-152.4957733154297","-152.4957733154297","1749","1749","1749","1.944000005722046","1.944000005722046","1.944000005722046","3163","3163","3163","1.9459998607635498","1.9459998607635498","1.9459998607635498","3171","3171","3171","1.9839999675750732","1.9839999675750732","1.9839999675750732","3165","3165","3165","0.1640002727508545","0.1640002727508545","0.1640002727508545","3161","3161","3161"
"24","-151.47572326660156","-151.47572326660156","-151.47572326660156","1947","1947","1947","1.5559998750686646","1.5559998750686646","1.5559998750686646","1758","1758","1758","1.181999921798706","1.181999921798706","1.181999921798706","1767","1767","1767","-23.81396484375","-23.81396484375","-23.81396484375","1753","1753","1753","1.1899998188018799","1.1899998188018799","1.1899998188018799","3167","3167","3167","1.8259999752044678","1.8259999752044678","1.8259999752044678","3175","3175","3175","1.3899998664855957","1.3899998664855957","1.3899998664855957","3169","3169","3169","1.4739997386932373","1.4739997386932373","1.4739997386932373","3165","3165","3165"
"25","-107.57520294189453","-107.57520294189453","-107.57520294189453","1951","1951","1951","1.6579999923706055","1.6579999923706055","1.6579999923706055","1762","1762","1762","2.0260000228881836","2.0260000228881836","2.0260000228881836","1771","1771","1771","-18.332006454467773","-18.332006454467773","-18.332006454467773","1757","1757","1757","2.0480000972747803","2.0480000972747803","2.0480000972747803","3171","3171","3171","2.0500001907348633","2.0500001907348633","2.0500001907348633","3179","3179","3179","2.007999897003174","2.007999897003174","2.007999897003174","3173","3173","3173","2.0420000553131104","2.0420000553131104","2.0420000553131104","3169","3169","3169"
"26","-109.47515106201172","-109.47515106201172","-109.47515106201172","1955","1955","1955","1.9539999961853027","1.9539999961853027","1.9539999961853027","1766","1766","1766","2.049999952316284","2.049999952316284","2.049999952316284","1775","1775","1775","-25.95995330810547","-25.95995330810547","-25.95995330810547","1761","1761","1761","1.9719998836517334","1.9719998836517334","1.9719998836517334","3175","3175","3175","2.064000129699707","2.064000129699707","2.064000129699707","3183","3183","3183","2.0220000743865967","2.0220000743865967","2.0220000743865967","3177","3177","3177","2.005999803543091","2.005999803543091","2.005999803543091","3173","3173","3173"
"27","0.8259998559951782","0.8259998559951782","0.8259998559951782","2497","2497","2497","1.091999888420105","1.091999888420105","1.091999888420105","2447","2447","2447","0.8479999303817749","0.8479999303817749","0.8479999303817749","2323","2323","2323","0.6939998269081116","0.6939998269081116","0.6939998269081116","2310","2310","2310","1.053999900817871","1.053999900817871","1.053999900817871","4216","4216","4216","1.0179998874664307","1.0179998874664307","1.0179998874664307","4251","4251","4251","0.5839998722076416","0.5839998722076416","0.5839998722076416","4226","4226","4226","0.8059998750686646","0.8059998750686646","0.8059998750686646","4212","4212","4212"
"28","1.1279999017715454","1.1279999017715454","1.1279999017715454","2501","2501","2501","1.2779998779296875","1.2779998779296875","1.2779998779296875","2451","2451","2451","1.1779998540878296","1.1779998540878296","1.1779998540878296","2327","2327","2327","0.9339998960494995","0.9339998960494995","0.9339998960494995","2314","2314","2314","1.363999843597412","1.363999843597412","1.363999843597412","4220","4220","4220","1.2739999294281006","1.2739999294281006","1.2739999294281006","4255","4255","4255","1.2480000257492065","1.2480000257492065","1.2480000257492065","4230","4230","4230","1.0999999046325684","1.0999999046325684","1.0999999046325684","4216","4216","4216"
"29","1.2159998416900635","1.2159998416900635","1.2159998416900635","2505","2505","2505","1.2939999103546143","1.2939999103546143","1.2939999103546143","2455","2455","2455","1.153999924659729","1.153999924659729","1.153999924659729","2331","2331","2331","0.9659999012947083","0.9659999012947083","0.9659999012947083","2318","2318","2318","1.253999948501587","1.253999948501587","1.253999948501587","4224","4224","4224","1.5239999294281006","1.5239999294281006","1.5239999294281006","4259","4259","4259","1.2679998874664307","1.2679998874664307","1.2679998874664307","4234","4234","4234","1.247999906539917","1.247999906539917","1.247999906539917","4220","4220","4220"
"30","1.1419999599456787","1.1419999599456787","1.1419999599456787","2509","2509","2509","1.4959999322891235","1.4959999322891235","1.4959999322891235","2459","2459","2459","1.0759999752044678","1.0759999752044678","1.0759999752044678","2335","2335","2335","1.309999942779541","1.309999942779541","1.309999942779541","2322","2322","2322","1.9520000219345093","1.9520000219345093","1.9520000219345093","4228","4228","4228","1.7420001029968262","1.7420001029968262","1.7420001029968262","4263","4263","4263","1.4939998388290405","1.4939998388290405","1.4939998388290405","4238","4238","4238","2.0219998359680176","2.0219998359680176","2.0219998359680176","4224","4224","4224"
"31","1.9160001277923584","1.9160001277923584","1.9160001277923584","2513","2513","2513","1.8859997987747192","1.8859997987747192","1.8859997987747192","2463","2463","2463","1.8380000591278076","1.8380000591278076","1.8380000591278076","2339","2339","2339","1.7799999713897705","1.7799999713897705","1.7799999713897705","2326","2326","2326","1.9479999542236328","1.9479999542236328","1.9479999542236328","4232","4232","4232","1.8980000019073486","1.8980000019073486","1.8980000019073486","4267","4267","4267","1.8319998979568481","1.8319998979568481","1.8319998979568481","4242","4242","4242","1.944000005722046","1.944000005722046","1.944000005722046","4228","4228","4228"
"32","1.8919998407363892","1.8919998407363892","1.8919998407363892","2517","2517","2517","1.6999998092651367","1.6999998092651367","1.6999998092651367","2467","2467","2467","1.8959999084472656","1.8959999084472656","1.8959999084472656","2343","2343","2343","1.7959997653961182","1.7959997653961182","1.7959997653961182","2330","2330","2330","1.9179999828338623","1.9179999828338623","1.9179999828338623","4236","4236","4236","1.931999921798706","1.931999921798706","1.931999921798706","4271","4271","4271","1.9399999380111694","1.9399999380111694","1.9399999380111694","4246","4246","4246","1.931999921798706","1.931999921798706","1.931999921798706","4232","4232","4232"
"33","1.157999873161316","1.157999873161316","1.157999873161316","2521","2521","2521","1.2699997425079346","1.2699997425079346","1.2699997425079346","2471","2471","2471","1.1759998798370361","1.1759998798370361","1.1759998798370361","2347","2347","2347","2.007999897003174","2.007999897003174","2.007999897003174","2334","2334","2334","1.8559997081756592","1.8559997081756592","1.8559997081756592","4240","4240","4240","2.2039999961853027","2.2039999961853027","2.2039999961853027","4275","4275","4275","2.0260000228881836","2.0260000228881836","2.0260000228881836","4250","4250","4250","1.8459999561309814","1.8459999561309814","1.8459999561309814","4236","4236","4236"
"34","2.0460000038146973","2.0460000038146973","2.0460000038146973","2525","2525","2525","2.070000171661377","2.070000171661377","2.070000171661377","2475","2475","2475","2.2879998683929443","2.2879998683929443","2.2879998683929443","2351","2351","2351","1.9779999256134033","1.9779999256134033","1.9779999256134033","2338","2338","2338","1.9959999322891235","1.9959999322891235","1.9959999322891235","4244","4244","4244","2.259999990463257","2.259999990463257","2.259999990463257","4279","4279","4279","2.182000160217285","2.182000160217285","2.182000160217285","4254","4254","4254","1.999999761581421","1.999999761581421","1.999999761581421","4240","4240","4240"
"35","2.049999952316284","2.049999952316284","2.049999952316284","2529","2529","2529","1.9220000505447388","1.9220000505447388","1.9220000505447388","2479","2479","2479","1.9499998092651367","1.9499998092651367","1.9499998092651367","2355","2355","2355","2.01200008392334","2.01200008392334","2.01200008392334","2342","2342","2342","2.059999942779541","2.059999942779541","2.059999942779541","4248","4248","4248","1.9640002250671387","1.9640002250671387","1.9640002250671387","4283","4283","4283","2.0260000228881836","2.0260000228881836","2.0260000228881836","4258","4258","4258","1.9919999837875366","1.9919999837875366","1.9919999837875366","4244","4244","4244"
"36","-290.37762451171875","-290.37762451171875","-290.37762451171875","3076","3076","3076","1.0739998817443848","1.0739998817443848","1.0739998817443848","2999","2999","2999","0.6379998922348022","0.6379998922348022","0.6379998922348022","2885","2885","2885","0.4879998564720154","0.4879998564720154","0.4879998564720154","2881","2881","2881","0.7159998416900635","0.7159998416900635","0.7159998416900635","5291","5291","5291","0.6939998865127563","0.6939998865127563","0.6939998865127563","5375","5375","5375","0.7939998507499695","0.7939998507499695","0.7939998507499695","5315","5315","5315","0.931999921798706","0.931999921798706","0.931999921798706","5282","5282","5282"
