"Evaluate/step_episode","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step__MIN","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step__MAX","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpProgress","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpProgress__MIN","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpProgress__MAX","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step__MIN","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step__MAX","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpProgress","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpProgress__MIN","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpProgress__MAX","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step__MIN","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step__MAX","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpProgress","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpProgress__MIN","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpProgress__MAX","4090_ppo_dis_2025-07-30_13-18-07 - _step","4090_ppo_dis_2025-07-30_13-18-07 - _step__MIN","4090_ppo_dis_2025-07-30_13-18-07 - _step__MAX","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpProgress","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpProgress__MIN","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpProgress__MAX","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step__MIN","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step__MAX","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpProgress","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpProgress__MIN","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpProgress__MAX","4090_dqn_2025-07-29_13-21-06 - _step","4090_dqn_2025-07-29_13-21-06 - _step__MIN","4090_dqn_2025-07-29_13-21-06 - _step__MAX","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpProgress","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpProgress__MIN","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpProgress__MAX","penalty_4070_dqn_2025-07-27_11-39-32 - _step","penalty_4070_dqn_2025-07-27_11-39-32 - _step__MIN","penalty_4070_dqn_2025-07-27_11-39-32 - _step__MAX","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpProgress","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpProgress__MIN","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpProgress__MAX","4070_rl_filter_2025-07-20_12-17-12 - _step","4070_rl_filter_2025-07-20_12-17-12 - _step__MIN","4070_rl_filter_2025-07-20_12-17-12 - _step__MAX","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpProgress","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpProgress__MIN","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpProgress__MAX"
"14","1298","1298","1298","1","1","1","1138","1138","1138","1","1","1","1201","1201","1201","1","1","1","1181","1181","1181","1","1","1","2086","2086","2086","0","0","0","2094","2094","2094","0.8","0.8","0.8","2096","2096","2096","0.8","0.8","0.8","2088","2088","2088","0","0","0"
"15","1302","1302","1302","1","1","1","1142","1142","1142","1","1","1","1205","1205","1205","0","0","0","1185","1185","1185","1","1","1","2090","2090","2090","0","0","0","2098","2098","2098","0","0","0","2100","2100","2100","0","0","0","2092","2092","2092","0","0","0"
"16","1306","1306","1306","1","1","1","1146","1146","1146","1","1","1","1209","1209","1209","0.8","0.8","0.8","1189","1189","1189","1","1","1","2094","2094","2094","0","0","0","2102","2102","2102","0","0","0","2104","2104","2104","0","0","0","2096","2096","2096","0","0","0"
"17","1310","1310","1310","1","1","1","1150","1150","1150","1","1","1","1213","1213","1213","0.8","0.8","0.8","1193","1193","1193","1","1","1","2098","2098","2098","0","0","0","2106","2106","2106","0","0","0","2108","2108","2108","0","0","0","2100","2100","2100","0","0","0"
"18","1923","1923","1923","0","0","0","1736","1736","1736","0","0","0","1743","1743","1743","1","1","1","1729","1729","1729","0","0","0","3143","3143","3143","1","1","1","3151","3151","3151","1","1","1","3145","3145","3145","1","1","1","3141","3141","3141","1","1","1"
"19","1927","1927","1927","0","0","0","1739","1739","1739","0","0","0","1747","1747","1747","1","1","1","1733","1733","1733","0","0","0","3147","3147","3147","1","1","1","3155","3155","3155","1","1","1","3149","3149","3149","1","1","1","3145","3145","3145","1","1","1"
"20","1931","1931","1931","0","0","0","1742","1742","1742","0","0","0","1751","1751","1751","1","1","1","1737","1737","1737","0","0","0","3151","3151","3151","1","1","1","3159","3159","3159","1","1","1","3153","3153","3153","1","1","1","3149","3149","3149","1","1","1"
"21","1935","1935","1935","0.1","0.1","0.1","1746","1746","1746","0","0","0","1755","1755","1755","1","1","1","1741","1741","1741","0","0","0","3155","3155","3155","1","1","1","3163","3163","3163","1","1","1","3157","3157","3157","1","1","1","3153","3153","3153","1","1","1"
"22","1939","1939","1939","0.1","0.1","0.1","1750","1750","1750","0","0","0","1759","1759","1759","1","1","1","1745","1745","1745","0","0","0","3159","3159","3159","1","1","1","3167","3167","3167","1","1","1","3161","3161","3161","1","1","1","3157","3157","3157","1","1","1"
"23","1943","1943","1943","0","0","0","1754","1754","1754","0","0","0","1763","1763","1763","1","1","1","1749","1749","1749","0","0","0","3163","3163","3163","1","1","1","3171","3171","3171","1","1","1","3165","3165","3165","1","1","1","3161","3161","3161","0.9","0.9","0.9"
"24","1947","1947","1947","0.1","0.1","0.1","1758","1758","1758","1","1","1","1767","1767","1767","1","1","1","1753","1753","1753","1","1","1","3167","3167","3167","1","1","1","3175","3175","3175","1","1","1","3169","3169","3169","1","1","1","3165","3165","3165","1","1","1"
"25","1951","1951","1951","0.1","0.1","0.1","1762","1762","1762","1","1","1","1771","1771","1771","1","1","1","1757","1757","1757","1","1","1","3171","3171","3171","1","1","1","3179","3179","3179","1","1","1","3173","3173","3173","1","1","1","3169","3169","3169","1","1","1"
"26","1955","1955","1955","0.1","0.1","0.1","1766","1766","1766","1","1","1","1775","1775","1775","1","1","1","1761","1761","1761","1","1","1","3175","3175","3175","1","1","1","3183","3183","3183","1","1","1","3177","3177","3177","1","1","1","3173","3173","3173","1","1","1"
"27","2497","2497","2497","1","1","1","2447","2447","2447","1","1","1","2323","2323","2323","1","1","1","2310","2310","2310","1","1","1","4216","4216","4216","1","1","1","4251","4251","4251","1","1","1","4226","4226","4226","1","1","1","4212","4212","4212","1","1","1"
"28","2501","2501","2501","1","1","1","2451","2451","2451","1","1","1","2327","2327","2327","1","1","1","2314","2314","2314","1","1","1","4220","4220","4220","1","1","1","4255","4255","4255","1","1","1","4230","4230","4230","1","1","1","4216","4216","4216","1","1","1"
"29","2505","2505","2505","1","1","1","2455","2455","2455","1","1","1","2331","2331","2331","1","1","1","2318","2318","2318","1","1","1","4224","4224","4224","1","1","1","4259","4259","4259","1","1","1","4234","4234","4234","1","1","1","4220","4220","4220","1","1","1"
"30","2509","2509","2509","1","1","1","2459","2459","2459","1","1","1","2335","2335","2335","1","1","1","2322","2322","2322","1","1","1","4228","4228","4228","1","1","1","4263","4263","4263","1","1","1","4238","4238","4238","1","1","1","4224","4224","4224","1","1","1"
"31","2513","2513","2513","1","1","1","2463","2463","2463","1","1","1","2339","2339","2339","1","1","1","2326","2326","2326","1","1","1","4232","4232","4232","1","1","1","4267","4267","4267","1","1","1","4242","4242","4242","1","1","1","4228","4228","4228","1","1","1"
"32","2517","2517","2517","1","1","1","2467","2467","2467","1","1","1","2343","2343","2343","1","1","1","2330","2330","2330","1","1","1","4236","4236","4236","1","1","1","4271","4271","4271","1","1","1","4246","4246","4246","1","1","1","4232","4232","4232","1","1","1"
"33","2521","2521","2521","1","1","1","2471","2471","2471","1","1","1","2347","2347","2347","1","1","1","2334","2334","2334","1","1","1","4240","4240","4240","1","1","1","4275","4275","4275","1","1","1","4250","4250","4250","1","1","1","4236","4236","4236","1","1","1"
"34","2525","2525","2525","1","1","1","2475","2475","2475","1","1","1","2351","2351","2351","1","1","1","2338","2338","2338","1","1","1","4244","4244","4244","1","1","1","4279","4279","4279","1","1","1","4254","4254","4254","1","1","1","4240","4240","4240","1","1","1"
"35","2529","2529","2529","1","1","1","2479","2479","2479","1","1","1","2355","2355","2355","1","1","1","2342","2342","2342","1","1","1","4248","4248","4248","1","1","1","4283","4283","4283","1","1","1","4258","4258","4258","1","1","1","4244","4244","4244","1","1","1"
"36","3076","3076","3076","0.1","0.1","0.1","2999","2999","2999","1","1","1","2885","2885","2885","1","1","1","2881","2881","2881","1","1","1","5291","5291","5291","1","1","1","5375","5375","5375","1","1","1","5315","5315","5315","1","1","1","5282","5282","5282","1","1","1"
"37","3080","3080","3080","0.1","0.1","0.1","3003","3003","3003","1","1","1","2889","2889","2889","1","1","1","2885","2885","2885","1","1","1","5295","5295","5295","1","1","1","5379","5379","5379","1","1","1","5319","5319","5319","1","1","1","5286","5286","5286","1","1","1"
"38","3084","3084","3084","0.1","0.1","0.1","3007","3007","3007","1","1","1","2893","2893","2893","1","1","1","2889","2889","2889","1","1","1","5299","5299","5299","1","1","1","5383","5383","5383","1","1","1","5323","5323","5323","1","1","1","5290","5290","5290","1","1","1"
"39","3088","3088","3088","1","1","1","3011","3011","3011","1","1","1","2897","2897","2897","1","1","1","2893","2893","2893","1","1","1","5303","5303","5303","1","1","1","5387","5387","5387","1","1","1","5327","5327","5327","1","1","1","5294","5294","5294","1","1","1"
"40","3092","3092","3092","1","1","1","3015","3015","3015","1","1","1","2901","2901","2901","1","1","1","2897","2897","2897","1","1","1","5307","5307","5307","1","1","1","5391","5391","5391","1","1","1","5331","5331","5331","1","1","1","5298","5298","5298","1","1","1"
"41","3096","3096","3096","1","1","1","3019","3019","3019","1","1","1","2905","2905","2905","1","1","1","2901","2901","2901","1","1","1","5311","5311","5311","1","1","1","5395","5395","5395","1","1","1","5335","5335","5335","1","1","1","5302","5302","5302","1","1","1"
"42","3100","3100","3100","1","1","1","3023","3023","3023","1","1","1","2909","2909","2909","1","1","1","2905","2905","2905","1","1","1","5315","5315","5315","1","1","1","5399","5399","5399","1","1","1","5339","5339","5339","1","1","1","5306","5306","5306","1","1","1"
"43","3104","3104","3104","1","1","1","3027","3027","3027","1","1","1","2913","2913","2913","1","1","1","2909","2909","2909","1","1","1","5319","5319","5319","1","1","1","5403","5403","5403","1","1","1","5343","5343","5343","1","1","1","5310","5310","5310","1","1","1"
"44","3108","3108","3108","1","1","1","3031","3031","3031","1","1","1","2917","2917","2917","1","1","1","2913","2913","2913","1","1","1","5323","5323","5323","1","1","1","5407","5407","5407","1","1","1","5347","5347","5347","0.8","0.8","0.8","5314","5314","5314","1","1","1"
"45","3639","3639","3639","1","1","1","3552","3552","3552","1","1","1","3437","3437","3437","1","1","1","3512","3512","3512","0","0","0","6359","6359","6359","1","1","1","6451","6451","6451","0","0","0","6384","6384","6384","1","1","1","6351","6351","6351","1","1","1"
"46","3643","3643","3643","1","1","1","3556","3556","3556","1","1","1","3441","3441","3441","1","1","1","3516","3516","3516","0","0","0","6363","6363","6363","1","1","1","6455","6455","6455","0","0","0","6388","6388","6388","1","1","1","6355","6355","6355","1","1","1"
"47","3647","3647","3647","1","1","1","3560","3560","3560","1","1","1","3445","3445","3445","1","1","1","3520","3520","3520","0","0","0","6367","6367","6367","1","1","1","6459","6459","6459","0.8","0.8","0.8","6392","6392","6392","1","1","1","6359","6359","6359","1","1","1"
"48","3651","3651","3651","1","1","1","3564","3564","3564","1","1","1","3449","3449","3449","1","1","1","3523","3523","3523","0","0","0","6371","6371","6371","1","1","1","6463","6463","6463","1","1","1","6396","6396","6396","1","1","1","6363","6363","6363","1","1","1"
"49","3655","3655","3655","1","1","1","3568","3568","3568","1","1","1","3453","3453","3453","1","1","1","3526","3526","3526","0","0","0","6375","6375","6375","1","1","1","6467","6467","6467","1","1","1","6400","6400","6400","1","1","1","6367","6367","6367","1","1","1"
"50","3659","3659","3659","1","1","1","3572","3572","3572","1","1","1","3457","3457","3457","1","1","1","3529","3529","3529","0","0","0","6379","6379","6379","1","1","1","6471","6471","6471","1","1","1","6404","6404","6404","1","1","1","6371","6371","6371","1","1","1"
"51","3663","3663","3663","1","1","1","3576","3576","3576","1","1","1","3461","3461","3461","1","1","1","3532","3532","3532","0","0","0","6383","6383","6383","1","1","1","6475","6475","6475","0.8","0.8","0.8","6408","6408","6408","1","1","1","6375","6375","6375","1","1","1"
"52","3667","3667","3667","1","1","1","3580","3580","3580","1","1","1","3465","3465","3465","1","1","1","3535","3535","3535","0","0","0","6387","6387","6387","1","1","1","6479","6479","6479","0.8","0.8","0.8","6412","6412","6412","1","1","1","6379","6379","6379","1","1","1"
"53","3671","3671","3671","1","1","1","3584","3584","3584","1","1","1","3469","3469","3469","1","1","1","3538","3538","3538","0","0","0","6391","6391","6391","1","1","1","6483","6483","6483","0.8","0.8","0.8","6416","6416","6416","0.8","0.8","0.8","6383","6383","6383","1","1","1"
"54","4192","4192","4192","1","1","1","4104","4104","4104","1","1","1","3990","3990","3990","1","1","1","4074","4074","4074","1","1","1","7432","7432","7432","1","1","1","7539","7539","7539","0.8","0.8","0.8","7453","7453","7453","0","0","0","7430","7430","7430","1","1","1"
"55","4196","4196","4196","1","1","1","4108","4108","4108","1","1","1","3994","3994","3994","1","1","1","4078","4078","4078","1","1","1","7436","7436","7436","1","1","1","7543","7543","7543","0.8","0.8","0.8","7457","7457","7457","0","0","0","7434","7434","7434","1","1","1"
"56","4200","4200","4200","1","1","1","4112","4112","4112","1","1","1","3998","3998","3998","1","1","1","4082","4082","4082","1","1","1","7440","7440","7440","1","1","1","7547","7547","7547","0.8","0.8","0.8","7461","7461","7461","0","0","0","7438","7438","7438","1","1","1"
"57","4204","4204","4204","1","1","1","4116","4116","4116","1","1","1","4002","4002","4002","1","1","1","4086","4086","4086","1","1","1","7444","7444","7444","0","0","0","7551","7551","7551","0.8","0.8","0.8","7465","7465","7465","1","1","1","7442","7442","7442","1","1","1"
"58","4208","4208","4208","1","1","1","4120","4120","4120","1","1","1","4006","4006","4006","1","1","1","4090","4090","4090","1","1","1","7448","7448","7448","0","0","0","7555","7555","7555","0.8","0.8","0.8","7469","7469","7469","1","1","1","7446","7446","7446","1","1","1"
"59","4212","4212","4212","1","1","1","4124","4124","4124","1","1","1","4010","4010","4010","1","1","1","4094","4094","4094","1","1","1","7452","7452","7452","0","0","0","7559","7559","7559","0.8","0.8","0.8","7473","7473","7473","0.8","0.8","0.8","7450","7450","7450","1","1","1"
"60","4216","4216","4216","1","1","1","4128","4128","4128","1","1","1","4014","4014","4014","1","1","1","4098","4098","4098","1","1","1","7456","7456","7456","0","0","0","7563","7563","7563","0.8","0.8","0.8","7477","7477","7477","1","1","1","7454","7454","7454","1","1","1"
"61","4220","4220","4220","1","1","1","4132","4132","4132","1","1","1","4018","4018","4018","1","1","1","4102","4102","4102","1","1","1","7460","7460","7460","0","0","0","7567","7567","7567","0.8","0.8","0.8","7481","7481","7481","1","1","1","7458","7458","7458","1","1","1"
"62","4224","4224","4224","1","1","1","4136","4136","4136","1","1","1","4022","4022","4022","1","1","1","4106","4106","4106","1","1","1","7464","7464","7464","0","0","0","7571","7571","7571","0.8","0.8","0.8","7485","7485","7485","1","1","1","7462","7462","7462","1","1","1"
"63","4774","4774","4774","1","1","1","4657","4657","4657","1","1","1","4542","4542","4542","1","1","1","4626","4626","4626","1","1","1","8523","8523","8523","1","1","1","8614","8614","8614","1","1","1","8535","8535","8535","1","1","1","8499","8499","8499","1","1","1"
"64","4778","4778","4778","1","1","1","4661","4661","4661","1","1","1","4546","4546","4546","1","1","1","4630","4630","4630","1","1","1","8527","8527","8527","1","1","1","8618","8618","8618","1","1","1","8539","8539","8539","1","1","1","8503","8503","8503","1","1","1"
"65","4782","4782","4782","1","1","1","4665","4665","4665","1","1","1","4550","4550","4550","1","1","1","4634","4634","4634","1","1","1","8531","8531","8531","1","1","1","8622","8622","8622","1","1","1","8543","8543","8543","1","1","1","8507","8507","8507","1","1","1"
"66","4786","4786","4786","1","1","1","4669","4669","4669","1","1","1","4554","4554","4554","1","1","1","4638","4638","4638","1","1","1","8535","8535","8535","1","1","1","8626","8626","8626","1","1","1","8547","8547","8547","0","0","0","8511","8511","8511","1","1","1"
"67","4790","4790","4790","1","1","1","4673","4673","4673","1","1","1","4558","4558","4558","1","1","1","4642","4642","4642","1","1","1","8539","8539","8539","1","1","1","8630","8630","8630","1","1","1","8551","8551","8551","1","1","1","8515","8515","8515","1","1","1"
"68","4794","4794","4794","1","1","1","4677","4677","4677","1","1","1","4562","4562","4562","1","1","1","4646","4646","4646","1","1","1","8543","8543","8543","1","1","1","8634","8634","8634","1","1","1","8555","8555","8555","1","1","1","8519","8519","8519","1","1","1"
"69","4798","4798","4798","1","1","1","4681","4681","4681","1","1","1","4566","4566","4566","1","1","1","4650","4650","4650","1","1","1","8547","8547","8547","1","1","1","8638","8638","8638","1","1","1","8559","8559","8559","0","0","0","8523","8523","8523","1","1","1"
"70","4802","4802","4802","1","1","1","4685","4685","4685","1","1","1","4570","4570","4570","1","1","1","4654","4654","4654","1","1","1","8551","8551","8551","1","1","1","8642","8642","8642","1","1","1","8563","8563","8563","1","1","1","8527","8527","8527","1","1","1"
"71","4806","4806","4806","1","1","1","4689","4689","4689","1","1","1","4574","4574","4574","1","1","1","4658","4658","4658","1","1","1","8555","8555","8555","1","1","1","8646","8646","8646","1","1","1","8567","8567","8567","1","1","1","8531","8531","8531","1","1","1"
"72","5422","5422","5422","1","1","1","5209","5209","5209","1","1","1","5095","5095","5095","1","1","1","5179","5179","5179","1","1","1","9595","9595","9595","1","1","1","9691","9691","9691","1","1","1","9606","9606","9606","1","1","1","9576","9576","9576","1","1","1"
"73","5426","5426","5426","1","1","1","5213","5213","5213","1","1","1","5099","5099","5099","1","1","1","5183","5183","5183","1","1","1","9599","9599","9599","1","1","1","9695","9695","9695","1","1","1","9610","9610","9610","1","1","1","9580","9580","9580","1","1","1"
"74","5430","5430","5430","1","1","1","5217","5217","5217","1","1","1","5103","5103","5103","1","1","1","5187","5187","5187","1","1","1","9603","9603","9603","1","1","1","9699","9699","9699","1","1","1","9614","9614","9614","1","1","1","9584","9584","9584","1","1","1"
"75","5434","5434","5434","1","1","1","5221","5221","5221","1","1","1","5107","5107","5107","1","1","1","5191","5191","5191","1","1","1","9607","9607","9607","1","1","1","9703","9703","9703","1","1","1","9618","9618","9618","1","1","1","9588","9588","9588","1","1","1"
"76","5438","5438","5438","1","1","1","5225","5225","5225","1","1","1","5111","5111","5111","1","1","1","5195","5195","5195","1","1","1","9611","9611","9611","1","1","1","9707","9707","9707","1","1","1","9622","9622","9622","1","1","1","9592","9592","9592","1","1","1"
"77","5442","5442","5442","1","1","1","5229","5229","5229","1","1","1","5115","5115","5115","1","1","1","5199","5199","5199","1","1","1","9615","9615","9615","1","1","1","9711","9711","9711","1","1","1","9626","9626","9626","1","1","1","9596","9596","9596","1","1","1"
"78","5446","5446","5446","1","1","1","5233","5233","5233","1","1","1","5119","5119","5119","1","1","1","5203","5203","5203","1","1","1","9619","9619","9619","1","1","1","9715","9715","9715","0.2","0.2","0.2","9630","9630","9630","1","1","1","9600","9600","9600","1","1","1"
"79","5450","5450","5450","1","1","1","5237","5237","5237","1","1","1","5123","5123","5123","1","1","1","5207","5207","5207","1","1","1","9623","9623","9623","1","1","1","9719","9719","9719","1","1","1","9634","9634","9634","1","1","1","9604","9604","9604","1","1","1"
"80","5454","5454","5454","1","1","1","5241","5241","5241","1","1","1","5127","5127","5127","1","1","1","5211","5211","5211","1","1","1","9627","9627","9627","1","1","1","9723","9723","9723","1","1","1","9638","9638","9638","1","1","1","9608","9608","9608","1","1","1"
"81","5975","5975","5975","1","1","1","5762","5762","5762","1","1","1","5647","5647","5647","1","1","1","5731","5731","5731","1","1","1","10663","10663","10663","1","1","1","10769","10769","10769","0.8","0.8","0.8","10677","10677","10677","1","1","1","10645","10645","10645","1","1","1"
"82","5979","5979","5979","1","1","1","5766","5766","5766","1","1","1","5651","5651","5651","1","1","1","5735","5735","5735","1","1","1","10667","10667","10667","1","1","1","10773","10773","10773","1","1","1","10681","10681","10681","1","1","1","10649","10649","10649","1","1","1"
