"Evaluate/step_episode","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step__MIN","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step__MAX","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpOverCost","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpOverCost__MIN","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpOverCost__MAX","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step__MIN","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step__MAX","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpOverCost","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpOverCost__MIN","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpOverCost__MAX","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step__MIN","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step__MAX","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpOverCost","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpOverCost__MIN","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpOverCost__MAX","4090_ppo_dis_2025-07-30_13-18-07 - _step","4090_ppo_dis_2025-07-30_13-18-07 - _step__MIN","4090_ppo_dis_2025-07-30_13-18-07 - _step__MAX","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpOverCost","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpOverCost__MIN","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpOverCost__MAX","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step__MIN","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step__MAX","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpOverCost","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpOverCost__MIN","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpOverCost__MAX","4090_dqn_2025-07-29_13-21-06 - _step","4090_dqn_2025-07-29_13-21-06 - _step__MIN","4090_dqn_2025-07-29_13-21-06 - _step__MAX","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpOverCost","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpOverCost__MIN","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpOverCost__MAX","penalty_4070_dqn_2025-07-27_11-39-32 - _step","penalty_4070_dqn_2025-07-27_11-39-32 - _step__MIN","penalty_4070_dqn_2025-07-27_11-39-32 - _step__MAX","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpOverCost","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpOverCost__MIN","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpOverCost__MAX","4070_rl_filter_2025-07-20_12-17-12 - _step","4070_rl_filter_2025-07-20_12-17-12 - _step__MIN","4070_rl_filter_2025-07-20_12-17-12 - _step__MAX","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpOverCost","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpOverCost__MIN","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpOverCost__MAX"
"15","1302","1302","1302","0","0","0","1142","1142","1142","0","0","0","1205","1205","1205","0","0","0","1185","1185","1185","0","0","0","2090","2090","2090","0","0","0","2098","2098","2098","0","0","0","2100","2100","2100","0","0","0","2092","2092","2092","0","0","0"
"16","1306","1306","1306","0","0","0","1146","1146","1146","0","0","0","1209","1209","1209","0","0","0","1189","1189","1189","0","0","0","2094","2094","2094","0","0","0","2102","2102","2102","0","0","0","2104","2104","2104","0","0","0","2096","2096","2096","0","0","0"
"17","1310","1310","1310","0","0","0","1150","1150","1150","0","0","0","1213","1213","1213","0","0","0","1193","1193","1193","0","0","0","2098","2098","2098","0","0","0","2106","2106","2106","0","0","0","2108","2108","2108","0","0","0","2100","2100","2100","0","0","0"
"18","1923","1923","1923","0","0","0","1736","1736","1736","0","0","0","1743","1743","1743","4","4","4","1729","1729","1729","0","0","0","3143","3143","3143","1","1","1","3151","3151","3151","0","0","0","3145","3145","3145","0","0","0","3141","3141","3141","0","0","0"
"19","1927","1927","1927","0","0","0","1739","1739","1739","0","0","0","1747","1747","1747","9","9","9","1733","1733","1733","0","0","0","3147","3147","3147","6","6","6","3155","3155","3155","0","0","0","3149","3149","3149","6","6","6","3145","3145","3145","0","0","0"
"20","1931","1931","1931","0","0","0","1742","1742","1742","0","0","0","1751","1751","1751","2","2","2","1737","1737","1737","0","0","0","3151","3151","3151","0","0","0","3159","3159","3159","0","0","0","3153","3153","3153","6","6","6","3149","3149","3149","0","0","0"
"21","1935","1935","1935","0","0","0","1746","1746","1746","0","0","0","1755","1755","1755","0","0","0","1741","1741","1741","0","0","0","3155","3155","3155","0","0","0","3163","3163","3163","0","0","0","3157","3157","3157","0","0","0","3153","3153","3153","0","0","0"
"22","1939","1939","1939","0","0","0","1750","1750","1750","0","0","0","1759","1759","1759","0","0","0","1745","1745","1745","0","0","0","3159","3159","3159","0","0","0","3167","3167","3167","0","0","0","3161","3161","3161","0","0","0","3157","3157","3157","0","0","0"
"23","1943","1943","1943","0","0","0","1754","1754","1754","0","0","0","1763","1763","1763","0","0","0","1749","1749","1749","0","0","0","3163","3163","3163","0","0","0","3171","3171","3171","0","0","0","3165","3165","3165","0","0","0","3161","3161","3161","0","0","0"
"24","1947","1947","1947","0","0","0","1758","1758","1758","0","0","0","1767","1767","1767","0","0","0","1753","1753","1753","0","0","0","3167","3167","3167","0","0","0","3175","3175","3175","0","0","0","3169","3169","3169","0","0","0","3165","3165","3165","0","0","0"
"25","1951","1951","1951","0","0","0","1762","1762","1762","0","0","0","1771","1771","1771","0","0","0","1757","1757","1757","0","0","0","3171","3171","3171","0","0","0","3179","3179","3179","0","0","0","3173","3173","3173","0","0","0","3169","3169","3169","0","0","0"
"26","1955","1955","1955","0","0","0","1766","1766","1766","0","0","0","1775","1775","1775","0","0","0","1761","1761","1761","0","0","0","3175","3175","3175","0","0","0","3183","3183","3183","0","0","0","3177","3177","3177","0","0","0","3173","3173","3173","0","0","0"
"27","2497","2497","2497","3","3","3","2447","2447","2447","0","0","0","2323","2323","2323","0","0","0","2310","2310","2310","0","0","0","4216","4216","4216","0","0","0","4251","4251","4251","0","0","0","4226","4226","4226","2","2","2","4212","4212","4212","0","0","0"
"28","2501","2501","2501","1","1","1","2451","2451","2451","0","0","0","2327","2327","2327","6","6","6","2314","2314","2314","0","0","0","4220","4220","4220","6","6","6","4255","4255","4255","0","0","0","4230","4230","4230","6","6","6","4216","4216","4216","0","0","0"
"29","2505","2505","2505","1","1","1","2455","2455","2455","0","0","0","2331","2331","2331","1","1","1","2318","2318","2318","0","0","0","4224","4224","4224","6","6","6","4259","4259","4259","0","0","0","4234","4234","4234","3","3","3","4220","4220","4220","0","0","0"
"30","2509","2509","2509","0","0","0","2459","2459","2459","0","0","0","2335","2335","2335","0","0","0","2322","2322","2322","0","0","0","4228","4228","4228","0","0","0","4263","4263","4263","0","0","0","4238","4238","4238","0","0","0","4224","4224","4224","0","0","0"
"31","2513","2513","2513","0","0","0","2463","2463","2463","0","0","0","2339","2339","2339","0","0","0","2326","2326","2326","0","0","0","4232","4232","4232","0","0","0","4267","4267","4267","0","0","0","4242","4242","4242","0","0","0","4228","4228","4228","0","0","0"
"32","2517","2517","2517","0","0","0","2467","2467","2467","0","0","0","2343","2343","2343","0","0","0","2330","2330","2330","0","0","0","4236","4236","4236","0","0","0","4271","4271","4271","0","0","0","4246","4246","4246","0","0","0","4232","4232","4232","0","0","0"
"33","2521","2521","2521","0","0","0","2471","2471","2471","0","0","0","2347","2347","2347","0","0","0","2334","2334","2334","0","0","0","4240","4240","4240","0","0","0","4275","4275","4275","0","0","0","4250","4250","4250","0","0","0","4236","4236","4236","0","0","0"
"34","2525","2525","2525","0","0","0","2475","2475","2475","0","0","0","2351","2351","2351","0","0","0","2338","2338","2338","0","0","0","4244","4244","4244","0","0","0","4279","4279","4279","0","0","0","4254","4254","4254","0","0","0","4240","4240","4240","0","0","0"
"35","2529","2529","2529","0","0","0","2479","2479","2479","0","0","0","2355","2355","2355","0","0","0","2342","2342","2342","0","0","0","4248","4248","4248","0","0","0","4283","4283","4283","0","0","0","4258","4258","4258","0","0","0","4244","4244","4244","0","0","0"
"36","3076","3076","3076","2","2","2","2999","2999","2999","0","0","0","2885","2885","2885","1","1","1","2881","2881","2881","0","0","0","5291","5291","5291","2","2","2","5375","5375","5375","0","0","0","5315","5315","5315","0","0","0","5282","5282","5282","0","0","0"
"37","3080","3080","3080","4","4","4","3003","3003","3003","0","0","0","2889","2889","2889","0","0","0","2885","2885","2885","0","0","0","5295","5295","5295","0","0","0","5379","5379","5379","0","0","0","5319","5319","5319","5","5","5","5286","5286","5286","0","0","0"
"38","3084","3084","3084","8","8","8","3007","3007","3007","0","0","0","2893","2893","2893","0","0","0","2889","2889","2889","0","0","0","5299","5299","5299","6","6","6","5383","5383","5383","0","0","0","5323","5323","5323","0","0","0","5290","5290","5290","0","0","0"
"39","3088","3088","3088","0","0","0","3011","3011","3011","0","0","0","2897","2897","2897","0","0","0","2893","2893","2893","0","0","0","5303","5303","5303","0","0","0","5387","5387","5387","0","0","0","5327","5327","5327","0","0","0","5294","5294","5294","0","0","0"
"40","3092","3092","3092","0","0","0","3015","3015","3015","0","0","0","2901","2901","2901","0","0","0","2897","2897","2897","0","0","0","5307","5307","5307","0","0","0","5391","5391","5391","0","0","0","5331","5331","5331","0","0","0","5298","5298","5298","0","0","0"
"41","3096","3096","3096","0","0","0","3019","3019","3019","0","0","0","2905","2905","2905","0","0","0","2901","2901","2901","0","0","0","5311","5311","5311","0","0","0","5395","5395","5395","0","0","0","5335","5335","5335","0","0","0","5302","5302","5302","0","0","0"
"42","3100","3100","3100","0","0","0","3023","3023","3023","0","0","0","2909","2909","2909","0","0","0","2905","2905","2905","0","0","0","5315","5315","5315","0","0","0","5399","5399","5399","0","0","0","5339","5339","5339","0","0","0","5306","5306","5306","0","0","0"
"43","3104","3104","3104","0","0","0","3027","3027","3027","0","0","0","2913","2913","2913","0","0","0","2909","2909","2909","0","0","0","5319","5319","5319","0","0","0","5403","5403","5403","0","0","0","5343","5343","5343","0","0","0","5310","5310","5310","0","0","0"
"44","3108","3108","3108","0","0","0","3031","3031","3031","0","0","0","2917","2917","2917","0","0","0","2913","2913","2913","0","0","0","5323","5323","5323","0","0","0","5407","5407","5407","0","0","0","5347","5347","5347","0","0","0","5314","5314","5314","0","0","0"
"45","3639","3639","3639","3","3","3","3552","3552","3552","0","0","0","3437","3437","3437","0","0","0","3512","3512","3512","0","0","0","6359","6359","6359","1","1","1","6451","6451","6451","0","0","0","6384","6384","6384","2","2","2","6351","6351","6351","0","0","0"
"46","3643","3643","3643","10","10","10","3556","3556","3556","0","0","0","3441","3441","3441","3","3","3","3516","3516","3516","0","0","0","6363","6363","6363","8","8","8","6455","6455","6455","0","0","0","6388","6388","6388","7","7","7","6355","6355","6355","0","0","0"
"47","3647","3647","3647","8","8","8","3560","3560","3560","0","0","0","3445","3445","3445","3","3","3","3520","3520","3520","0","0","0","6367","6367","6367","7","7","7","6459","6459","6459","0","0","0","6392","6392","6392","2","2","2","6359","6359","6359","0","0","0"
"48","3651","3651","3651","0","0","0","3564","3564","3564","0","0","0","3449","3449","3449","0","0","0","3523","3523","3523","0","0","0","6371","6371","6371","0","0","0","6463","6463","6463","0","0","0","6396","6396","6396","0","0","0","6363","6363","6363","0","0","0"
"49","3655","3655","3655","0","0","0","3568","3568","3568","0","0","0","3453","3453","3453","0","0","0","3526","3526","3526","0","0","0","6375","6375","6375","0","0","0","6467","6467","6467","0","0","0","6400","6400","6400","0","0","0","6367","6367","6367","0","0","0"
"50","3659","3659","3659","0","0","0","3572","3572","3572","0","0","0","3457","3457","3457","0","0","0","3529","3529","3529","0","0","0","6379","6379","6379","0","0","0","6471","6471","6471","0","0","0","6404","6404","6404","0","0","0","6371","6371","6371","0","0","0"
"51","3663","3663","3663","0","0","0","3576","3576","3576","0","0","0","3461","3461","3461","0","0","0","3532","3532","3532","0","0","0","6383","6383","6383","0","0","0","6475","6475","6475","0","0","0","6408","6408","6408","0","0","0","6375","6375","6375","0","0","0"
"52","3667","3667","3667","0","0","0","3580","3580","3580","0","0","0","3465","3465","3465","0","0","0","3535","3535","3535","0","0","0","6387","6387","6387","0","0","0","6479","6479","6479","0","0","0","6412","6412","6412","0","0","0","6379","6379","6379","0","0","0"
"53","3671","3671","3671","0","0","0","3584","3584","3584","0","0","0","3469","3469","3469","0","0","0","3538","3538","3538","0","0","0","6391","6391","6391","0","0","0","6483","6483","6483","0","0","0","6416","6416","6416","0","0","0","6383","6383","6383","0","0","0"
"54","4192","4192","4192","0","0","0","4104","4104","4104","0","0","0","3990","3990","3990","0","0","0","4074","4074","4074","0","0","0","7432","7432","7432","1","1","1","7539","7539","7539","0","0","0","7453","7453","7453","0","0","0","7430","7430","7430","0","0","0"
"55","4196","4196","4196","11","11","11","4108","4108","4108","0","0","0","3994","3994","3994","3","3","3","4078","4078","4078","0","0","0","7436","7436","7436","2","2","2","7543","7543","7543","0","0","0","7457","7457","7457","0","0","0","7434","7434","7434","0","0","0"
"56","4200","4200","4200","10","10","10","4112","4112","4112","0","0","0","3998","3998","3998","4","4","4","4082","4082","4082","0","0","0","7440","7440","7440","11","11","11","7547","7547","7547","0","0","0","7461","7461","7461","0","0","0","7438","7438","7438","0","0","0"
"57","4204","4204","4204","0","0","0","4116","4116","4116","0","0","0","4002","4002","4002","0","0","0","4086","4086","4086","0","0","0","7444","7444","7444","0","0","0","7551","7551","7551","0","0","0","7465","7465","7465","0","0","0","7442","7442","7442","0","0","0"
"58","4208","4208","4208","0","0","0","4120","4120","4120","0","0","0","4006","4006","4006","0","0","0","4090","4090","4090","0","0","0","7448","7448","7448","0","0","0","7555","7555","7555","0","0","0","7469","7469","7469","0","0","0","7446","7446","7446","0","0","0"
"59","4212","4212","4212","0","0","0","4124","4124","4124","0","0","0","4010","4010","4010","0","0","0","4094","4094","4094","0","0","0","7452","7452","7452","0","0","0","7559","7559","7559","0","0","0","7473","7473","7473","0","0","0","7450","7450","7450","0","0","0"
"60","4216","4216","4216","0","0","0","4128","4128","4128","0","0","0","4014","4014","4014","0","0","0","4098","4098","4098","0","0","0","7456","7456","7456","0","0","0","7563","7563","7563","0","0","0","7477","7477","7477","0","0","0","7454","7454","7454","0","0","0"
"61","4220","4220","4220","0","0","0","4132","4132","4132","0","0","0","4018","4018","4018","0","0","0","4102","4102","4102","0","0","0","7460","7460","7460","0","0","0","7567","7567","7567","0","0","0","7481","7481","7481","0","0","0","7458","7458","7458","0","0","0"
"62","4224","4224","4224","0","0","0","4136","4136","4136","0","0","0","4022","4022","4022","0","0","0","4106","4106","4106","0","0","0","7464","7464","7464","0","0","0","7571","7571","7571","0","0","0","7485","7485","7485","0","0","0","7462","7462","7462","0","0","0"
"63","4774","4774","4774","0","0","0","4657","4657","4657","0","0","0","4542","4542","4542","0","0","0","4626","4626","4626","0","0","0","8523","8523","8523","2","2","2","8614","8614","8614","0","0","0","8535","8535","8535","1","1","1","8499","8499","8499","0","0","0"
"64","4778","4778","4778","1","1","1","4661","4661","4661","0","0","0","4546","4546","4546","1","1","1","4630","4630","4630","0","0","0","8527","8527","8527","8","8","8","8618","8618","8618","0","0","0","8539","8539","8539","3","3","3","8503","8503","8503","0","0","0"
"65","4782","4782","4782","9","9","9","4665","4665","4665","0","0","0","4550","4550","4550","0","0","0","4634","4634","4634","0","0","0","8531","8531","8531","8","8","8","8622","8622","8622","0","0","0","8543","8543","8543","1","1","1","8507","8507","8507","0","0","0"
"66","4786","4786","4786","0","0","0","4669","4669","4669","0","0","0","4554","4554","4554","0","0","0","4638","4638","4638","0","0","0","8535","8535","8535","0","0","0","8626","8626","8626","0","0","0","8547","8547","8547","0","0","0","8511","8511","8511","0","0","0"
"67","4790","4790","4790","0","0","0","4673","4673","4673","0","0","0","4558","4558","4558","0","0","0","4642","4642","4642","0","0","0","8539","8539","8539","0","0","0","8630","8630","8630","0","0","0","8551","8551","8551","0","0","0","8515","8515","8515","0","0","0"
"68","4794","4794","4794","0","0","0","4677","4677","4677","0","0","0","4562","4562","4562","0","0","0","4646","4646","4646","0","0","0","8543","8543","8543","0","0","0","8634","8634","8634","0","0","0","8555","8555","8555","0","0","0","8519","8519","8519","0","0","0"
"69","4798","4798","4798","0","0","0","4681","4681","4681","0","0","0","4566","4566","4566","0","0","0","4650","4650","4650","0","0","0","8547","8547","8547","0","0","0","8638","8638","8638","0","0","0","8559","8559","8559","0","0","0","8523","8523","8523","0","0","0"
"70","4802","4802","4802","0","0","0","4685","4685","4685","0","0","0","4570","4570","4570","0","0","0","4654","4654","4654","0","0","0","8551","8551","8551","0","0","0","8642","8642","8642","0","0","0","8563","8563","8563","0","0","0","8527","8527","8527","0","0","0"
"71","4806","4806","4806","0","0","0","4689","4689","4689","0","0","0","4574","4574","4574","0","0","0","4658","4658","4658","0","0","0","8555","8555","8555","0","0","0","8646","8646","8646","0","0","0","8567","8567","8567","0","0","0","8531","8531","8531","0","0","0"
"72","5422","5422","5422","2","2","2","5209","5209","5209","0","0","0","5095","5095","5095","1","1","1","5179","5179","5179","0","0","0","9595","9595","9595","1","1","1","9691","9691","9691","0","0","0","9606","9606","9606","1","1","1","9576","9576","9576","0","0","0"
"73","5426","5426","5426","2","2","2","5213","5213","5213","0","0","0","5099","5099","5099","2","2","2","5183","5183","5183","0","0","0","9599","9599","9599","0","0","0","9695","9695","9695","0","0","0","9610","9610","9610","6","6","6","9580","9580","9580","0","0","0"
"74","5430","5430","5430","0","0","0","5217","5217","5217","0","0","0","5103","5103","5103","3","3","3","5187","5187","5187","0","0","0","9603","9603","9603","0","0","0","9699","9699","9699","0","0","0","9614","9614","9614","8","8","8","9584","9584","9584","0","0","0"
"75","5434","5434","5434","0","0","0","5221","5221","5221","0","0","0","5107","5107","5107","0","0","0","5191","5191","5191","0","0","0","9607","9607","9607","0","0","0","9703","9703","9703","0","0","0","9618","9618","9618","0","0","0","9588","9588","9588","0","0","0"
"76","5438","5438","5438","0","0","0","5225","5225","5225","0","0","0","5111","5111","5111","0","0","0","5195","5195","5195","0","0","0","9611","9611","9611","0","0","0","9707","9707","9707","0","0","0","9622","9622","9622","0","0","0","9592","9592","9592","0","0","0"
"77","5442","5442","5442","0","0","0","5229","5229","5229","0","0","0","5115","5115","5115","0","0","0","5199","5199","5199","0","0","0","9615","9615","9615","0","0","0","9711","9711","9711","0","0","0","9626","9626","9626","0","0","0","9596","9596","9596","0","0","0"
"78","5446","5446","5446","0","0","0","5233","5233","5233","0","0","0","5119","5119","5119","0","0","0","5203","5203","5203","0","0","0","9619","9619","9619","0","0","0","9715","9715","9715","0","0","0","9630","9630","9630","0","0","0","9600","9600","9600","0","0","0"
"79","5450","5450","5450","0","0","0","5237","5237","5237","0","0","0","5123","5123","5123","0","0","0","5207","5207","5207","0","0","0","9623","9623","9623","0","0","0","9719","9719","9719","0","0","0","9634","9634","9634","0","0","0","9604","9604","9604","0","0","0"
"80","5454","5454","5454","0","0","0","5241","5241","5241","0","0","0","5127","5127","5127","0","0","0","5211","5211","5211","0","0","0","9627","9627","9627","0","0","0","9723","9723","9723","0","0","0","9638","9638","9638","0","0","0","9608","9608","9608","0","0","0"
"81","5975","5975","5975","2","2","2","5762","5762","5762","0","0","0","5647","5647","5647","1","1","1","5731","5731","5731","0","0","0","10663","10663","10663","2","2","2","10769","10769","10769","0","0","0","10677","10677","10677","0","0","0","10645","10645","10645","0","0","0"
"82","5979","5979","5979","8","8","8","5766","5766","5766","0","0","0","5651","5651","5651","1","1","1","5735","5735","5735","0","0","0","10667","10667","10667","3","3","3","10773","10773","10773","0","0","0","10681","10681","10681","3","3","3","10649","10649","10649","0","0","0"
"83","5983","5983","5983","8","8","8","5770","5770","5770","0","0","0","5655","5655","5655","3","3","3","5739","5739","5739","0","0","0","10671","10671","10671","7","7","7","10777","10777","10777","0","0","0","10685","10685","10685","2","2","2","10653","10653","10653","0","0","0"
"84","5987","5987","5987","0","0","0","5774","5774","5774","0","0","0","5659","5659","5659","0","0","0","5743","5743","5743","0","0","0","10675","10675","10675","0","0","0","10781","10781","10781","0","0","0","10689","10689","10689","0","0","0","10657","10657","10657","0","0","0"
