"Evaluate/step_episode","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MAX","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterRecoverCoeAccu_kf","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterRecoverCoeAccu_kf__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterRecoverCoeAccu_kf__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterRecoverCoeAccu_kf","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterRecoverCoeAccu_kf__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterRecoverCoeAccu_kf__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterRecoverCoeAccu_kf","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterRecoverCoeAccu_kf__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterRecoverCoeAccu_kf__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - _step","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterRecoverCoeAccu_kf","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterRecoverCoeAccu_kf__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterRecoverCoeAccu_kf__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - _step","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterRecoverCoeAccu_kf","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterRecoverCoeAccu_kf__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterRecoverCoeAccu_kf__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterRecoverCoeAccu_kf","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterRecoverCoeAccu_kf__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterRecoverCoeAccu_kf__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterRecoverCoeAccu_kf","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterRecoverCoeAccu_kf__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterRecoverCoeAccu_kf__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterRecoverCoeAccu_kf","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterRecoverCoeAccu_kf__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterRecoverCoeAccu_kf__MAX"
"10","57","57","57","0.022741729393601418","0.022741729393601418","0.022741729393601418","68","68","68","0.03140375018119812","0.03140375018119812","0.03140375018119812","68","68","68","0.03514477238059044","0.03514477238059044","0.03514477238059044","68","68","68","0.02911648526787758","0.02911648526787758","0.02911648526787758","68","68","68","0.02337895892560482","0.02337895892560482","0.02337895892560482","57","57","57","0.006770825944840908","0.006770825944840908","0.006770825944840908","68","68","68","0.030103955417871475","0.030103955417871475","0.030103955417871475","68","68","68","0.029000258073210716","0.029000258073210716","0.029000258073210716"
"11","62","62","62","0.008058357983827591","0.008058357983827591","0.008058357983827591","74","74","74","0.00820461567491293","0.00820461567491293","0.00820461567491293","74","74","74","0.040769901126623154","0.040769901126623154","0.040769901126623154","74","74","74","0.020741846412420273","0.020741846412420273","0.020741846412420273","74","74","74","0.019168028607964516","0.019168028607964516","0.019168028607964516","62","62","62","0.011798437684774399","0.011798437684774399","0.011798437684774399","74","74","74","0.03806440904736519","0.03806440904736519","0.03806440904736519","74","74","74","0.01056965533643961","0.01056965533643961","0.01056965533643961"
"12","67","67","67","0.015266478061676025","0.015266478061676025","0.015266478061676025","80","80","80","0.03697291389107704","0.03697291389107704","0.03697291389107704","80","80","80","0.037523847073316574","0.037523847073316574","0.037523847073316574","80","80","80","0.02062608115375042","0.02062608115375042","0.02062608115375042","80","80","80","0.018727412447333336","0.018727412447333336","0.018727412447333336","67","67","67","0.008400611579418182","0.008400611579418182","0.008400611579418182","80","80","80","0.03914957493543625","0.03914957493543625","0.03914957493543625","80","80","80","0.017131168395280838","0.017131168395280838","0.017131168395280838"
"13","72","72","72","0.01666228100657463","0.01666228100657463","0.01666228100657463","86","86","86","0.015122142620384693","0.015122142620384693","0.015122142620384693","86","86","86","0.020212888717651367","0.020212888717651367","0.020212888717651367","86","86","86","0.017281370237469673","0.017281370237469673","0.017281370237469673","86","86","86","0.015085157938301563","0.015085157938301563","0.015085157938301563","72","72","72","0.0285369623452425","0.0285369623452425","0.0285369623452425","86","86","86","0.02445438876748085","0.02445438876748085","0.02445438876748085","86","86","86","0.022493286058306694","0.022493286058306694","0.022493286058306694"
"14","77","77","77","0.018213946372270584","0.018213946372270584","0.018213946372270584","92","92","92","0.006037553306668997","0.006037553306668997","0.006037553306668997","92","92","92","0.03138698637485504","0.03138698637485504","0.03138698637485504","92","92","92","0.022518321871757507","0.022518321871757507","0.022518321871757507","92","92","92","0.026843689382076263","0.026843689382076263","0.026843689382076263","77","77","77","0.02404160425066948","0.02404160425066948","0.02404160425066948","92","92","92","0.01908830739557743","0.01908830739557743","0.01908830739557743","92","92","92","0.033356521278619766","0.033356521278619766","0.033356521278619766"
"15","82","82","82","0.014757598750293255","0.014757598750293255","0.014757598750293255","98","98","98","0.03078785538673401","0.03078785538673401","0.03078785538673401","98","98","98","0.01961016282439232","0.01961016282439232","0.01961016282439232","98","98","98","0.027848247438669205","0.027848247438669205","0.027848247438669205","98","98","98","0.021387044340372086","0.021387044340372086","0.021387044340372086","82","82","82","0.022948354482650757","0.022948354482650757","0.022948354482650757","98","98","98","0.03810872137546539","0.03810872137546539","0.03810872137546539","98","98","98","0.018162304535508156","0.018162304535508156","0.018162304535508156"
"16","87","87","87","0.031997520476579666","0.031997520476579666","0.031997520476579666","104","104","104","0.035000741481781006","0.035000741481781006","0.035000741481781006","104","104","104","0.040566664189100266","0.040566664189100266","0.040566664189100266","104","104","104","0.012045187875628471","0.012045187875628471","0.012045187875628471","104","104","104","0.028853384777903557","0.028853384777903557","0.028853384777903557","87","87","87","0.02237897738814354","0.02237897738814354","0.02237897738814354","104","104","104","0.034496743232011795","0.034496743232011795","0.034496743232011795","104","104","104","0.02860293723642826","0.02860293723642826","0.02860293723642826"
"17","92","92","92","0.010714752599596977","0.010714752599596977","0.010714752599596977","110","110","110","0.03583945706486702","0.03583945706486702","0.03583945706486702","110","110","110","0.04527083784341812","0.04527083784341812","0.04527083784341812","110","110","110","0.013890211470425129","0.013890211470425129","0.013890211470425129","110","110","110","0.02669403702020645","0.02669403702020645","0.02669403702020645","92","92","92","0.0319937989115715","0.0319937989115715","0.0319937989115715","110","110","110","0.030007043853402138","0.030007043853402138","0.030007043853402138","110","110","110","0.029968390241265297","0.029968390241265297","0.029968390241265297"
"18","97","97","97","0.014915836974978447","0.014915836974978447","0.014915836974978447","116","116","116","0.02673623524606228","0.02673623524606228","0.02673623524606228","116","116","116","0.03808436542749405","0.03808436542749405","0.03808436542749405","116","116","116","0.02457793988287449","0.02457793988287449","0.02457793988287449","116","116","116","0.015521022491157055","0.015521022491157055","0.015521022491157055","97","97","97","0.013937436044216156","0.013937436044216156","0.013937436044216156","116","116","116","0.015673905611038208","0.015673905611038208","0.015673905611038208","116","116","116","0.018940158188343048","0.018940158188343048","0.018940158188343048"
"19","102","102","102","0.019914204254746437","0.019914204254746437","0.019914204254746437","122","122","122","0.0191949512809515","0.0191949512809515","0.0191949512809515","122","122","122","0.03207528218626976","0.03207528218626976","0.03207528218626976","122","122","122","0.02709696628153324","0.02709696628153324","0.02709696628153324","122","122","122","0.01628785766661167","0.01628785766661167","0.01628785766661167","102","102","102","0.02141047641634941","0.02141047641634941","0.02141047641634941","122","122","122","0.01579977758228779","0.01579977758228779","0.01579977758228779","122","122","122","0.02825145609676838","0.02825145609676838","0.02825145609676838"
"20","107","107","107","0.018341585993766785","0.018341585993766785","0.018341585993766785","128","128","128","0.027552608400583267","0.027552608400583267","0.027552608400583267","128","128","128","0.026963863521814346","0.026963863521814346","0.026963863521814346","128","128","128","0.03467053174972534","0.03467053174972534","0.03467053174972534","128","128","128","0.016694946214556694","0.016694946214556694","0.016694946214556694","107","107","107","0.01103362999856472","0.01103362999856472","0.01103362999856472","128","128","128","0.01750236004590988","0.01750236004590988","0.01750236004590988","128","128","128","0.040350813418626785","0.040350813418626785","0.040350813418626785"
"21","112","112","112","0.011427253484725952","0.011427253484725952","0.011427253484725952","134","134","134","0.010149913839995861","0.010149913839995861","0.010149913839995861","134","134","134","0.04160909727215767","0.04160909727215767","0.04160909727215767","134","134","134","0.01630025915801525","0.01630025915801525","0.01630025915801525","134","134","134","0.024389278143644333","0.024389278143644333","0.024389278143644333","112","112","112","0.02272961474955082","0.02272961474955082","0.02272961474955082","134","134","134","0.033147599548101425","0.033147599548101425","0.033147599548101425","134","134","134","0.0239135529845953","0.0239135529845953","0.0239135529845953"
"22","117","117","117","0.026036689057946205","0.026036689057946205","0.026036689057946205","140","140","140","0.01448934804648161","0.01448934804648161","0.01448934804648161","140","140","140","0.0339893139898777","0.0339893139898777","0.0339893139898777","140","140","140","0.017070040106773376","0.017070040106773376","0.017070040106773376","140","140","140","0.02354433760046959","0.02354433760046959","0.02354433760046959","117","117","117","0.020329808816313744","0.020329808816313744","0.020329808816313744","140","140","140","0.04101267084479332","0.04101267084479332","0.04101267084479332","140","140","140","0.035361338406801224","0.035361338406801224","0.035361338406801224"
"23","122","122","122","0.02223125658929348","0.02223125658929348","0.02223125658929348","146","146","146","0.006897556595504284","0.006897556595504284","0.006897556595504284","146","146","146","0.0265725776553154","0.0265725776553154","0.0265725776553154","146","146","146","0.01799379475414753","0.01799379475414753","0.01799379475414753","146","146","146","0.011816580779850483","0.011816580779850483","0.011816580779850483","122","122","122","0.013451335951685905","0.013451335951685905","0.013451335951685905","146","146","146","0.007981941103935242","0.007981941103935242","0.007981941103935242","146","146","146","0.03173443675041199","0.03173443675041199","0.03173443675041199"
"24","127","127","127","0.015246955677866936","0.015246955677866936","0.015246955677866936","152","152","152","0.0206389669328928","0.0206389669328928","0.0206389669328928","152","152","152","0.01946505345404148","0.01946505345404148","0.01946505345404148","152","152","152","0.012243466451764107","0.012243466451764107","0.012243466451764107","152","152","152","0.014416342601180077","0.014416342601180077","0.014416342601180077","127","127","127","0.02052663266658783","0.02052663266658783","0.02052663266658783","152","152","152","0.015826672315597534","0.015826672315597534","0.015826672315597534","152","152","152","0.048287563025951385","0.048287563025951385","0.048287563025951385"
"25","132","132","132","0.015585875138640404","0.015585875138640404","0.015585875138640404","158","158","158","0.016701672226190567","0.016701672226190567","0.016701672226190567","158","158","158","0.025145888328552246","0.025145888328552246","0.025145888328552246","158","158","158","0.013821997679769993","0.013821997679769993","0.013821997679769993","158","158","158","0.010442283004522324","0.010442283004522324","0.010442283004522324","132","132","132","0.01006344985216856","0.01006344985216856","0.01006344985216856","158","158","158","0.02719898149371147","0.02719898149371147","0.02719898149371147","158","158","158","0.01889016292989254","0.01889016292989254","0.01889016292989254"
"26","137","137","137","0.014711215160787106","0.014711215160787106","0.014711215160787106","164","164","164","0.01764794997870922","0.01764794997870922","0.01764794997870922","164","164","164","0.01967262290418148","0.01967262290418148","0.01967262290418148","164","164","164","0.013157356530427933","0.013157356530427933","0.013157356530427933","164","164","164","0.012546752579510212","0.012546752579510212","0.012546752579510212","137","137","137","0.008788912557065487","0.008788912557065487","0.008788912557065487","164","164","164","0.015837322920560837","0.015837322920560837","0.015837322920560837","164","164","164","0.03491998463869095","0.03491998463869095","0.03491998463869095"
"27","142","142","142","0.02399030700325966","0.02399030700325966","0.02399030700325966","170","170","170","0.01593703217804432","0.01593703217804432","0.01593703217804432","170","170","170","0.030192498117685318","0.030192498117685318","0.030192498117685318","170","170","170","0.013282058760523796","0.013282058760523796","0.013282058760523796","170","170","170","0.02280983328819275","0.02280983328819275","0.02280983328819275","142","142","142","0.027942713350057602","0.027942713350057602","0.027942713350057602","170","170","170","0.020597970113158226","0.020597970113158226","0.020597970113158226","170","170","170","0.012467998079955578","0.012467998079955578","0.012467998079955578"
"28","147","147","147","0.008997127413749695","0.008997127413749695","0.008997127413749695","176","176","176","0.01926451548933983","0.01926451548933983","0.01926451548933983","176","176","176","0.03675420582294464","0.03675420582294464","0.03675420582294464","176","176","176","0.02874409779906273","0.02874409779906273","0.02874409779906273","176","176","176","0.012270950712263584","0.012270950712263584","0.012270950712263584","147","147","147","0.013933731243014336","0.013933731243014336","0.013933731243014336","176","176","176","0.03459973633289337","0.03459973633289337","0.03459973633289337","176","176","176","0.03159968927502632","0.03159968927502632","0.03159968927502632"
"29","152","152","152","0.023096971213817596","0.023096971213817596","0.023096971213817596","182","182","182","0.03335876762866974","0.03335876762866974","0.03335876762866974","182","182","182","0.03157386556267738","0.03157386556267738","0.03157386556267738","182","182","182","0.01633756048977375","0.01633756048977375","0.01633756048977375","182","182","182","0.021688444539904594","0.021688444539904594","0.021688444539904594","152","152","152","0.010252094827592373","0.010252094827592373","0.010252094827592373","182","182","182","0.016406025737524033","0.016406025737524033","0.016406025737524033","182","182","182","0.027857311069965363","0.027857311069965363","0.027857311069965363"
"30","157","157","157","0.01741057075560093","0.01741057075560093","0.01741057075560093","188","188","188","0.029252029955387115","0.029252029955387115","0.029252029955387115","188","188","188","0.013092517852783203","0.013092517852783203","0.013092517852783203","188","188","188","0.017102152109146118","0.017102152109146118","0.017102152109146118","188","188","188","0.016326796263456345","0.016326796263456345","0.016326796263456345","157","157","157","0.016773708164691925","0.016773708164691925","0.016773708164691925","188","188","188","0.020088963210582733","0.020088963210582733","0.020088963210582733","188","188","188","0.046164002269506454","0.046164002269506454","0.046164002269506454"
"31","162","162","162","0.02367032691836357","0.02367032691836357","0.02367032691836357","194","194","194","0.01946983113884926","0.01946983113884926","0.01946983113884926","194","194","194","0.024400293827056885","0.024400293827056885","0.024400293827056885","194","194","194","0.026216374710202217","0.026216374710202217","0.026216374710202217","194","194","194","0.015923066064715385","0.015923066064715385","0.015923066064715385","162","162","162","0.023887809365987778","0.023887809365987778","0.023887809365987778","194","194","194","0.022468499839305878","0.022468499839305878","0.022468499839305878","194","194","194","0.04720739647746086","0.04720739647746086","0.04720739647746086"
"32","167","167","167","0.02623581327497959","0.02623581327497959","0.02623581327497959","200","200","200","0.02878587134182453","0.02878587134182453","0.02878587134182453","200","200","200","0.04087545722723007","0.04087545722723007","0.04087545722723007","200","200","200","0.014214214868843555","0.014214214868843555","0.014214214868843555","200","200","200","0.021283261477947235","0.021283261477947235","0.021283261477947235","167","167","167","0.031522493809461594","0.031522493809461594","0.031522493809461594","200","200","200","0.027918288484215736","0.027918288484215736","0.027918288484215736","200","200","200","0.0478089340031147","0.0478089340031147","0.0478089340031147"
"33","172","172","172","0.0228271484375","0.0228271484375","0.0228271484375","206","206","206","0.021261954680085182","0.021261954680085182","0.021261954680085182","206","206","206","0.016213880851864815","0.016213880851864815","0.016213880851864815","206","206","206","0.019474007189273834","0.019474007189273834","0.019474007189273834","206","206","206","0.017045117914676666","0.017045117914676666","0.017045117914676666","172","172","172","0.006568527780473232","0.006568527780473232","0.006568527780473232","206","206","206","0.015475856140255928","0.015475856140255928","0.015475856140255928","206","206","206","0.018871383741497993","0.018871383741497993","0.018871383741497993"
"34","177","177","177","0.027189571410417557","0.027189571410417557","0.027189571410417557","212","212","212","0.025784416124224663","0.025784416124224663","0.025784416124224663","212","212","212","0.032267533242702484","0.032267533242702484","0.032267533242702484","212","212","212","0.026756729930639267","0.026756729930639267","0.026756729930639267","212","212","212","0.011215437203645706","0.011215437203645706","0.011215437203645706","177","177","177","0.02694450505077839","0.02694450505077839","0.02694450505077839","212","212","212","0.039033547043800354","0.039033547043800354","0.039033547043800354","212","212","212","0.030238347128033638","0.030238347128033638","0.030238347128033638"
"35","182","182","182","0.012067352421581745","0.012067352421581745","0.012067352421581745","218","218","218","0.036224666982889175","0.036224666982889175","0.036224666982889175","218","218","218","0.021420912817120552","0.021420912817120552","0.021420912817120552","218","218","218","0.01939263753592968","0.01939263753592968","0.01939263753592968","218","218","218","0.021444344893097878","0.021444344893097878","0.021444344893097878","182","182","182","0.01544255018234253","0.01544255018234253","0.01544255018234253","218","218","218","0.011476688086986542","0.011476688086986542","0.011476688086986542","218","218","218","0.02145894058048725","0.02145894058048725","0.02145894058048725"
