"Evaluate/step_episode","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MAX","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterPredictLoss_kf","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterPredictLoss_kf__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterPredictLoss_kf__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterPredictLoss_kf","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterPredictLoss_kf__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterPredictLoss_kf__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterPredictLoss_kf","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterPredictLoss_kf__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterPredictLoss_kf__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - _step","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterPredictLoss_kf","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterPredictLoss_kf__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterPredictLoss_kf__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - _step","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterPredictLoss_kf","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterPredictLoss_kf__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterPredictLoss_kf__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterPredictLoss_kf","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterPredictLoss_kf__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterPredictLoss_kf__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterPredictLoss_kf","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterPredictLoss_kf__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterPredictLoss_kf__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterPredictLoss_kf","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterPredictLoss_kf__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterPredictLoss_kf__MAX"
"10","57","57","57","0.0013651911867782474","0.0013651911867782474","0.0013651911867782474","68","68","68","0.0011707734083756804","0.0011707734083756804","0.0011707734083756804","68","68","68","0.0010211843764409423","0.0010211843764409423","0.0010211843764409423","68","68","68","0.0010696538956835866","0.0010696538956835866","0.0010696538956835866","68","68","68","0.0010382384061813354","0.0010382384061813354","0.0010382384061813354","57","57","57","0.0013093550223857164","0.0013093550223857164","0.0013093550223857164","68","68","68","0.0015587658854201436","0.0015587658854201436","0.0015587658854201436","68","68","68","0.0010261492570862174","0.0010261492570862174","0.0010261492570862174"
"11","62","62","62","0.001043482217937708","0.001043482217937708","0.001043482217937708","74","74","74","0.001160752261057496","0.001160752261057496","0.001160752261057496","74","74","74","0.0010914731537923217","0.0010914731537923217","0.0010914731537923217","74","74","74","0.0009804500732570887","0.0009804500732570887","0.0009804500732570887","74","74","74","0.0009700345690362155","0.0009700345690362155","0.0009700345690362155","62","62","62","0.0016229019965976477","0.0016229019965976477","0.0016229019965976477","74","74","74","0.0006851532380096614","0.0006851532380096614","0.0006851532380096614","74","74","74","0.0007952731102705002","0.0007952731102705002","0.0007952731102705002"
"12","67","67","67","0.0007581555400975049","0.0007581555400975049","0.0007581555400975049","80","80","80","0.0008323781657963991","0.0008323781657963991","0.0008323781657963991","80","80","80","0.0007379500893875957","0.0007379500893875957","0.0007379500893875957","80","80","80","0.0010387334041297436","0.0010387334041297436","0.0010387334041297436","80","80","80","0.0007100558723323047","0.0007100558723323047","0.0007100558723323047","67","67","67","0.0010577550856396556","0.0010577550856396556","0.0010577550856396556","80","80","80","0.0008842105744406581","0.0008842105744406581","0.0008842105744406581","80","80","80","0.0007753556710667908","0.0007753556710667908","0.0007753556710667908"
"13","72","72","72","0.0012286222772672772","0.0012286222772672772","0.0012286222772672772","86","86","86","0.0017351669957861304","0.0017351669957861304","0.0017351669957861304","86","86","86","0.0008600634173490107","0.0008600634173490107","0.0008600634173490107","86","86","86","0.001227081404067576","0.001227081404067576","0.001227081404067576","86","86","86","0.0007630938198417425","0.0007630938198417425","0.0007630938198417425","72","72","72","0.0010826910147443414","0.0010826910147443414","0.0010826910147443414","86","86","86","0.000989861786365509","0.000989861786365509","0.000989861786365509","86","86","86","0.001176303718239069","0.001176303718239069","0.001176303718239069"
"14","77","77","77","0.0007194076315499842","0.0007194076315499842","0.0007194076315499842","92","92","92","0.0010126852430403233","0.0010126852430403233","0.0010126852430403233","92","92","92","0.0010298084234818816","0.0010298084234818816","0.0010298084234818816","92","92","92","0.001316611422225833","0.001316611422225833","0.001316611422225833","92","92","92","0.0006038052379153669","0.0006038052379153669","0.0006038052379153669","77","77","77","0.0010748616186901927","0.0010748616186901927","0.0010748616186901927","92","92","92","0.0010550267761573195","0.0010550267761573195","0.0010550267761573195","92","92","92","0.0013251836644485593","0.0013251836644485593","0.0013251836644485593"
"15","82","82","82","0.0009015953401103616","0.0009015953401103616","0.0009015953401103616","98","98","98","0.000720382493454963","0.000720382493454963","0.000720382493454963","98","98","98","0.0008641559397801757","0.0008641559397801757","0.0008641559397801757","98","98","98","0.0010579481022432446","0.0010579481022432446","0.0010579481022432446","98","98","98","0.0008411970338784158","0.0008411970338784158","0.0008411970338784158","82","82","82","0.0007484948728233576","0.0007484948728233576","0.0007484948728233576","98","98","98","0.0008412773604504764","0.0008412773604504764","0.0008412773604504764","98","98","98","0.0007272711372934282","0.0007272711372934282","0.0007272711372934282"
"16","87","87","87","0.0011709140380844474","0.0011709140380844474","0.0011709140380844474","104","104","104","0.0007451247074641287","0.0007451247074641287","0.0007451247074641287","104","104","104","0.0006751346518285573","0.0006751346518285573","0.0006751346518285573","104","104","104","0.0010044334921985865","0.0010044334921985865","0.0010044334921985865","104","104","104","0.0008604414761066437","0.0008604414761066437","0.0008604414761066437","87","87","87","0.0012713100295513868","0.0012713100295513868","0.0012713100295513868","104","104","104","0.000918532139621675","0.000918532139621675","0.000918532139621675","104","104","104","0.0007887625251896679","0.0007887625251896679","0.0007887625251896679"
"17","92","92","92","0.0011274574790149927","0.0011274574790149927","0.0011274574790149927","110","110","110","0.0008366563124582171","0.0008366563124582171","0.0008366563124582171","110","110","110","0.0008506554295308888","0.0008506554295308888","0.0008506554295308888","110","110","110","0.0008139464189298451","0.0008139464189298451","0.0008139464189298451","110","110","110","0.0008696300210431218","0.0008696300210431218","0.0008696300210431218","92","92","92","0.0013418609742075205","0.0013418609742075205","0.0013418609742075205","110","110","110","0.0007107151322998106","0.0007107151322998106","0.0007107151322998106","110","110","110","0.0008950915653258562","0.0008950915653258562","0.0008950915653258562"
"18","97","97","97","0.0013189087621867657","0.0013189087621867657","0.0013189087621867657","116","116","116","0.0009377467213198543","0.0009377467213198543","0.0009377467213198543","116","116","116","0.0005138610722497106","0.0005138610722497106","0.0005138610722497106","116","116","116","0.0008102703141048551","0.0008102703141048551","0.0008102703141048551","116","116","116","0.0006492055836133659","0.0006492055836133659","0.0006492055836133659","97","97","97","0.0010718227131292224","0.0010718227131292224","0.0010718227131292224","116","116","116","0.0009455505642108619","0.0009455505642108619","0.0009455505642108619","116","116","116","0.0008216886781156063","0.0008216886781156063","0.0008216886781156063"
"19","102","102","102","0.0010407502995803952","0.0010407502995803952","0.0010407502995803952","122","122","122","0.0007941148360259831","0.0007941148360259831","0.0007941148360259831","122","122","122","0.0008029398741200566","0.0008029398741200566","0.0008029398741200566","122","122","122","0.0007802479085512459","0.0007802479085512459","0.0007802479085512459","122","122","122","0.0006435577524825931","0.0006435577524825931","0.0006435577524825931","102","102","102","0.0007387098739854991","0.0007387098739854991","0.0007387098739854991","122","122","122","0.0010406274814158678","0.0010406274814158678","0.0010406274814158678","122","122","122","0.0006799913826398551","0.0006799913826398551","0.0006799913826398551"
"20","107","107","107","0.0010336561826989055","0.0010336561826989055","0.0010336561826989055","128","128","128","0.0009883394232019782","0.0009883394232019782","0.0009883394232019782","128","128","128","0.0005176663980819285","0.0005176663980819285","0.0005176663980819285","128","128","128","0.0010756260016933084","0.0010756260016933084","0.0010756260016933084","128","128","128","0.0009480987209826708","0.0009480987209826708","0.0009480987209826708","107","107","107","0.0012811084743589163","0.0012811084743589163","0.0012811084743589163","128","128","128","0.0013935139868408442","0.0013935139868408442","0.0013935139868408442","128","128","128","0.0011977794347330928","0.0011977794347330928","0.0011977794347330928"
"21","112","112","112","0.0011246195062994957","0.0011246195062994957","0.0011246195062994957","134","134","134","0.0010992898605763912","0.0010992898605763912","0.0010992898605763912","134","134","134","0.0009698354406282306","0.0009698354406282306","0.0009698354406282306","134","134","134","0.0014884585980325937","0.0014884585980325937","0.0014884585980325937","134","134","134","0.0007806699723005295","0.0007806699723005295","0.0007806699723005295","112","112","112","0.0014279590686783195","0.0014279590686783195","0.0014279590686783195","134","134","134","0.0008541819988749921","0.0008541819988749921","0.0008541819988749921","134","134","134","0.0006472520180977881","0.0006472520180977881","0.0006472520180977881"
"22","117","117","117","0.0009898055577650666","0.0009898055577650666","0.0009898055577650666","140","140","140","0.0008658729493618011","0.0008658729493618011","0.0008658729493618011","140","140","140","0.0008990645292215049","0.0008990645292215049","0.0008990645292215049","140","140","140","0.0009330401080660522","0.0009330401080660522","0.0009330401080660522","140","140","140","0.0007739979773759842","0.0007739979773759842","0.0007739979773759842","117","117","117","0.001431296463124454","0.001431296463124454","0.001431296463124454","140","140","140","0.0006789840408600867","0.0006789840408600867","0.0006789840408600867","140","140","140","0.0006650343420915306","0.0006650343420915306","0.0006650343420915306"
"23","122","122","122","0.0008301069610752165","0.0008301069610752165","0.0008301069610752165","146","146","146","0.0007689069025218487","0.0007689069025218487","0.0007689069025218487","146","146","146","0.0005494994693435729","0.0005494994693435729","0.0005494994693435729","146","146","146","0.0011605200124904513","0.0011605200124904513","0.0011605200124904513","146","146","146","0.0014399114297702909","0.0014399114297702909","0.0014399114297702909","122","122","122","0.0007818753365427256","0.0007818753365427256","0.0007818753365427256","146","146","146","0.0005559640121646225","0.0005559640121646225","0.0005559640121646225","146","146","146","0.0006700922385789454","0.0006700922385789454","0.0006700922385789454"
"24","127","127","127","0.0011663537006825209","0.0011663537006825209","0.0011663537006825209","152","152","152","0.0009244004613719881","0.0009244004613719881","0.0009244004613719881","152","152","152","0.0010300312424078584","0.0010300312424078584","0.0010300312424078584","152","152","152","0.0006715603522025049","0.0006715603522025049","0.0006715603522025049","152","152","152","0.0010606962023302913","0.0010606962023302913","0.0010606962023302913","127","127","127","0.0007134503102861345","0.0007134503102861345","0.0007134503102861345","152","152","152","0.0008206884958781302","0.0008206884958781302","0.0008206884958781302","152","152","152","0.0009332179324701428","0.0009332179324701428","0.0009332179324701428"
"25","132","132","132","0.0009821354178711772","0.0009821354178711772","0.0009821354178711772","158","158","158","0.0010407856898382306","0.0010407856898382306","0.0010407856898382306","158","158","158","0.0007870314293541014","0.0007870314293541014","0.0007870314293541014","158","158","158","0.0013992036692798138","0.0013992036692798138","0.0013992036692798138","158","158","158","0.0008651071111671627","0.0008651071111671627","0.0008651071111671627","132","132","132","0.0012341724941506982","0.0012341724941506982","0.0012341724941506982","158","158","158","0.0009611015557311475","0.0009611015557311475","0.0009611015557311475","158","158","158","0.0008838828653097153","0.0008838828653097153","0.0008838828653097153"
"26","137","137","137","0.0008908397285267711","0.0008908397285267711","0.0008908397285267711","164","164","164","0.001152721932157874","0.001152721932157874","0.001152721932157874","164","164","164","0.000818564323708415","0.000818564323708415","0.000818564323708415","164","164","164","0.0011006379500031471","0.0011006379500031471","0.0011006379500031471","164","164","164","0.001117550302296877","0.001117550302296877","0.001117550302296877","137","137","137","0.001181682338938117","0.001181682338938117","0.001181682338938117","164","164","164","0.0013338748831301928","0.0013338748831301928","0.0013338748831301928","164","164","164","0.0013536890037357807","0.0013536890037357807","0.0013536890037357807"
"27","142","142","142","0.0014427993446588516","0.0014427993446588516","0.0014427993446588516","170","170","170","0.0007782015018165112","0.0007782015018165112","0.0007782015018165112","170","170","170","0.0008957804529927671","0.0008957804529927671","0.0008957804529927671","170","170","170","0.0009529136004857719","0.0009529136004857719","0.0009529136004857719","170","170","170","0.0008606152259744704","0.0008606152259744704","0.0008606152259744704","142","142","142","0.0008679744205437601","0.0008679744205437601","0.0008679744205437601","170","170","170","0.0009004281018860638","0.0009004281018860638","0.0009004281018860638","170","170","170","0.0008908691816031933","0.0008908691816031933","0.0008908691816031933"
"28","147","147","147","0.0008259823662228882","0.0008259823662228882","0.0008259823662228882","176","176","176","0.0007727484917268157","0.0007727484917268157","0.0007727484917268157","176","176","176","0.0010553257307037711","0.0010553257307037711","0.0010553257307037711","176","176","176","0.0011881376849487424","0.0011881376849487424","0.0011881376849487424","176","176","176","0.0009754383936524391","0.0009754383936524391","0.0009754383936524391","147","147","147","0.0009730500751174986","0.0009730500751174986","0.0009730500751174986","176","176","176","0.0006998744211159647","0.0006998744211159647","0.0006998744211159647","176","176","176","0.001142294961027801","0.001142294961027801","0.001142294961027801"
"29","152","152","152","0.0011512045748531818","0.0011512045748531818","0.0011512045748531818","182","182","182","0.0009795301593840122","0.0009795301593840122","0.0009795301593840122","182","182","182","0.0007505086832679808","0.0007505086832679808","0.0007505086832679808","182","182","182","0.001144888810813427","0.001144888810813427","0.001144888810813427","182","182","182","0.001044825534336269","0.001044825534336269","0.001044825534336269","152","152","152","0.0009136000880971551","0.0009136000880971551","0.0009136000880971551","182","182","182","0.0006476902635768056","0.0006476902635768056","0.0006476902635768056","182","182","182","0.0009792223572731018","0.0009792223572731018","0.0009792223572731018"
"30","157","157","157","0.001094099716283381","0.001094099716283381","0.001094099716283381","188","188","188","0.0009616935276426375","0.0009616935276426375","0.0009616935276426375","188","188","188","0.0007906773244030774","0.0007906773244030774","0.0007906773244030774","188","188","188","0.0008201734744943678","0.0008201734744943678","0.0008201734744943678","188","188","188","0.0007889300468377769","0.0007889300468377769","0.0007889300468377769","157","157","157","0.0011578327976167202","0.0011578327976167202","0.0011578327976167202","188","188","188","0.0007371603278443217","0.0007371603278443217","0.0007371603278443217","188","188","188","0.0007238474208861589","0.0007238474208861589","0.0007238474208861589"
"31","162","162","162","0.001043447875417769","0.001043447875417769","0.001043447875417769","194","194","194","0.00079953926615417","0.00079953926615417","0.00079953926615417","194","194","194","0.0008381815277971327","0.0008381815277971327","0.0008381815277971327","194","194","194","0.0010732617229223251","0.0010732617229223251","0.0010732617229223251","194","194","194","0.00068616186035797","0.00068616186035797","0.00068616186035797","162","162","162","0.0008993115043267608","0.0008993115043267608","0.0008993115043267608","194","194","194","0.0006793243228457868","0.0006793243228457868","0.0006793243228457868","194","194","194","0.0007731122896075249","0.0007731122896075249","0.0007731122896075249"
"32","167","167","167","0.0012790329055860639","0.0012790329055860639","0.0012790329055860639","200","200","200","0.0009902395540848374","0.0009902395540848374","0.0009902395540848374","200","200","200","0.0008684495114721358","0.0008684495114721358","0.0008684495114721358","200","200","200","0.0009995376458391547","0.0009995376458391547","0.0009995376458391547","200","200","200","0.0012164436047896743","0.0012164436047896743","0.0012164436047896743","167","167","167","0.0015634166775271297","0.0015634166775271297","0.0015634166775271297","200","200","200","0.0009429599158465862","0.0009429599158465862","0.0009429599158465862","200","200","200","0.0012203837977722287","0.0012203837977722287","0.0012203837977722287"
"33","172","172","172","0.0008354679448530078","0.0008354679448530078","0.0008354679448530078","206","206","206","0.0010317907435819507","0.0010317907435819507","0.0010317907435819507","206","206","206","0.0009034866816364229","0.0009034866816364229","0.0009034866816364229","206","206","206","0.0012853012885898352","0.0012853012885898352","0.0012853012885898352","206","206","206","0.000962446560151875","0.000962446560151875","0.000962446560151875","172","172","172","0.0010625793365761638","0.0010625793365761638","0.0010625793365761638","206","206","206","0.0013935866300016642","0.0013935866300016642","0.0013935866300016642","206","206","206","0.0011670493986457586","0.0011670493986457586","0.0011670493986457586"
