"Evaluate/step_episode","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MAX","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterRecoverCoeAccu","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterRecoverCoeAccu__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterRecoverCoeAccu__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterRecoverCoeAccu","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterRecoverCoeAccu__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterRecoverCoeAccu__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterRecoverCoeAccu","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterRecoverCoeAccu__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterRecoverCoeAccu__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - _step","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterRecoverCoeAccu","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterRecoverCoeAccu__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterRecoverCoeAccu__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - _step","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterRecoverCoeAccu","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterRecoverCoeAccu__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterRecoverCoeAccu__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterRecoverCoeAccu","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterRecoverCoeAccu__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterRecoverCoeAccu__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterRecoverCoeAccu","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterRecoverCoeAccu__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterRecoverCoeAccu__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterRecoverCoeAccu","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterRecoverCoeAccu__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterRecoverCoeAccu__MAX"
"10","56","56","56","0.03458035737276077","0.03458035737276077","0.03458035737276077","67","67","67","0.05062101408839226","0.05062101408839226","0.05062101408839226","67","67","67","0.03906954452395439","0.03906954452395439","0.03906954452395439","67","67","67","0.036874644458293915","0.036874644458293915","0.036874644458293915","67","67","67","0.04107645899057388","0.04107645899057388","0.04107645899057388","56","56","56","0.01161338109523058","0.01161338109523058","0.01161338109523058","67","67","67","0.03431740775704384","0.03431740775704384","0.03431740775704384","67","67","67","0.036566078662872314","0.036566078662872314","0.036566078662872314"
"11","61","61","61","0.02966167777776718","0.02966167777776718","0.02966167777776718","73","73","73","0.027914375066757202","0.027914375066757202","0.027914375066757202","73","73","73","0.04981397092342377","0.04981397092342377","0.04981397092342377","73","73","73","0.03523341193795204","0.03523341193795204","0.03523341193795204","73","73","73","0.04147620126605034","0.04147620126605034","0.04147620126605034","61","61","61","0.018936637789011","0.018936637789011","0.018936637789011","73","73","73","0.04433322325348854","0.04433322325348854","0.04433322325348854","73","73","73","0.03574417904019356","0.03574417904019356","0.03574417904019356"
"12","66","66","66","0.03821180388331413","0.03821180388331413","0.03821180388331413","79","79","79","0.04280206188559532","0.04280206188559532","0.04280206188559532","79","79","79","0.06509456783533096","0.06509456783533096","0.06509456783533096","79","79","79","0.051520414650440216","0.051520414650440216","0.051520414650440216","79","79","79","0.022494565695524216","0.022494565695524216","0.022494565695524216","66","66","66","0.013986296020448208","0.013986296020448208","0.013986296020448208","79","79","79","0.05204074829816818","0.05204074829816818","0.05204074829816818","79","79","79","0.020601624622941017","0.020601624622941017","0.020601624622941017"
"13","71","71","71","0.032469429075717926","0.032469429075717926","0.032469429075717926","85","85","85","0.034979164600372314","0.034979164600372314","0.034979164600372314","85","85","85","0.04287621006369591","0.04287621006369591","0.04287621006369591","85","85","85","0.030614690855145454","0.030614690855145454","0.030614690855145454","85","85","85","0.022281670942902565","0.022281670942902565","0.022281670942902565","71","71","71","0.05743635073304176","0.05743635073304176","0.05743635073304176","85","85","85","0.034397974610328674","0.034397974610328674","0.034397974610328674","85","85","85","0.037672076374292374","0.037672076374292374","0.037672076374292374"
"14","76","76","76","0.04199664667248726","0.04199664667248726","0.04199664667248726","91","91","91","0.017575465142726898","0.017575465142726898","0.017575465142726898","91","91","91","0.049935124814510345","0.049935124814510345","0.049935124814510345","91","91","91","0.046676333993673325","0.046676333993673325","0.046676333993673325","91","91","91","0.03938540071249008","0.03938540071249008","0.03938540071249008","76","76","76","0.040953073650598526","0.040953073650598526","0.040953073650598526","91","91","91","0.035393621772527695","0.035393621772527695","0.035393621772527695","91","91","91","0.0527571476995945","0.0527571476995945","0.0527571476995945"
"15","81","81","81","0.021744517609477043","0.021744517609477043","0.021744517609477043","97","97","97","0.0645594373345375","0.0645594373345375","0.0645594373345375","97","97","97","0.03667011111974716","0.03667011111974716","0.03667011111974716","97","97","97","0.03335796669125557","0.03335796669125557","0.03335796669125557","97","97","97","0.04634460434317589","0.04634460434317589","0.04634460434317589","81","81","81","0.0338987372815609","0.0338987372815609","0.0338987372815609","97","97","97","0.04926920309662819","0.04926920309662819","0.04926920309662819","97","97","97","0.04810317978262901","0.04810317978262901","0.04810317978262901"
"16","86","86","86","0.034232355654239655","0.034232355654239655","0.034232355654239655","103","103","103","0.044672902673482895","0.044672902673482895","0.044672902673482895","103","103","103","0.04486748203635216","0.04486748203635216","0.04486748203635216","103","103","103","0.025275370106101036","0.025275370106101036","0.025275370106101036","103","103","103","0.041114214807748795","0.041114214807748795","0.041114214807748795","86","86","86","0.03650603070855141","0.03650603070855141","0.03650603070855141","103","103","103","0.04227832704782486","0.04227832704782486","0.04227832704782486","103","103","103","0.04571592062711716","0.04571592062711716","0.04571592062711716"
"17","91","91","91","0.022153401747345924","0.022153401747345924","0.022153401747345924","109","109","109","0.043506134301424026","0.043506134301424026","0.043506134301424026","109","109","109","0.045091599225997925","0.045091599225997925","0.045091599225997925","109","109","109","0.030057856813073158","0.030057856813073158","0.030057856813073158","109","109","109","0.03536263853311539","0.03536263853311539","0.03536263853311539","91","91","91","0.040563054382801056","0.040563054382801056","0.040563054382801056","109","109","109","0.03930015116930008","0.03930015116930008","0.03930015116930008","109","109","109","0.038781214505434036","0.038781214505434036","0.038781214505434036"
"18","96","96","96","0.027111493051052094","0.027111493051052094","0.027111493051052094","115","115","115","0.057775650173425674","0.057775650173425674","0.057775650173425674","115","115","115","0.047518081963062286","0.047518081963062286","0.047518081963062286","115","115","115","0.03615346923470497","0.03615346923470497","0.03615346923470497","115","115","115","0.06083548441529274","0.06083548441529274","0.06083548441529274","96","96","96","0.05184536799788475","0.05184536799788475","0.05184536799788475","115","115","115","0.048914261162281036","0.048914261162281036","0.048914261162281036","115","115","115","0.04580012336373329","0.04580012336373329","0.04580012336373329"
"19","101","101","101","0.03996749594807625","0.03996749594807625","0.03996749594807625","121","121","121","0.025539075955748558","0.025539075955748558","0.025539075955748558","121","121","121","0.042569056153297424","0.042569056153297424","0.042569056153297424","121","121","121","0.0554518923163414","0.0554518923163414","0.0554518923163414","121","121","121","0.03220289945602417","0.03220289945602417","0.03220289945602417","101","101","101","0.03526400774717331","0.03526400774717331","0.03526400774717331","121","121","121","0.02118975669145584","0.02118975669145584","0.02118975669145584","121","121","121","0.03965400531888008","0.03965400531888008","0.03965400531888008"
"20","106","106","106","0.03301344811916351","0.03301344811916351","0.03301344811916351","127","127","127","0.050537630915641785","0.050537630915641785","0.050537630915641785","127","127","127","0.03634681925177574","0.03634681925177574","0.03634681925177574","127","127","127","0.03542932868003845","0.03542932868003845","0.03542932868003845","127","127","127","0.03505085036158562","0.03505085036158562","0.03505085036158562","106","106","106","0.016806939616799355","0.016806939616799355","0.016806939616799355","127","127","127","0.03522052988409996","0.03522052988409996","0.03522052988409996","127","127","127","0.04990464076399803","0.04990464076399803","0.04990464076399803"
"21","111","111","111","0.038411956280469894","0.038411956280469894","0.038411956280469894","133","133","133","0.03306964412331581","0.03306964412331581","0.03306964412331581","133","133","133","0.045215629041194916","0.045215629041194916","0.045215629041194916","133","133","133","0.04973129555583","0.04973129555583","0.04973129555583","133","133","133","0.052944257855415344","0.052944257855415344","0.052944257855415344","111","111","111","0.029981397092342377","0.029981397092342377","0.029981397092342377","133","133","133","0.04825953394174576","0.04825953394174576","0.04825953394174576","133","133","133","0.048139382153749466","0.048139382153749466","0.048139382153749466"
"22","116","116","116","0.05148467421531677","0.05148467421531677","0.05148467421531677","139","139","139","0.03163618966937065","0.03163618966937065","0.03163618966937065","139","139","139","0.038962602615356445","0.038962602615356445","0.038962602615356445","139","139","139","0.02681279554963112","0.02681279554963112","0.02681279554963112","139","139","139","0.044344741851091385","0.044344741851091385","0.044344741851091385","116","116","116","0.048874273896217346","0.048874273896217346","0.048874273896217346","139","139","139","0.05795874819159508","0.05795874819159508","0.05795874819159508","139","139","139","0.06332628428936005","0.06332628428936005","0.06332628428936005"
"23","121","121","121","0.019660912454128265","0.019660912454128265","0.019660912454128265","145","145","145","0.018390322104096413","0.018390322104096413","0.018390322104096413","145","145","145","0.035360805690288544","0.035360805690288544","0.035360805690288544","145","145","145","0.03197748214006424","0.03197748214006424","0.03197748214006424","145","145","145","0.021570706740021706","0.021570706740021706","0.021570706740021706","121","121","121","0.036370597779750824","0.036370597779750824","0.036370597779750824","145","145","145","0.03481731936335564","0.03481731936335564","0.03481731936335564","145","145","145","0.05410923808813095","0.05410923808813095","0.05410923808813095"
"24","126","126","126","0.02284255065023899","0.02284255065023899","0.02284255065023899","151","151","151","0.052461981773376465","0.052461981773376465","0.052461981773376465","151","151","151","0.04195772483944893","0.04195772483944893","0.04195772483944893","151","151","151","0.036691177636384964","0.036691177636384964","0.036691177636384964","151","151","151","0.019247138872742653","0.019247138872742653","0.019247138872742653","126","126","126","0.040623392909765244","0.040623392909765244","0.040623392909765244","151","151","151","0.05051913112401962","0.05051913112401962","0.05051913112401962","151","151","151","0.057393062859773636","0.057393062859773636","0.057393062859773636"
"25","131","131","131","0.02528427541255951","0.02528427541255951","0.02528427541255951","157","157","157","0.04263032227754593","0.04263032227754593","0.04263032227754593","157","157","157","0.03214569762349129","0.03214569762349129","0.03214569762349129","157","157","157","0.02580474503338337","0.02580474503338337","0.02580474503338337","157","157","157","0.018137777224183083","0.018137777224183083","0.018137777224183083","131","131","131","0.02638937346637249","0.02638937346637249","0.02638937346637249","157","157","157","0.05321567505598068","0.05321567505598068","0.05321567505598068","157","157","157","0.03786983713507652","0.03786983713507652","0.03786983713507652"
"26","136","136","136","0.023975808173418045","0.023975808173418045","0.023975808173418045","163","163","163","0.032316114753484726","0.032316114753484726","0.032316114753484726","163","163","163","0.03732447326183319","0.03732447326183319","0.03732447326183319","163","163","163","0.02968979813158512","0.02968979813158512","0.02968979813158512","163","163","163","0.0398542694747448","0.0398542694747448","0.0398542694747448","136","136","136","0.05582312121987343","0.05582312121987343","0.05582312121987343","163","163","163","0.030136646702885628","0.030136646702885628","0.030136646702885628","163","163","163","0.06912331283092499","0.06912331283092499","0.06912331283092499"
"27","141","141","141","0.05175694450736046","0.05175694450736046","0.05175694450736046","169","169","169","0.01629815623164177","0.01629815623164177","0.01629815623164177","169","169","169","0.03077762946486473","0.03077762946486473","0.03077762946486473","169","169","169","0.024822711944580078","0.024822711944580078","0.024822711944580078","169","169","169","0.025585826486349106","0.025585826486349106","0.025585826486349106","141","141","141","0.0370907299220562","0.0370907299220562","0.0370907299220562","169","169","169","0.02666361816227436","0.02666361816227436","0.02666361816227436","169","169","169","0.03842928633093834","0.03842928633093834","0.03842928633093834"
"28","146","146","146","0.036990199238061905","0.036990199238061905","0.036990199238061905","175","175","175","0.030683182179927826","0.030683182179927826","0.030683182179927826","175","175","175","0.06084521487355232","0.06084521487355232","0.06084521487355232","175","175","175","0.024734029546380043","0.024734029546380043","0.024734029546380043","175","175","175","0.028404569253325462","0.028404569253325462","0.028404569253325462","146","146","146","0.02936493419110775","0.02936493419110775","0.02936493419110775","175","175","175","0.036487407982349396","0.036487407982349396","0.036487407982349396","175","175","175","0.04215909540653229","0.04215909540653229","0.04215909540653229"
"29","151","151","151","0.02966068685054779","0.02966068685054779","0.02966068685054779","181","181","181","0.038469232618808746","0.038469232618808746","0.038469232618808746","181","181","181","0.03933059424161911","0.03933059424161911","0.03933059424161911","181","181","181","0.038293514400720596","0.038293514400720596","0.038293514400720596","181","181","181","0.032838042825460434","0.032838042825460434","0.032838042825460434","151","151","151","0.03078799694776535","0.03078799694776535","0.03078799694776535","181","181","181","0.027710268273949623","0.027710268273949623","0.027710268273949623","181","181","181","0.04213294759392738","0.04213294759392738","0.04213294759392738"
"30","156","156","156","0.024130191653966904","0.024130191653966904","0.024130191653966904","187","187","187","0.045198649168014526","0.045198649168014526","0.045198649168014526","187","187","187","0.023300571367144585","0.023300571367144585","0.023300571367144585","187","187","187","0.04097295552492142","0.04097295552492142","0.04097295552492142","187","187","187","0.03088299185037613","0.03088299185037613","0.03088299185037613","156","156","156","0.03806688264012337","0.03806688264012337","0.03806688264012337","187","187","187","0.023921361193060875","0.023921361193060875","0.023921361193060875","187","187","187","0.07604706287384033","0.07604706287384033","0.07604706287384033"
"31","161","161","161","0.03879663348197937","0.03879663348197937","0.03879663348197937","193","193","193","0.04726814106106758","0.04726814106106758","0.04726814106106758","193","193","193","0.0390947125852108","0.0390947125852108","0.0390947125852108","193","193","193","0.03316778689622879","0.03316778689622879","0.03316778689622879","193","193","193","0.03582529351115227","0.03582529351115227","0.03582529351115227","161","161","161","0.034842830151319504","0.034842830151319504","0.034842830151319504","193","193","193","0.02898046001791954","0.02898046001791954","0.02898046001791954","193","193","193","0.05812270939350128","0.05812270939350128","0.05812270939350128"
"32","166","166","166","0.03999476879835129","0.03999476879835129","0.03999476879835129","199","199","199","0.05536133795976639","0.05536133795976639","0.05536133795976639","199","199","199","0.048333778977394104","0.048333778977394104","0.048333778977394104","199","199","199","0.0341377928853035","0.0341377928853035","0.0341377928853035","199","199","199","0.027542181313037872","0.027542181313037872","0.027542181313037872","166","166","166","0.056528180837631226","0.056528180837631226","0.056528180837631226","199","199","199","0.06293504685163498","0.06293504685163498","0.06293504685163498","199","199","199","0.054351940751075745","0.054351940751075745","0.054351940751075745"
"33","171","171","171","0.031963516026735306","0.031963516026735306","0.031963516026735306","205","205","205","0.03778139874339104","0.03778139874339104","0.03778139874339104","205","205","205","0.0401635505259037","0.0401635505259037","0.0401635505259037","205","205","205","0.05211438983678818","0.05211438983678818","0.05211438983678818","205","205","205","0.041807178407907486","0.041807178407907486","0.041807178407907486","171","171","171","0.011790712364017963","0.011790712364017963","0.011790712364017963","205","205","205","0.03651082515716553","0.03651082515716553","0.03651082515716553","205","205","205","0.02558881975710392","0.02558881975710392","0.02558881975710392"
"34","176","176","176","0.04535886272788048","0.04535886272788048","0.04535886272788048","211","211","211","0.03495604172348976","0.03495604172348976","0.03495604172348976","211","211","211","0.03795764222741127","0.03795764222741127","0.03795764222741127","211","211","211","0.02415713667869568","0.02415713667869568","0.02415713667869568","211","211","211","0.04171398654580116","0.04171398654580116","0.04171398654580116","176","176","176","0.024795718491077423","0.024795718491077423","0.024795718491077423","211","211","211","0.04889214411377907","0.04889214411377907","0.04889214411377907","211","211","211","0.04451276734471321","0.04451276734471321","0.04451276734471321"
"35","181","181","181","0.018944935873150826","0.018944935873150826","0.018944935873150826","217","217","217","0.050262488424777985","0.050262488424777985","0.050262488424777985","217","217","217","0.04023933783173561","0.04023933783173561","0.04023933783173561","217","217","217","0.03476974740624428","0.03476974740624428","0.03476974740624428","217","217","217","0.032384563237428665","0.032384563237428665","0.032384563237428665","181","181","181","0.02676321193575859","0.02676321193575859","0.02676321193575859","217","217","217","0.03716577589511871","0.03716577589511871","0.03716577589511871","217","217","217","0.03914986178278923","0.03914986178278923","0.03914986178278923"
