"Evaluate/step_episode","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MAX","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu_ekf","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu_ekf__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu_ekf__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu_ekf","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu_ekf__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu_ekf__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu_ekf","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu_ekf__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu_ekf__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - _step","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu_ekf","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu_ekf__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu_ekf__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - _step","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu_ekf","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu_ekf__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu_ekf__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu_ekf","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu_ekf__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu_ekf__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu_ekf","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu_ekf__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu_ekf__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu_ekf","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu_ekf__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu_ekf__MAX"
"10","57","57","57","0.07236237078905106","0.07236237078905106","0.07236237078905106","69","69","69","0.0632832869887352","0.0632832869887352","0.0632832869887352","69","69","69","0.059341806918382645","0.059341806918382645","0.059341806918382645","69","69","69","0.04740887135267258","0.04740887135267258","0.04740887135267258","69","69","69","0.042603302747011185","0.042603302747011185","0.042603302747011185","57","57","57","0.03733370080590248","0.03733370080590248","0.03733370080590248","69","69","69","0.0473397821187973","0.0473397821187973","0.0473397821187973","69","69","69","0.06589020788669586","0.06589020788669586","0.06589020788669586"
"11","62","62","62","0.06877563148736954","0.06877563148736954","0.06877563148736954","75","75","75","0.040528349578380585","0.040528349578380585","0.040528349578380585","75","75","75","0.065696120262146","0.065696120262146","0.065696120262146","75","75","75","0.053198784589767456","0.053198784589767456","0.053198784589767456","75","75","75","0.043819673359394073","0.043819673359394073","0.043819673359394073","62","62","62","0.05670510232448578","0.05670510232448578","0.05670510232448578","75","75","75","0.05441911518573761","0.05441911518573761","0.05441911518573761","75","75","75","0.048255808651447296","0.048255808651447296","0.048255808651447296"
"12","67","67","67","0.043609537184238434","0.043609537184238434","0.043609537184238434","81","81","81","0.04676227644085884","0.04676227644085884","0.04676227644085884","81","81","81","0.030207429081201553","0.030207429081201553","0.030207429081201553","81","81","81","0.038387417793273926","0.038387417793273926","0.038387417793273926","81","81","81","0.02592279575765133","0.02592279575765133","0.02592279575765133","67","67","67","0.04386041685938835","0.04386041685938835","0.04386041685938835","81","81","81","0.03754892572760582","0.03754892572760582","0.03754892572760582","81","81","81","0.04682394862174988","0.04682394862174988","0.04682394862174988"
"13","72","72","72","0.036553967744112015","0.036553967744112015","0.036553967744112015","87","87","87","0.06806163489818573","0.06806163489818573","0.06806163489818573","87","87","87","0.06885926425457001","0.06885926425457001","0.06885926425457001","87","87","87","0.05673852935433388","0.05673852935433388","0.05673852935433388","87","87","87","0.0479794442653656","0.0479794442653656","0.0479794442653656","72","72","72","0.043381351977586746","0.043381351977586746","0.043381351977586746","87","87","87","0.05921490490436554","0.05921490490436554","0.05921490490436554","87","87","87","0.0402640700340271","0.0402640700340271","0.0402640700340271"
"14","77","77","77","0.036272838711738586","0.036272838711738586","0.036272838711738586","93","93","93","0.03965972736477852","0.03965972736477852","0.03965972736477852","93","93","93","0.04303179308772087","0.04303179308772087","0.04303179308772087","93","93","93","0.052591197192668915","0.052591197192668915","0.052591197192668915","93","93","93","0.041357897222042084","0.041357897222042084","0.041357897222042084","77","77","77","0.05672368034720421","0.05672368034720421","0.05672368034720421","93","93","93","0.059022147208452225","0.059022147208452225","0.059022147208452225","93","93","93","0.04116140305995941","0.04116140305995941","0.04116140305995941"
"15","82","82","82","0.02854948863387108","0.02854948863387108","0.02854948863387108","99","99","99","0.05351657420396805","0.05351657420396805","0.05351657420396805","99","99","99","0.03656228631734848","0.03656228631734848","0.03656228631734848","99","99","99","0.04221230372786522","0.04221230372786522","0.04221230372786522","99","99","99","0.03253276273608208","0.03253276273608208","0.03253276273608208","82","82","82","0.02172907069325447","0.02172907069325447","0.02172907069325447","99","99","99","0.029144829139113426","0.029144829139113426","0.029144829139113426","99","99","99","0.05006173625588417","0.05006173625588417","0.05006173625588417"
"16","87","87","87","0.043540265411138535","0.043540265411138535","0.043540265411138535","105","105","105","0.03857393190264702","0.03857393190264702","0.03857393190264702","105","105","105","0.037802718579769135","0.037802718579769135","0.037802718579769135","105","105","105","0.042695630341768265","0.042695630341768265","0.042695630341768265","105","105","105","0.03409091755747795","0.03409091755747795","0.03409091755747795","87","87","87","0.045733608305454254","0.045733608305454254","0.045733608305454254","105","105","105","0.025759169831871986","0.025759169831871986","0.025759169831871986","105","105","105","0.05138595402240753","0.05138595402240753","0.05138595402240753"
"17","92","92","92","0.03521479666233063","0.03521479666233063","0.03521479666233063","111","111","111","0.03621971234679222","0.03621971234679222","0.03621971234679222","111","111","111","0.037591949105262756","0.037591949105262756","0.037591949105262756","111","111","111","0.043941643089056015","0.043941643089056015","0.043941643089056015","111","111","111","0.03728894516825676","0.03728894516825676","0.03728894516825676","92","92","92","0.02826966904103756","0.02826966904103756","0.02826966904103756","111","111","111","0.04988759011030197","0.04988759011030197","0.04988759011030197","111","111","111","0.037738874554634094","0.037738874554634094","0.037738874554634094"
"18","97","97","97","0.0356287956237793","0.0356287956237793","0.0356287956237793","117","117","117","0.04604502394795418","0.04604502394795418","0.04604502394795418","117","117","117","0.05119724199175835","0.05119724199175835","0.05119724199175835","117","117","117","0.03915517032146454","0.03915517032146454","0.03915517032146454","117","117","117","0.028116486966609955","0.028116486966609955","0.028116486966609955","97","97","97","0.04384787008166313","0.04384787008166313","0.04384787008166313","117","117","117","0.023064851760864258","0.023064851760864258","0.023064851760864258","117","117","117","0.03591308370232582","0.03591308370232582","0.03591308370232582"
"19","102","102","102","0.034552302211523056","0.034552302211523056","0.034552302211523056","123","123","123","0.05337018892168999","0.05337018892168999","0.05337018892168999","123","123","123","0.04350056126713753","0.04350056126713753","0.04350056126713753","123","123","123","0.027425779029726982","0.027425779029726982","0.027425779029726982","123","123","123","0.025866655632853508","0.025866655632853508","0.025866655632853508","102","102","102","0.05705291032791138","0.05705291032791138","0.05705291032791138","123","123","123","0.04842964932322502","0.04842964932322502","0.04842964932322502","123","123","123","0.03162878006696701","0.03162878006696701","0.03162878006696701"
"20","107","107","107","0.04685516282916069","0.04685516282916069","0.04685516282916069","129","129","129","0.06122897192835808","0.06122897192835808","0.06122897192835808","129","129","129","0.046924419701099396","0.046924419701099396","0.046924419701099396","129","129","129","0.057428229600191116","0.057428229600191116","0.057428229600191116","129","129","129","0.06353706866502762","0.06353706866502762","0.06353706866502762","107","107","107","0.047232940793037415","0.047232940793037415","0.047232940793037415","129","129","129","0.06041094288229942","0.06041094288229942","0.06041094288229942","129","129","129","0.08796699345111847","0.08796699345111847","0.08796699345111847"
"21","112","112","112","0.062155161052942276","0.062155161052942276","0.062155161052942276","135","135","135","0.05017048120498657","0.05017048120498657","0.05017048120498657","135","135","135","0.04128735139966011","0.04128735139966011","0.04128735139966011","135","135","135","0.05106144770979881","0.05106144770979881","0.05106144770979881","135","135","135","0.03282225877046585","0.03282225877046585","0.03282225877046585","112","112","112","0.04413530230522156","0.04413530230522156","0.04413530230522156","135","135","135","0.08537407964468002","0.08537407964468002","0.08537407964468002","135","135","135","0.061920277774333954","0.061920277774333954","0.061920277774333954"
"22","117","117","117","0.040104541927576065","0.040104541927576065","0.040104541927576065","141","141","141","0.051823727786540985","0.051823727786540985","0.051823727786540985","141","141","141","0.044115737080574036","0.044115737080574036","0.044115737080574036","141","141","141","0.03216882422566414","0.03216882422566414","0.03216882422566414","141","141","141","0.03687089681625366","0.03687089681625366","0.03687089681625366","117","117","117","0.0318509005010128","0.0318509005010128","0.0318509005010128","141","141","141","0.03361215442419052","0.03361215442419052","0.03361215442419052","141","141","141","0.04407045245170593","0.04407045245170593","0.04407045245170593"
"23","122","122","122","0.07701019942760468","0.07701019942760468","0.07701019942760468","147","147","147","0.06979861110448837","0.06979861110448837","0.06979861110448837","147","147","147","0.05343484878540039","0.05343484878540039","0.05343484878540039","147","147","147","0.05477357655763626","0.05477357655763626","0.05477357655763626","147","147","147","0.04617621377110481","0.04617621377110481","0.04617621377110481","122","122","122","0.04911104962229729","0.04911104962229729","0.04911104962229729","147","147","147","0.03429461270570755","0.03429461270570755","0.03429461270570755","147","147","147","0.03999246656894684","0.03999246656894684","0.03999246656894684"
"24","127","127","127","0.024645544588565826","0.024645544588565826","0.024645544588565826","153","153","153","0.04986988753080368","0.04986988753080368","0.04986988753080368","153","153","153","0.04988124594092369","0.04988124594092369","0.04988124594092369","153","153","153","0.03355374559760094","0.03355374559760094","0.03355374559760094","153","153","153","0.0429154634475708","0.0429154634475708","0.0429154634475708","127","127","127","0.03989936038851738","0.03989936038851738","0.03989936038851738","153","153","153","0.05328548699617386","0.05328548699617386","0.05328548699617386","153","153","153","0.05188315361738205","0.05188315361738205","0.05188315361738205"
"25","132","132","132","0.0405295267701149","0.0405295267701149","0.0405295267701149","159","159","159","0.07978503406047821","0.07978503406047821","0.07978503406047821","159","159","159","0.07173285633325577","0.07173285633325577","0.07173285633325577","159","159","159","0.042256664484739304","0.042256664484739304","0.042256664484739304","159","159","159","0.04896487295627594","0.04896487295627594","0.04896487295627594","132","132","132","0.05105426535010338","0.05105426535010338","0.05105426535010338","159","159","159","0.045666322112083435","0.045666322112083435","0.045666322112083435","159","159","159","0.059137117117643356","0.059137117117643356","0.059137117117643356"
"26","137","137","137","0.05209167301654816","0.05209167301654816","0.05209167301654816","165","165","165","0.04955122992396355","0.04955122992396355","0.04955122992396355","165","165","165","0.057808827608823776","0.057808827608823776","0.057808827608823776","165","165","165","0.04186473414301872","0.04186473414301872","0.04186473414301872","165","165","165","0.0455227755010128","0.0455227755010128","0.0455227755010128","137","137","137","0.05174325034022331","0.05174325034022331","0.05174325034022331","165","165","165","0.04036308079957962","0.04036308079957962","0.04036308079957962","165","165","165","0.07722093909978867","0.07722093909978867","0.07722093909978867"
"27","142","142","142","0.02782050147652626","0.02782050147652626","0.02782050147652626","171","171","171","0.06404373049736023","0.06404373049736023","0.06404373049736023","171","171","171","0.048483747988939285","0.048483747988939285","0.048483747988939285","171","171","171","0.0627739429473877","0.0627739429473877","0.0627739429473877","171","171","171","0.0448119156062603","0.0448119156062603","0.0448119156062603","142","142","142","0.04452437162399292","0.04452437162399292","0.04452437162399292","171","171","171","0.05821032077074051","0.05821032077074051","0.05821032077074051","171","171","171","0.029558628797531128","0.029558628797531128","0.029558628797531128"
"28","147","147","147","0.05288155376911163","0.05288155376911163","0.05288155376911163","177","177","177","0.04751702770590782","0.04751702770590782","0.04751702770590782","177","177","177","0.06516074389219284","0.06516074389219284","0.06516074389219284","177","177","177","0.03928445279598236","0.03928445279598236","0.03928445279598236","177","177","177","0.05129341036081314","0.05129341036081314","0.05129341036081314","147","147","147","0.06470091640949249","0.06470091640949249","0.06470091640949249","177","177","177","0.05063970386981964","0.05063970386981964","0.05063970386981964","177","177","177","0.08348588645458221","0.08348588645458221","0.08348588645458221"
"29","152","152","152","0.040554631501436234","0.040554631501436234","0.040554631501436234","183","183","183","0.0264262817800045","0.0264262817800045","0.0264262817800045","183","183","183","0.042495470494031906","0.042495470494031906","0.042495470494031906","183","183","183","0.04690131917595863","0.04690131917595863","0.04690131917595863","183","183","183","0.031606052070856094","0.031606052070856094","0.031606052070856094","152","152","152","0.04537857323884964","0.04537857323884964","0.04537857323884964","183","183","183","0.056614406406879425","0.056614406406879425","0.056614406406879425","183","183","183","0.06392443180084229","0.06392443180084229","0.06392443180084229"
"30","157","157","157","0.03957177698612213","0.03957177698612213","0.03957177698612213","189","189","189","0.050937164574861526","0.050937164574861526","0.050937164574861526","189","189","189","0.05173640698194504","0.05173640698194504","0.05173640698194504","189","189","189","0.03869416192173958","0.03869416192173958","0.03869416192173958","189","189","189","0.031896576285362244","0.031896576285362244","0.031896576285362244","157","157","157","0.04075567051768303","0.04075567051768303","0.04075567051768303","189","189","189","0.028097620233893394","0.028097620233893394","0.028097620233893394","189","189","189","0.04965867102146149","0.04965867102146149","0.04965867102146149"
"31","162","162","162","0.016527825966477394","0.016527825966477394","0.016527825966477394","195","195","195","0.05405673757195473","0.05405673757195473","0.05405673757195473","195","195","195","0.06143584102392197","0.06143584102392197","0.06143584102392197","195","195","195","0.03511568158864975","0.03511568158864975","0.03511568158864975","195","195","195","0.03328351303935051","0.03328351303935051","0.03328351303935051","162","162","162","0.029057856649160385","0.029057856649160385","0.029057856649160385","195","195","195","0.06114628538489342","0.06114628538489342","0.06114628538489342","195","195","195","0.06216283515095711","0.06216283515095711","0.06216283515095711"
"32","167","167","167","0.036931030452251434","0.036931030452251434","0.036931030452251434","201","201","201","0.037212882190942764","0.037212882190942764","0.037212882190942764","201","201","201","0.0663447305560112","0.0663447305560112","0.0663447305560112","201","201","201","0.04906303808093071","0.04906303808093071","0.04906303808093071","201","201","201","0.0370328426361084","0.0370328426361084","0.0370328426361084","167","167","167","0.050448231399059296","0.050448231399059296","0.050448231399059296","201","201","201","0.054553668946027756","0.054553668946027756","0.054553668946027756","201","201","201","0.0676519051194191","0.0676519051194191","0.0676519051194191"
"33","172","172","172","0.0364653542637825","0.0364653542637825","0.0364653542637825","207","207","207","0.0586504191160202","0.0586504191160202","0.0586504191160202","207","207","207","0.042006101459264755","0.042006101459264755","0.042006101459264755","207","207","207","0.048043470829725266","0.048043470829725266","0.048043470829725266","207","207","207","0.0234549380838871","0.0234549380838871","0.0234549380838871","172","172","172","0.047507818788290024","0.047507818788290024","0.047507818788290024","207","207","207","0.053718265146017075","0.053718265146017075","0.053718265146017075","207","207","207","0.04257848113775253","0.04257848113775253","0.04257848113775253"
"34","177","177","177","0.03365129232406616","0.03365129232406616","0.03365129232406616","213","213","213","0.05829869955778122","0.05829869955778122","0.05829869955778122","213","213","213","0.051267173141241074","0.051267173141241074","0.051267173141241074","213","213","213","0.018428301438689232","0.018428301438689232","0.018428301438689232","213","213","213","0.03317585960030556","0.03317585960030556","0.03317585960030556","177","177","177","0.03836197033524513","0.03836197033524513","0.03836197033524513","213","213","213","0.017419986426830292","0.017419986426830292","0.017419986426830292","213","213","213","0.05615625157952309","0.05615625157952309","0.05615625157952309"
