"Evaluate/step_episode","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MAX","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu_kf","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu_kf","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu_kf","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - _step","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu_kf","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - _step","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu_kf","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu_kf","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu_kf","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu_kf","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX"
"16","87","87","87","0.03930433839559555","0.03930433839559555","0.03930433839559555","104","104","104","0.0345926433801651","0.0345926433801651","0.0345926433801651","104","104","104","0.038085032254457474","0.038085032254457474","0.038085032254457474","104","104","104","0.04416441172361374","0.04416441172361374","0.04416441172361374","104","104","104","0.03692393749952316","0.03692393749952316","0.03692393749952316","87","87","87","0.03918782249093056","0.03918782249093056","0.03918782249093056","104","104","104","0.027967344969511032","0.027967344969511032","0.027967344969511032","104","104","104","0.04770258814096451","0.04770258814096451","0.04770258814096451"
"17","92","92","92","0.03536582738161087","0.03536582738161087","0.03536582738161087","110","110","110","0.03777284175157547","0.03777284175157547","0.03777284175157547","110","110","110","0.03475610539317131","0.03475610539317131","0.03475610539317131","110","110","110","0.04346911981701851","0.04346911981701851","0.04346911981701851","110","110","110","0.036333221942186356","0.036333221942186356","0.036333221942186356","92","92","92","0.026219403371214867","0.026219403371214867","0.026219403371214867","110","110","110","0.05062941461801529","0.05062941461801529","0.05062941461801529","110","110","110","0.03711826726794243","0.03711826726794243","0.03711826726794243"
"18","97","97","97","0.03257787600159645","0.03257787600159645","0.03257787600159645","116","116","116","0.041704948991537094","0.041704948991537094","0.041704948991537094","116","116","116","0.044852714985609055","0.044852714985609055","0.044852714985609055","116","116","116","0.03771567344665527","0.03771567344665527","0.03771567344665527","116","116","116","0.033299520611763","0.033299520611763","0.033299520611763","97","97","97","0.03985649347305298","0.03985649347305298","0.03985649347305298","116","116","116","0.02176668867468834","0.02176668867468834","0.02176668867468834","116","116","116","0.03469715639948845","0.03469715639948845","0.03469715639948845"
"19","102","102","102","0.03455207869410515","0.03455207869410515","0.03455207869410515","122","122","122","0.04564570263028145","0.04564570263028145","0.04564570263028145","122","122","122","0.04049880430102348","0.04049880430102348","0.04049880430102348","122","122","122","0.0254354327917099","0.0254354327917099","0.0254354327917099","122","122","122","0.029865045100450516","0.029865045100450516","0.029865045100450516","102","102","102","0.049950361251831055","0.049950361251831055","0.049950361251831055","122","122","122","0.038787152618169785","0.038787152618169785","0.038787152618169785","122","122","122","0.03466642647981644","0.03466642647981644","0.03466642647981644"
"20","107","107","107","0.04856806620955467","0.04856806620955467","0.04856806620955467","128","128","128","0.05630938336253166","0.05630938336253166","0.05630938336253166","128","128","128","0.04584946855902672","0.04584946855902672","0.04584946855902672","128","128","128","0.05590556934475899","0.05590556934475899","0.05590556934475899","128","128","128","0.06106119602918625","0.06106119602918625","0.06106119602918625","107","107","107","0.04194861650466919","0.04194861650466919","0.04194861650466919","128","128","128","0.04772360995411873","0.04772360995411873","0.04772360995411873","128","128","128","0.07611169666051865","0.07611169666051865","0.07611169666051865"
"21","112","112","112","0.062404435127973557","0.062404435127973557","0.062404435127973557","134","134","134","0.04917001724243164","0.04917001724243164","0.04917001724243164","134","134","134","0.0360928438603878","0.0360928438603878","0.0360928438603878","134","134","134","0.04960162937641144","0.04960162937641144","0.04960162937641144","134","134","134","0.039944376796483994","0.039944376796483994","0.039944376796483994","112","112","112","0.04352818429470062","0.04352818429470062","0.04352818429470062","134","134","134","0.07406961172819138","0.07406961172819138","0.07406961172819138","134","134","134","0.058454129844903946","0.058454129844903946","0.058454129844903946"
"22","117","117","117","0.0395432785153389","0.0395432785153389","0.0395432785153389","140","140","140","0.05038243159651756","0.05038243159651756","0.05038243159651756","140","140","140","0.03834676742553711","0.03834676742553711","0.03834676742553711","140","140","140","0.030959147959947586","0.030959147959947586","0.030959147959947586","140","140","140","0.03606786951422691","0.03606786951422691","0.03606786951422691","117","117","117","0.03192490339279175","0.03192490339279175","0.03192490339279175","140","140","140","0.03599786013364792","0.03599786013364792","0.03599786013364792","140","140","140","0.041097696870565414","0.041097696870565414","0.041097696870565414"
"23","122","122","122","0.0731523334980011","0.0731523334980011","0.0731523334980011","146","146","146","0.0547311007976532","0.0547311007976532","0.0547311007976532","146","146","146","0.0507059171795845","0.0507059171795845","0.0507059171795845","146","146","146","0.05278388038277626","0.05278388038277626","0.05278388038277626","146","146","146","0.041335657238960266","0.041335657238960266","0.041335657238960266","122","122","122","0.04862767457962036","0.04862767457962036","0.04862767457962036","146","146","146","0.034877702593803406","0.034877702593803406","0.034877702593803406","146","146","146","0.03882667049765587","0.03882667049765587","0.03882667049765587"
"24","127","127","127","0.027379781007766724","0.027379781007766724","0.027379781007766724","152","152","152","0.04047766700387001","0.04047766700387001","0.04047766700387001","152","152","152","0.042632587254047394","0.042632587254047394","0.042632587254047394","152","152","152","0.035308945924043655","0.035308945924043655","0.035308945924043655","152","152","152","0.03871822729706764","0.03871822729706764","0.03871822729706764","127","127","127","0.038506925106048584","0.038506925106048584","0.038506925106048584","152","152","152","0.044002167880535126","0.044002167880535126","0.044002167880535126","152","152","152","0.044834382832050323","0.044834382832050323","0.044834382832050323"
"25","132","132","132","0.04228725656867027","0.04228725656867027","0.04228725656867027","158","158","158","0.06622644513845444","0.06622644513845444","0.06622644513845444","158","158","158","0.06307855248451233","0.06307855248451233","0.06307855248451233","158","158","158","0.04275904968380928","0.04275904968380928","0.04275904968380928","158","158","158","0.04806206002831459","0.04806206002831459","0.04806206002831459","132","132","132","0.047699060291051865","0.047699060291051865","0.047699060291051865","158","158","158","0.0444180965423584","0.0444180965423584","0.0444180965423584","158","158","158","0.05527084320783615","0.05527084320783615","0.05527084320783615"
"26","137","137","137","0.04773714765906334","0.04773714765906334","0.04773714765906334","164","164","164","0.04102431610226631","0.04102431610226631","0.04102431610226631","164","164","164","0.04984331876039505","0.04984331876039505","0.04984331876039505","164","164","164","0.041817426681518555","0.041817426681518555","0.041817426681518555","164","164","164","0.039458341896533966","0.039458341896533966","0.039458341896533966","137","137","137","0.05050685256719589","0.05050685256719589","0.05050685256719589","164","164","164","0.03496703505516052","0.03496703505516052","0.03496703505516052","164","164","164","0.06940716505050659","0.06940716505050659","0.06940716505050659"
"27","142","142","142","0.02793162316083908","0.02793162316083908","0.02793162316083908","170","170","170","0.05611203983426094","0.05611203983426094","0.05611203983426094","170","170","170","0.044296205043792725","0.044296205043792725","0.044296205043792725","170","170","170","0.06042866036295891","0.06042866036295891","0.06042866036295891","170","170","170","0.044116828590631485","0.044116828590631485","0.044116828590631485","142","142","142","0.039610251784324646","0.039610251784324646","0.039610251784324646","170","170","170","0.04619152843952179","0.04619152843952179","0.04619152843952179","170","170","170","0.0301698986440897","0.0301698986440897","0.0301698986440897"
"28","147","147","147","0.05124320834875107","0.05124320834875107","0.05124320834875107","176","176","176","0.037140268832445145","0.037140268832445145","0.037140268832445145","176","176","176","0.05820600688457489","0.05820600688457489","0.05820600688457489","176","176","176","0.03702699765563011","0.03702699765563011","0.03702699765563011","176","176","176","0.04360273852944374","0.04360273852944374","0.04360273852944374","147","147","147","0.057682882994413376","0.057682882994413376","0.057682882994413376","176","176","176","0.04732898250222206","0.04732898250222206","0.04732898250222206","176","176","176","0.07669870555400848","0.07669870555400848","0.07669870555400848"
"29","152","152","152","0.03759719431400299","0.03759719431400299","0.03759719431400299","182","182","182","0.02624843455851078","0.02624843455851078","0.02624843455851078","182","182","182","0.043032456189394","0.043032456189394","0.043032456189394","182","182","182","0.04306047782301903","0.04306047782301903","0.04306047782301903","182","182","182","0.02829871140420437","0.02829871140420437","0.02829871140420437","152","152","152","0.041657522320747375","0.041657522320747375","0.041657522320747375","182","182","182","0.048754770308732986","0.048754770308732986","0.048754770308732986","182","182","182","0.061196159571409225","0.061196159571409225","0.061196159571409225"
"30","157","157","157","0.0399324968457222","0.0399324968457222","0.0399324968457222","188","188","188","0.04254823178052902","0.04254823178052902","0.04254823178052902","188","188","188","0.04530976340174675","0.04530976340174675","0.04530976340174675","188","188","188","0.03996852785348892","0.03996852785348892","0.03996852785348892","188","188","188","0.029673023149371147","0.029673023149371147","0.029673023149371147","157","157","157","0.0420965813100338","0.0420965813100338","0.0420965813100338","188","188","188","0.02864813432097435","0.02864813432097435","0.02864813432097435","188","188","188","0.04699231684207916","0.04699231684207916","0.04699231684207916"
"31","162","162","162","0.02232046239078045","0.02232046239078045","0.02232046239078045","194","194","194","0.04938754439353943","0.04938754439353943","0.04938754439353943","194","194","194","0.052347227931022644","0.052347227931022644","0.052347227931022644","194","194","194","0.0333864763379097","0.0333864763379097","0.0333864763379097","194","194","194","0.034451305866241455","0.034451305866241455","0.034451305866241455","162","162","162","0.03315490484237671","0.03315490484237671","0.03315490484237671","194","194","194","0.054893653839826584","0.054893653839826584","0.054893653839826584","194","194","194","0.056193649768829346","0.056193649768829346","0.056193649768829346"
"32","167","167","167","0.038549553602933884","0.038549553602933884","0.038549553602933884","200","200","200","0.03527252748608589","0.03527252748608589","0.03527252748608589","200","200","200","0.05389939248561859","0.05389939248561859","0.05389939248561859","200","200","200","0.0491076298058033","0.0491076298058033","0.0491076298058033","200","200","200","0.03492750599980354","0.03492750599980354","0.03492750599980354","167","167","167","0.04688261076807976","0.04688261076807976","0.04688261076807976","200","200","200","0.05290449038147926","0.05290449038147926","0.05290449038147926","200","200","200","0.06104353815317154","0.06104353815317154","0.06104353815317154"
"33","172","172","172","0.035969510674476624","0.035969510674476624","0.035969510674476624","206","206","206","0.0518387146294117","0.0518387146294117","0.0518387146294117","206","206","206","0.040960147976875305","0.040960147976875305","0.040960147976875305","206","206","206","0.045633114874362946","0.045633114874362946","0.045633114874362946","206","206","206","0.029248284175992012","0.029248284175992012","0.029248284175992012","172","172","172","0.04212402552366257","0.04212402552366257","0.04212402552366257","206","206","206","0.04961753264069557","0.04961753264069557","0.04961753264069557","206","206","206","0.03815656900405884","0.03815656900405884","0.03815656900405884"
"34","177","177","177","0.03066084161400795","0.03066084161400795","0.03066084161400795","212","212","212","0.054097022861242294","0.054097022861242294","0.054097022861242294","212","212","212","0.04331798106431961","0.04331798106431961","0.04331798106431961","212","212","212","0.019563235342502594","0.019563235342502594","0.019563235342502594","212","212","212","0.03489050641655922","0.03489050641655922","0.03489050641655922","177","177","177","0.04322762042284012","0.04322762042284012","0.04322762042284012","212","212","212","0.017377937212586403","0.017377937212586403","0.017377937212586403","212","212","212","0.05088719353079796","0.05088719353079796","0.05088719353079796"
"35","182","182","182","0.0359426848590374","0.0359426848590374","0.0359426848590374","218","218","218","0.03546200692653656","0.03546200692653656","0.03546200692653656","218","218","218","0.0444168746471405","0.0444168746471405","0.0444168746471405","218","218","218","0.029531028121709824","0.029531028121709824","0.029531028121709824","218","218","218","0.023949284106492996","0.023949284106492996","0.023949284106492996","182","182","182","0.03174307942390442","0.03174307942390442","0.03174307942390442","218","218","218","0.04582737386226654","0.04582737386226654","0.04582737386226654","218","218","218","0.056170929223299026","0.056170929223299026","0.056170929223299026"
