"Evaluate/step_episode","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MAX","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - _step","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - _step","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu__MAX"
"14","76","76","76","0.03055204078555107","0.03055204078555107","0.03055204078555107","91","91","91","0.029296545311808586","0.029296545311808586","0.029296545311808586","91","91","91","0.032761625945568085","0.032761625945568085","0.032761625945568085","91","91","91","0.03853605315089226","0.03853605315089226","0.03853605315089226","91","91","91","0.03150057792663574","0.03150057792663574","0.03150057792663574","76","76","76","0.037686847150325775","0.037686847150325775","0.037686847150325775","91","91","91","0.03860922157764435","0.03860922157764435","0.03860922157764435","91","91","91","0.0410630963742733","0.0410630963742733","0.0410630963742733"
"15","81","81","81","0.03430138900876045","0.03430138900876045","0.03430138900876045","97","97","97","0.046743009239435196","0.046743009239435196","0.046743009239435196","97","97","97","0.030874434858560562","0.030874434858560562","0.030874434858560562","97","97","97","0.03377385437488556","0.03377385437488556","0.03377385437488556","97","97","97","0.026568805798888206","0.026568805798888206","0.026568805798888206","81","81","81","0.020662248134613037","0.020662248134613037","0.020662248134613037","97","97","97","0.02849150076508522","0.02849150076508522","0.02849150076508522","97","97","97","0.041678037494421005","0.041678037494421005","0.041678037494421005"
"16","86","86","86","0.03539220243692398","0.03539220243692398","0.03539220243692398","103","103","103","0.03530284762382507","0.03530284762382507","0.03530284762382507","103","103","103","0.04038279503583908","0.04038279503583908","0.04038279503583908","103","103","103","0.04139939323067665","0.04139939323067665","0.04139939323067665","103","103","103","0.034984052181243896","0.034984052181243896","0.034984052181243896","86","86","86","0.03993699327111244","0.03993699327111244","0.03993699327111244","103","103","103","0.03540415316820145","0.03540415316820145","0.03540415316820145","103","103","103","0.047611821442842484","0.047611821442842484","0.047611821442842484"
"17","91","91","91","0.0276467464864254","0.0276467464864254","0.0276467464864254","109","109","109","0.02887846902012825","0.02887846902012825","0.02887846902012825","109","109","109","0.031989675015211105","0.031989675015211105","0.031989675015211105","109","109","109","0.036391716450452805","0.036391716450452805","0.036391716450452805","109","109","109","0.03460923954844475","0.03460923954844475","0.03460923954844475","91","91","91","0.028146615251898766","0.028146615251898766","0.028146615251898766","109","109","109","0.04468124359846115","0.04468124359846115","0.04468124359846115","109","109","109","0.02958621457219124","0.02958621457219124","0.02958621457219124"
"18","96","96","96","0.03127359226346016","0.03127359226346016","0.03127359226346016","115","115","115","0.03931201249361038","0.03931201249361038","0.03931201249361038","115","115","115","0.049226436764001846","0.049226436764001846","0.049226436764001846","115","115","115","0.03168591856956482","0.03168591856956482","0.03168591856956482","115","115","115","0.02341877482831478","0.02341877482831478","0.02341877482831478","96","96","96","0.03668900579214096","0.03668900579214096","0.03668900579214096","115","115","115","0.01954832673072815","0.01954832673072815","0.01954832673072815","115","115","115","0.02883482351899147","0.02883482351899147","0.02883482351899147"
"19","101","101","101","0.03481501340866089","0.03481501340866089","0.03481501340866089","121","121","121","0.053358469158411026","0.053358469158411026","0.053358469158411026","121","121","121","0.038173072040081024","0.038173072040081024","0.038173072040081024","121","121","121","0.02357187680900097","0.02357187680900097","0.02357187680900097","121","121","121","0.02787151001393795","0.02787151001393795","0.02787151001393795","101","101","101","0.040533244609832764","0.040533244609832764","0.040533244609832764","121","121","121","0.04435717314481735","0.04435717314481735","0.04435717314481735","121","121","121","0.03149104118347168","0.03149104118347168","0.03149104118347168"
"20","106","106","106","0.04401181638240814","0.04401181638240814","0.04401181638240814","127","127","127","0.04214999079704285","0.04214999079704285","0.04214999079704285","127","127","127","0.03329715132713318","0.03329715132713318","0.03329715132713318","127","127","127","0.035700440406799316","0.035700440406799316","0.035700440406799316","127","127","127","0.042447518557310104","0.042447518557310104","0.042447518557310104","106","106","106","0.031138744205236435","0.031138744205236435","0.031138744205236435","127","127","127","0.05282893031835556","0.05282893031835556","0.05282893031835556","127","127","127","0.04839715734124184","0.04839715734124184","0.04839715734124184"
"21","111","111","111","0.05517403408885002","0.05517403408885002","0.05517403408885002","133","133","133","0.03524598851799965","0.03524598851799965","0.03524598851799965","133","133","133","0.020874274894595146","0.020874274894595146","0.020874274894595146","133","133","133","0.031297411769628525","0.031297411769628525","0.031297411769628525","133","133","133","0.025315195322036743","0.025315195322036743","0.025315195322036743","111","111","111","0.03636392205953598","0.03636392205953598","0.03636392205953598","133","133","133","0.05972643196582794","0.05972643196582794","0.05972643196582794","133","133","133","0.04445125535130501","0.04445125535130501","0.04445125535130501"
"22","116","116","116","0.03283243998885155","0.03283243998885155","0.03283243998885155","139","139","139","0.040078893303871155","0.040078893303871155","0.040078893303871155","139","139","139","0.037878695875406265","0.037878695875406265","0.037878695875406265","139","139","139","0.029646024107933044","0.029646024107933044","0.029646024107933044","139","139","139","0.029645714908838272","0.029645714908838272","0.029645714908838272","116","116","116","0.03126047924160957","0.03126047924160957","0.03126047924160957","139","139","139","0.02734982594847679","0.02734982594847679","0.02734982594847679","139","139","139","0.03470509871840477","0.03470509871840477","0.03470509871840477"
"23","121","121","121","0.062067631632089615","0.062067631632089615","0.062067631632089615","145","145","145","0.04519907385110855","0.04519907385110855","0.04519907385110855","145","145","145","0.03015183098614216","0.03015183098614216","0.03015183098614216","145","145","145","0.0375717431306839","0.0375717431306839","0.0375717431306839","145","145","145","0.02745242975652218","0.02745242975652218","0.02745242975652218","121","121","121","0.0278636422008276","0.0278636422008276","0.0278636422008276","145","145","145","0.026394948363304138","0.026394948363304138","0.026394948363304138","145","145","145","0.02885737270116806","0.02885737270116806","0.02885737270116806"
"24","126","126","126","0.027820680290460587","0.027820680290460587","0.027820680290460587","151","151","151","0.042260780930519104","0.042260780930519104","0.042260780930519104","151","151","151","0.051256947219371796","0.051256947219371796","0.051256947219371796","151","151","151","0.026622258126735687","0.026622258126735687","0.026622258126735687","151","151","151","0.03604899346828461","0.03604899346828461","0.03604899346828461","126","126","126","0.031695082783699036","0.031695082783699036","0.031695082783699036","151","151","151","0.043887875974178314","0.043887875974178314","0.043887875974178314","151","151","151","0.039821699261665344","0.039821699261665344","0.039821699261665344"
"25","131","131","131","0.033690255135297775","0.033690255135297775","0.033690255135297775","157","157","157","0.05227437987923622","0.05227437987923622","0.05227437987923622","157","157","157","0.05202274024486542","0.05202274024486542","0.05202274024486542","157","157","157","0.03494222089648247","0.03494222089648247","0.03494222089648247","157","157","157","0.034921903163194656","0.034921903163194656","0.034921903163194656","131","131","131","0.029423588886857033","0.029423588886857033","0.029423588886857033","157","157","157","0.02505745366215706","0.02505745366215706","0.02505745366215706","157","157","157","0.04568815231323242","0.04568815231323242","0.04568815231323242"
"26","136","136","136","0.035782743245363235","0.035782743245363235","0.035782743245363235","163","163","163","0.04307826980948448","0.04307826980948448","0.04307826980948448","163","163","163","0.052314117550849915","0.052314117550849915","0.052314117550849915","163","163","163","0.026954343542456627","0.026954343542456627","0.026954343542456627","163","163","163","0.030379142612218857","0.030379142612218857","0.030379142612218857","136","136","136","0.03280847519636154","0.03280847519636154","0.03280847519636154","163","163","163","0.03354805335402489","0.03354805335402489","0.03354805335402489","163","163","163","0.04634083807468414","0.04634083807468414","0.04634083807468414"
"27","141","141","141","0.017415663227438927","0.017415663227438927","0.017415663227438927","169","169","169","0.04580630734562874","0.04580630734562874","0.04580630734562874","169","169","169","0.0299359317868948","0.0299359317868948","0.0299359317868948","169","169","169","0.04684450849890709","0.04684450849890709","0.04684450849890709","169","169","169","0.023922115564346313","0.023922115564346313","0.023922115564346313","141","141","141","0.029801728203892708","0.029801728203892708","0.029801728203892708","169","169","169","0.04403800889849663","0.04403800889849663","0.04403800889849663","169","169","169","0.030412402004003525","0.030412402004003525","0.030412402004003525"
"28","146","146","146","0.031599029898643494","0.031599029898643494","0.031599029898643494","175","175","175","0.03069540672004223","0.03069540672004223","0.03069540672004223","175","175","175","0.054789479821920395","0.054789479821920395","0.054789479821920395","175","175","175","0.02650548703968525","0.02650548703968525","0.02650548703968525","175","175","175","0.03833533823490143","0.03833533823490143","0.03833533823490143","146","146","146","0.0410323403775692","0.0410323403775692","0.0410323403775692","175","175","175","0.042611174285411835","0.042611174285411835","0.042611174285411835","175","175","175","0.048951659351587296","0.048951659351587296","0.048951659351587296"
"29","151","151","151","0.03383252024650574","0.03383252024650574","0.03383252024650574","181","181","181","0.019453365355730057","0.019453365355730057","0.019453365355730057","181","181","181","0.03657945245504379","0.03657945245504379","0.03657945245504379","181","181","181","0.031708117574453354","0.031708117574453354","0.031708117574453354","181","181","181","0.029595155268907547","0.029595155268907547","0.029595155268907547","151","151","151","0.03241369500756264","0.03241369500756264","0.03241369500756264","181","181","181","0.038897719234228134","0.038897719234228134","0.038897719234228134","181","181","181","0.05327014625072479","0.05327014625072479","0.05327014625072479"
"30","156","156","156","0.037653278559446335","0.037653278559446335","0.037653278559446335","187","187","187","0.0497286319732666","0.0497286319732666","0.0497286319732666","187","187","187","0.042785171419382095","0.042785171419382095","0.042785171419382095","187","187","187","0.040018368512392044","0.040018368512392044","0.040018368512392044","187","187","187","0.023507168516516685","0.023507168516516685","0.023507168516516685","156","156","156","0.03886045888066292","0.03886045888066292","0.03886045888066292","187","187","187","0.023777563124895096","0.023777563124895096","0.023777563124895096","187","187","187","0.043266065418720245","0.043266065418720245","0.043266065418720245"
"31","161","161","161","0.024350322782993317","0.024350322782993317","0.024350322782993317","193","193","193","0.04124962538480759","0.04124962538480759","0.04124962538480759","193","193","193","0.048066090792417526","0.048066090792417526","0.048066090792417526","193","193","193","0.024716779589653015","0.024716779589653015","0.024716779589653015","193","193","193","0.027147583663463593","0.027147583663463593","0.027147583663463593","161","161","161","0.02580762654542923","0.02580762654542923","0.02580762654542923","193","193","193","0.046467751264572144","0.046467751264572144","0.046467751264572144","193","193","193","0.04425330087542534","0.04425330087542534","0.04425330087542534"
"32","166","166","166","0.033682432025671005","0.033682432025671005","0.033682432025671005","199","199","199","0.025797836482524872","0.025797836482524872","0.025797836482524872","199","199","199","0.0428047738969326","0.0428047738969326","0.0428047738969326","199","199","199","0.0300850048661232","0.0300850048661232","0.0300850048661232","199","199","199","0.030915694311261177","0.030915694311261177","0.030915694311261177","166","166","166","0.030717454850673676","0.030717454850673676","0.030717454850673676","199","199","199","0.037398651242256165","0.037398651242256165","0.037398651242256165","199","199","199","0.03736881539225578","0.03736881539225578","0.03736881539225578"
"33","171","171","171","0.029165558516979218","0.029165558516979218","0.029165558516979218","205","205","205","0.04747119918465614","0.04747119918465614","0.04747119918465614","205","205","205","0.03150609880685806","0.03150609880685806","0.03150609880685806","205","205","205","0.03411033749580383","0.03411033749580383","0.03411033749580383","205","205","205","0.020950529724359512","0.020950529724359512","0.020950529724359512","171","171","171","0.036860141903162","0.036860141903162","0.036860141903162","205","205","205","0.042130399495363235","0.042130399495363235","0.042130399495363235","205","205","205","0.03847278654575348","0.03847278654575348","0.03847278654575348"
"34","176","176","176","0.0281776525080204","0.0281776525080204","0.0281776525080204","211","211","211","0.05277825891971588","0.05277825891971588","0.05277825891971588","211","211","211","0.04469400644302368","0.04469400644302368","0.04469400644302368","211","211","211","0.0170779749751091","0.0170779749751091","0.0170779749751091","211","211","211","0.03601309284567833","0.03601309284567833","0.03601309284567833","176","176","176","0.037531111389398575","0.037531111389398575","0.037531111389398575","211","211","211","0.014069907367229462","0.014069907367229462","0.014069907367229462","211","211","211","0.04157864302396774","0.04157864302396774","0.04157864302396774"
"35","181","181","181","0.0285631250590086","0.0285631250590086","0.0285631250590086","217","217","217","0.034409187734127045","0.034409187734127045","0.034409187734127045","217","217","217","0.04481462761759758","0.04481462761759758","0.04481462761759758","217","217","217","0.034234967082738876","0.034234967082738876","0.034234967082738876","217","217","217","0.022267332300543785","0.022267332300543785","0.022267332300543785","181","181","181","0.031377725303173065","0.031377725303173065","0.031377725303173065","217","217","217","0.043500106781721115","0.043500106781721115","0.043500106781721115","217","217","217","0.055495865643024445","0.055495865643024445","0.055495865643024445"
