"Evaluate/step_episode","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpOverCost","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpOverCost__MIN","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpOverCost__MAX","rl_filter_mlp_2025-12-07_21-13-48 - _step","rl_filter_mlp_2025-12-07_21-13-48 - _step__MIN","rl_filter_mlp_2025-12-07_21-13-48 - _step__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpOverCost","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpOverCost__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpOverCost__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - _step","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpOverCost","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpOverCost__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpOverCost__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - _step","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpOverCost","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpOverCost__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpOverCost__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - _step","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MAX","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpOverCost","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpOverCost__MIN","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpOverCost__MAX","4070_rl_filter_2025-07-20_12-17-12 - _step","4070_rl_filter_2025-07-20_12-17-12 - _step__MIN","4070_rl_filter_2025-07-20_12-17-12 - _step__MAX"
"14","0","0","0","347","347","347","0","0","0","2087","2087","2087","0","0","0","2096","2096","2096","0","0","0","2088","2088","2088","0","0","0","2088","2088","2088"
"15","0","0","0","351","351","351","0","0","0","2091","2091","2091","0","0","0","2100","2100","2100","0","0","0","2092","2092","2092","0","0","0","2092","2092","2092"
"16","0","0","0","355","355","355","0","0","0","2094","2094","2094","0","0","0","2104","2104","2104","0","0","0","2096","2096","2096","0","0","0","2096","2096","2096"
"17","0","0","0","359","359","359","0","0","0","2097","2097","2097","0","0","0","2108","2108","2108","0","0","0","2100","2100","2100","0","0","0","2100","2100","2100"
"18","0","0","0","489","489","489","0","0","0","3140","3140","3140","0","0","0","3174","3174","3174","0","0","0","3137","3137","3137","0","0","0","3141","3141","3141"
"19","0","0","0","493","493","493","0","0","0","3144","3144","3144","0","0","0","3178","3178","3178","0","0","0","3141","3141","3141","0","0","0","3145","3145","3145"
"20","0","0","0","497","497","497","0","0","0","3148","3148","3148","0","0","0","3182","3182","3182","0","0","0","3145","3145","3145","0","0","0","3149","3149","3149"
"21","0","0","0","501","501","501","0","0","0","3152","3152","3152","0","0","0","3186","3186","3186","0","0","0","3149","3149","3149","0","0","0","3153","3153","3153"
"22","0","0","0","505","505","505","0","0","0","3156","3156","3156","0","0","0","3190","3190","3190","0","0","0","3153","3153","3153","0","0","0","3157","3157","3157"
"23","0","0","0","509","509","509","0","0","0","3160","3160","3160","0","0","0","3194","3194","3194","0","0","0","3157","3157","3157","0","0","0","3161","3161","3161"
"24","0","0","0","513","513","513","0","0","0","3164","3164","3164","0","0","0","3198","3198","3198","0","0","0","3161","3161","3161","0","0","0","3165","3165","3165"
"25","0","0","0","517","517","517","0","0","0","3168","3168","3168","0","0","0","3202","3202","3202","0","0","0","3165","3165","3165","0","0","0","3169","3169","3169"
"26","0","0","0","521","521","521","0","0","0","3172","3172","3172","0","0","0","3206","3206","3206","0","0","0","3169","3169","3169","0","0","0","3173","3173","3173"
"27","0","0","0","651","651","651","0","0","0","4216","4216","4216","0","0","0","4255","4255","4255","0","0","0","4205","4205","4205","0","0","0","4212","4212","4212"
"28","0","0","0","655","655","655","0","0","0","4220","4220","4220","0","0","0","4259","4259","4259","0","0","0","4209","4209","4209","0","0","0","4216","4216","4216"
"29","0","0","0","659","659","659","0","0","0","4224","4224","4224","0","0","0","4263","4263","4263","0","0","0","4213","4213","4213","0","0","0","4220","4220","4220"
"30","0","0","0","663","663","663","0","0","0","4228","4228","4228","0","0","0","4267","4267","4267","0","0","0","4217","4217","4217","0","0","0","4224","4224","4224"
"31","0","0","0","667","667","667","0","0","0","4232","4232","4232","0","0","0","4271","4271","4271","0","0","0","4221","4221","4221","0","0","0","4228","4228","4228"
"32","0","0","0","671","671","671","0","0","0","4236","4236","4236","0","0","0","4275","4275","4275","0","0","0","4225","4225","4225","0","0","0","4232","4232","4232"
"33","0","0","0","675","675","675","0","0","0","4240","4240","4240","0","0","0","4279","4279","4279","0","0","0","4229","4229","4229","0","0","0","4236","4236","4236"
"34","0","0","0","679","679","679","0","0","0","4244","4244","4244","0","0","0","4283","4283","4283","0","0","0","4233","4233","4233","0","0","0","4240","4240","4240"
"35","0","0","0","683","683","683","0","0","0","4248","4248","4248","0","0","0","4287","4287","4287","0","0","0","4237","4237","4237","0","0","0","4244","4244","4244"
"36","0","0","0","813","813","813","0","0","0","5296","5296","5296","0","0","0","5332","5332","5332","0","0","0","5274","5274","5274","0","0","0","5282","5282","5282"
"37","0","0","0","817","817","817","0","0","0","5300","5300","5300","0","0","0","5336","5336","5336","0","0","0","5278","5278","5278","0","0","0","5286","5286","5286"
"38","0","0","0","821","821","821","0","0","0","5304","5304","5304","0","0","0","5340","5340","5340","0","0","0","5282","5282","5282","0","0","0","5290","5290","5290"
"39","0","0","0","825","825","825","0","0","0","5308","5308","5308","0","0","0","5344","5344","5344","0","0","0","5286","5286","5286","0","0","0","5294","5294","5294"
"40","0","0","0","829","829","829","0","0","0","5312","5312","5312","0","0","0","5348","5348","5348","0","0","0","5290","5290","5290","0","0","0","5298","5298","5298"
"41","0","0","0","833","833","833","0","0","0","5316","5316","5316","0","0","0","5352","5352","5352","0","0","0","5294","5294","5294","0","0","0","5302","5302","5302"
"42","0","0","0","837","837","837","0","0","0","5320","5320","5320","0","0","0","5356","5356","5356","0","0","0","5298","5298","5298","0","0","0","5306","5306","5306"
"43","0","0","0","841","841","841","0","0","0","5324","5324","5324","0","0","0","5360","5360","5360","0","0","0","5302","5302","5302","0","0","0","5310","5310","5310"
"44","0","0","0","845","845","845","0","0","0","5328","5328","5328","0","0","0","5364","5364","5364","0","0","0","5306","5306","5306","0","0","0","5314","5314","5314"
"45","0","0","0","975","975","975","0","0","0","6389","6389","6389","0","0","0","6424","6424","6424","0","0","0","6344","6344","6344","0","0","0","6351","6351","6351"
"46","0","0","0","979","979","979","0","0","0","6393","6393","6393","0","0","0","6428","6428","6428","0","0","0","6348","6348","6348","0","0","0","6355","6355","6355"
"47","0","0","0","983","983","983","0","0","0","6397","6397","6397","0","0","0","6432","6432","6432","0","0","0","6352","6352","6352","0","0","0","6359","6359","6359"
"48","0","0","0","987","987","987","0","0","0","6401","6401","6401","0","0","0","6436","6436","6436","0","0","0","6356","6356","6356","0","0","0","6363","6363","6363"
"49","0","0","0","991","991","991","0","0","0","6405","6405","6405","0","0","0","6440","6440","6440","0","0","0","6360","6360","6360","0","0","0","6367","6367","6367"
"50","0","0","0","995","995","995","0","0","0","6409","6409","6409","0","0","0","6444","6444","6444","0","0","0","6364","6364","6364","0","0","0","6371","6371","6371"
"51","0","0","0","999","999","999","0","0","0","6413","6413","6413","0","0","0","6448","6448","6448","0","0","0","6368","6368","6368","0","0","0","6375","6375","6375"
"52","0","0","0","1003","1003","1003","0","0","0","6417","6417","6417","0","0","0","6452","6452","6452","0","0","0","6372","6372","6372","0","0","0","6379","6379","6379"
"53","0","0","0","1007","1007","1007","0","0","0","6421","6421","6421","0","0","0","6456","6456","6456","0","0","0","6376","6376","6376","0","0","0","6383","6383","6383"
"54","0","0","0","1137","1137","1137","0","0","0","7476","7476","7476","0","0","0","7507","7507","7507","0","0","0","7414","7414","7414","0","0","0","7430","7430","7430"
"55","0","0","0","1141","1141","1141","0","0","0","7480","7480","7480","0","0","0","7511","7511","7511","0","0","0","7418","7418","7418","0","0","0","7434","7434","7434"
"56","0","0","0","1145","1145","1145","0","0","0","7484","7484","7484","0","0","0","7515","7515","7515","0","0","0","7422","7422","7422","0","0","0","7438","7438","7438"
"57","0","0","0","1149","1149","1149","0","0","0","7488","7488","7488","0","0","0","7519","7519","7519","0","0","0","7426","7426","7426","0","0","0","7442","7442","7442"
"58","0","0","0","1153","1153","1153","0","0","0","7492","7492","7492","0","0","0","7523","7523","7523","0","0","0","7430","7430","7430","0","0","0","7446","7446","7446"
"59","0","0","0","1157","1157","1157","0","0","0","7496","7496","7496","0","0","0","7527","7527","7527","0","0","0","7434","7434","7434","0","0","0","7450","7450","7450"
"60","0","0","0","1161","1161","1161","0","0","0","7500","7500","7500","0","0","0","7531","7531","7531","0","0","0","7438","7438","7438","0","0","0","7454","7454","7454"
"61","0","0","0","1165","1165","1165","0","0","0","7504","7504","7504","0","0","0","7535","7535","7535","0","0","0","7442","7442","7442","0","0","0","7458","7458","7458"
"62","0","0","0","1169","1169","1169","0","0","0","7508","7508","7508","0","0","0","7539","7539","7539","0","0","0","7446","7446","7446","0","0","0","7462","7462","7462"
"63","0","0","0","1299","1299","1299","0","0","0","8545","8545","8545","0","0","0","8584","8584","8584","0","0","0","8482","8482","8482","0","0","0","8499","8499","8499"
"64","0","0","0","1303","1303","1303","0","0","0","8549","8549","8549","0","0","0","8588","8588","8588","0","0","0","8486","8486","8486","0","0","0","8503","8503","8503"
"65","0","0","0","1307","1307","1307","0","0","0","8553","8553","8553","0","0","0","8592","8592","8592","0","0","0","8490","8490","8490","0","0","0","8507","8507","8507"
"66","0","0","0","1311","1311","1311","0","0","0","8557","8557","8557","0","0","0","8596","8596","8596","0","0","0","8494","8494","8494","0","0","0","8511","8511","8511"
"67","0","0","0","1315","1315","1315","0","0","0","8561","8561","8561","2","2","2","8602","8602","8602","0","0","0","8498","8498","8498","0","0","0","8515","8515","8515"
"68","0","0","0","1319","1319","1319","0","0","0","8565","8565","8565","0","0","0","8606","8606","8606","0","0","0","8502","8502","8502","0","0","0","8519","8519","8519"
"69","0","0","0","1323","1323","1323","0","0","0","8569","8569","8569","0","0","0","8610","8610","8610","0","0","0","8506","8506","8506","0","0","0","8523","8523","8523"
"70","0","0","0","1327","1327","1327","0","0","0","8573","8573","8573","0","0","0","8614","8614","8614","0","0","0","8510","8510","8510","0","0","0","8527","8527","8527"
"71","0","0","0","1331","1331","1331","0","0","0","8577","8577","8577","0","0","0","8618","8618","8618","0","0","0","8514","8514","8514","0","0","0","8531","8531","8531"
"72","0","0","0","1461","1461","1461","0","0","0","9622","9622","9622","0","0","0","9662","9662","9662","0","0","0","9559","9559","9559","0","0","0","9576","9576","9576"
"73","0","0","0","1465","1465","1465","0","0","0","9626","9626","9626","0","0","0","9666","9666","9666","0","0","0","9563","9563","9563","0","0","0","9580","9580","9580"
"74","0","0","0","1469","1469","1469","0","0","0","9630","9630","9630","0","0","0","9670","9670","9670","0","0","0","9567","9567","9567","0","0","0","9584","9584","9584"
"75","0","0","0","1473","1473","1473","0","0","0","9634","9634","9634","0","0","0","9674","9674","9674","0","0","0","9571","9571","9571","0","0","0","9588","9588","9588"
"76","0","0","0","1477","1477","1477","0","0","0","9638","9638","9638","0","0","0","9678","9678","9678","0","0","0","9575","9575","9575","0","0","0","9592","9592","9592"
"77","0","0","0","1481","1481","1481","0","0","0","9642","9642","9642","0","0","0","9682","9682","9682","0","0","0","9579","9579","9579","0","0","0","9596","9596","9596"
"78","0","0","0","1485","1485","1485","0","0","0","9646","9646","9646","0","0","0","9686","9686","9686","0","0","0","9583","9583","9583","0","0","0","9600","9600","9600"
"79","0","0","0","1489","1489","1489","0","0","0","9650","9650","9650","0","0","0","9690","9690","9690","0","0","0","9587","9587","9587","0","0","0","9604","9604","9604"
"80","0","0","0","1493","1493","1493","0","0","0","9654","9654","9654","0","0","0","9694","9694","9694","0","0","0","9591","9591","9591","0","0","0","9608","9608","9608"
"81","1","1","1","1624","1624","1624","0","0","0","10706","10706","10706","0","0","0","10733","10733","10733","0","0","0","10629","10629","10629","0","0","0","10645","10645","10645"
"82","0","0","0","1628","1628","1628","0","0","0","10710","10710","10710","0","0","0","10737","10737","10737","0","0","0","10633","10633","10633","0","0","0","10649","10649","10649"
"83","0","0","0","1632","1632","1632","0","0","0","10714","10714","10714","0","0","0","10741","10741","10741","0","0","0","10637","10637","10637","0","0","0","10653","10653","10653"
"84","0","0","0","1636","1636","1636","0","0","0","10718","10718","10718","0","0","0","10745","10745","10745","0","0","0","10641","10641","10641","0","0","0","10657","10657","10657"
"85","0","0","0","1640","1640","1640","0","0","0","10722","10722","10722","0","0","0","10749","10749","10749","0","0","0","10645","10645","10645","0","0","0","10661","10661","10661"
"86","0","0","0","1644","1644","1644","0","0","0","10726","10726","10726","0","0","0","10753","10753","10753","0","0","0","10649","10649","10649","0","0","0","10665","10665","10665"
"87","0","0","0","1648","1648","1648","0","0","0","10730","10730","10730","0","0","0","10757","10757","10757","0","0","0","10653","10653","10653","0","0","0","10669","10669","10669"
"88","0","0","0","1652","1652","1652","0","0","0","10734","10734","10734","0","0","0","10761","10761","10761","0","0","0","10657","10657","10657","0","0","0","10673","10673","10673"
"89","0","0","0","1656","1656","1656","0","0","0","10738","10738","10738","0","0","0","10765","10765","10765","0","0","0","10661","10661","10661","0","0","0","10677","10677","10677"
"90","0","0","0","1786","1786","1786","0","0","0","11774","11774","11774","0","0","0","11805","11805","11805","0","0","0","11699","11699","11699","0","0","0","11719","11719","11719"
"91","0","0","0","1790","1790","1790","0","0","0","11778","11778","11778","0","0","0","11809","11809","11809","0","0","0","11703","11703","11703","0","0","0","11723","11723","11723"
"92","0","0","0","1794","1794","1794","0","0","0","11782","11782","11782","0","0","0","11813","11813","11813","0","0","0","11707","11707","11707","0","0","0","11727","11727","11727"
"93","0","0","0","1798","1798","1798","0","0","0","11786","11786","11786","0","0","0","11817","11817","11817","0","0","0","11711","11711","11711","1","1","1","11731","11731","11731"
"94","0","0","0","1802","1802","1802","0","0","0","11790","11790","11790","0","0","0","11821","11821","11821","0","0","0","11715","11715","11715","0","0","0","11735","11735","11735"
"95","0","0","0","1806","1806","1806","0","0","0","11794","11794","11794","0","0","0","11825","11825","11825","0","0","0","11719","11719","11719","0","0","0","11739","11739","11739"
"96","0","0","0","1810","1810","1810","0","0","0","11798","11798","11798","0","0","0","11829","11829","11829","0","0","0","11723","11723","11723","0","0","0","11743","11743","11743"
"97","0","0","0","1814","1814","1814","0","0","0","11802","11802","11802","0","0","0","11833","11833","11833","0","0","0","11727","11727","11727","0","0","0","11747","11747","11747"
"98","0","0","0","1818","1818","1818","0","0","0","11806","11806","11806","0","0","0","11837","11837","11837","0","0","0","11731","11731","11731","0","0","0","11751","11751","11751"
"99","0","0","0","1948","1948","1948","0","0","0","12842","12842","12842","0","0","0","12887","12887","12887","0","0","0","12767","12767","12767","0","0","0","12789","12789","12789"
"100","0","0","0","1952","1952","1952","0","0","0","12846","12846","12846","0","0","0","12891","12891","12891","0","0","0","12771","12771","12771","0","0","0","12793","12793","12793"
"101","0","0","0","1956","1956","1956","0","0","0","12850","12850","12850","0","0","0","12895","12895","12895","0","0","0","12775","12775","12775","0","0","0","12797","12797","12797"
"102","0","0","0","1960","1960","1960","0","0","0","12854","12854","12854","0","0","0","12899","12899","12899","0","0","0","12779","12779","12779","0","0","0","12801","12801","12801"
"103","0","0","0","1964","1964","1964","0","0","0","12858","12858","12858","0","0","0","12903","12903","12903","0","0","0","12783","12783","12783","0","0","0","12805","12805","12805"
"104","0","0","0","1968","1968","1968","0","0","0","12862","12862","12862","0","0","0","12907","12907","12907","0","0","0","12787","12787","12787","0","0","0","12809","12809","12809"
"105","0","0","0","1972","1972","1972","0","0","0","12866","12866","12866","0","0","0","12911","12911","12911","0","0","0","12791","12791","12791","0","0","0","12813","12813","12813"
"106","0","0","0","1976","1976","1976","0","0","0","12870","12870","12870","0","0","0","12915","12915","12915","0","0","0","12795","12795","12795","0","0","0","12817","12817","12817"
"107","0","0","0","1980","1980","1980","0","0","0","12874","12874","12874","0","0","0","12919","12919","12919","0","0","0","12799","12799","12799","0","0","0","12821","12821","12821"
"108","0","0","0","2110","2110","2110","0","0","0","13917","13917","13917","0","0","0","13959","13959","13959","0","0","0","13838","13838","13838","0","0","0","13865","13865","13865"
"109","0","0","0","2114","2114","2114","0","0","0","13921","13921","13921","0","0","0","13963","13963","13963","0","0","0","13842","13842","13842","0","0","0","13869","13869","13869"
"110","0","0","0","2118","2118","2118","0","0","0","13925","13925","13925","0","0","0","13967","13967","13967","0","0","0","13846","13846","13846","0","0","0","13873","13873","13873"
"111","0","0","0","2122","2122","2122","0","0","0","13929","13929","13929","0","0","0","13971","13971","13971","0","0","0","13850","13850","13850","0","0","0","13877","13877","13877"
"112","1","1","1","2127","2127","2127","0","0","0","13933","13933","13933","0","0","0","13975","13975","13975","0","0","0","13854","13854","13854","0","0","0","13881","13881","13881"
"113","0","0","0","2131","2131","2131","0","0","0","13937","13937","13937","0","0","0","13979","13979","13979","0","0","0","13858","13858","13858","0","0","0","13885","13885","13885"
"114","0","0","0","2135","2135","2135","0","0","0","13941","13941","13941","0","0","0","13983","13983","13983","0","0","0","13862","13862","13862","0","0","0","13889","13889","13889"
"115","0","0","0","2139","2139","2139","0","0","0","13945","13945","13945","0","0","0","13987","13987","13987","0","0","0","13866","13866","13866","0","0","0","13893","13893","13893"
"116","0","0","0","2143","2143","2143","0","0","0","13949","13949","13949","0","0","0","13991","13991","13991","0","0","0","13870","13870","13870","0","0","0","13897","13897","13897"
"117","2","2","2","2275","2275","2275","0","0","0","14986","14986","14986","0","0","0","15044","15044","15044","0","0","0","14907","14907","14907","0","0","0","14934","14934","14934"
"118","0","0","0","2279","2279","2279","0","0","0","14990","14990","14990","0","0","0","15048","15048","15048","0","0","0","14911","14911","14911","0","0","0","14938","14938","14938"
"119","0","0","0","2283","2283","2283","0","0","0","14994","14994","14994","0","0","0","15052","15052","15052","0","0","0","14915","14915","14915","0","0","0","14942","14942","14942"
"120","0","0","0","2287","2287","2287","0","0","0","14998","14998","14998","0","0","0","15056","15056","15056","0","0","0","14919","14919","14919","0","0","0","14946","14946","14946"
"121","0","0","0","2291","2291","2291","0","0","0","15002","15002","15002","0","0","0","15060","15060","15060","0","0","0","14923","14923","14923","0","0","0","14950","14950","14950"
"122","0","0","0","2295","2295","2295","0","0","0","15006","15006","15006","0","0","0","15064","15064","15064","0","0","0","14927","14927","14927","0","0","0","14954","14954","14954"
"123","0","0","0","2299","2299","2299","0","0","0","15010","15010","15010","0","0","0","15068","15068","15068","0","0","0","14931","14931","14931","0","0","0","14958","14958","14958"
"124","0","0","0","2303","2303","2303","0","0","0","15014","15014","15014","0","0","0","15072","15072","15072","0","0","0","14935","14935","14935","0","0","0","14962","14962","14962"
"125","0","0","0","2307","2307","2307","0","0","0","15018","15018","15018","0","0","0","15076","15076","15076","0","0","0","14939","14939","14939","0","0","0","14966","14966","14966"
"126","0","0","0","2437","2437","2437","0","0","0","16055","16055","16055","0","0","0","16124","16124","16124","0","0","0","15976","15976","15976","0","0","0","16010","16010","16010"
"127","0","0","0","2441","2441","2441","0","0","0","16059","16059","16059","0","0","0","16128","16128","16128","0","0","0","15980","15980","15980","0","0","0","16014","16014","16014"
"128","0","0","0","2445","2445","2445","0","0","0","16063","16063","16063","0","0","0","16132","16132","16132","0","0","0","15984","15984","15984","0","0","0","16018","16018","16018"
"129","0","0","0","2449","2449","2449","0","0","0","16067","16067","16067","0","0","0","16136","16136","16136","0","0","0","15988","15988","15988","0","0","0","16022","16022","16022"
"130","0","0","0","2453","2453","2453","0","0","0","16071","16071","16071","0","0","0","16140","16140","16140","0","0","0","15992","15992","15992","0","0","0","16026","16026","16026"
"131","0","0","0","2457","2457","2457","0","0","0","16075","16075","16075","0","0","0","16144","16144","16144","0","0","0","15996","15996","15996","0","0","0","16030","16030","16030"
"132","0","0","0","2461","2461","2461","0","0","0","16079","16079","16079","0","0","0","16148","16148","16148","0","0","0","16000","16000","16000","0","0","0","16034","16034","16034"
"133","0","0","0","2465","2465","2465","0","0","0","16083","16083","16083","0","0","0","16152","16152","16152","0","0","0","16004","16004","16004","0","0","0","16038","16038","16038"
"134","0","0","0","2469","2469","2469","0","0","0","16087","16087","16087","0","0","0","16156","16156","16156","0","0","0","16008","16008","16008","0","0","0","16042","16042","16042"
"135","0","0","0","2599","2599","2599","0","0","0","17129","17129","17129","0","0","0","17198","17198","17198","0","0","0","17044","17044","17044","0","0","0","17086","17086","17086"
"136","0","0","0","2603","2603","2603","0","0","0","17133","17133","17133","0","0","0","17202","17202","17202","0","0","0","17048","17048","17048","0","0","0","17090","17090","17090"
"137","0","0","0","2607","2607","2607","0","0","0","17137","17137","17137","0","0","0","17206","17206","17206","0","0","0","17052","17052","17052","0","0","0","17094","17094","17094"
"138","0","0","0","2611","2611","2611","0","0","0","17141","17141","17141","0","0","0","17210","17210","17210","0","0","0","17056","17056","17056","0","0","0","17098","17098","17098"
"139","0","0","0","2615","2615","2615","0","0","0","17145","17145","17145","0","0","0","17214","17214","17214","0","0","0","17060","17060","17060","0","0","0","17102","17102","17102"
"140","0","0","0","2619","2619","2619","0","0","0","17149","17149","17149","0","0","0","17218","17218","17218","0","0","0","17064","17064","17064","0","0","0","17106","17106","17106"
"141","0","0","0","2623","2623","2623","0","0","0","17153","17153","17153","0","0","0","17222","17222","17222","0","0","0","17068","17068","17068","0","0","0","17110","17110","17110"
"142","0","0","0","2627","2627","2627","0","0","0","17157","17157","17157","0","0","0","17226","17226","17226","0","0","0","17072","17072","17072","0","0","0","17114","17114","17114"
"143","0","0","0","2631","2631","2631","0","0","0","17161","17161","17161","0","0","0","17230","17230","17230","0","0","0","17076","17076","17076","0","0","0","17118","17118","17118"
"144","0","0","0","2761","2761","2761","0","0","0","18197","18197","18197","0","0","0","18272","18272","18272","0","0","0","18112","18112","18112","0","0","0","18154","18154","18154"
"145","0","0","0","2765","2765","2765","0","0","0","18201","18201","18201","0","0","0","18276","18276","18276","0","0","0","18116","18116","18116","0","0","0","18158","18158","18158"
"146","0","0","0","2769","2769","2769","0","0","0","18205","18205","18205","0","0","0","18280","18280","18280","0","0","0","18120","18120","18120","0","0","0","18162","18162","18162"
"147","0","0","0","2773","2773","2773","0","0","0","18209","18209","18209","0","0","0","18284","18284","18284","0","0","0","18124","18124","18124","0","0","0","18166","18166","18166"
"148","0","0","0","2777","2777","2777","0","0","0","18213","18213","18213","0","0","0","18288","18288","18288","0","0","0","18128","18128","18128","0","0","0","18170","18170","18170"
"149","0","0","0","2781","2781","2781","0","0","0","18217","18217","18217","0","0","0","18292","18292","18292","0","0","0","18132","18132","18132","0","0","0","18174","18174","18174"
"150","0","0","0","2785","2785","2785","0","0","0","18221","18221","18221","0","0","0","18296","18296","18296","0","0","0","18136","18136","18136","0","0","0","18178","18178","18178"
