"Evaluate/step_episode","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpEnvLen","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpEnvLen__MIN","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpEnvLen__MAX","rl_filter_mlp_2025-12-07_21-13-48 - _step","rl_filter_mlp_2025-12-07_21-13-48 - _step__MIN","rl_filter_mlp_2025-12-07_21-13-48 - _step__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpEnvLen","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpEnvLen__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpEnvLen__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - _step","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpEnvLen","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpEnvLen__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpEnvLen__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - _step","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpEnvLen","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpEnvLen__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpEnvLen__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - _step","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MAX","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpEnvLen","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpEnvLen__MIN","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpEnvLen__MAX","4070_rl_filter_2025-07-20_12-17-12 - _step","4070_rl_filter_2025-07-20_12-17-12 - _step__MIN","4070_rl_filter_2025-07-20_12-17-12 - _step__MAX"
"12","1476","1476","1476","339","339","339","1799","1799","1799","2081","2081","2081","1799","1799","1799","2088","2088","2088","1799","1799","1799","2080","2080","2080","1799","1799","1799","2080","2080","2080"
"13","1232","1232","1232","343","343","343","1499","1499","1499","2084","2084","2084","1499","1499","1499","2092","2092","2092","1499","1499","1499","2084","2084","2084","1499","1499","1499","2084","2084","2084"
"14","1086","1086","1086","347","347","347","1499","1499","1499","2087","2087","2087","1499","1499","1499","2096","2096","2096","1499","1499","1499","2088","2088","2088","1499","1499","1499","2088","2088","2088"
"15","1119","1119","1119","351","351","351","1799","1799","1799","2091","2091","2091","1799","1799","1799","2100","2100","2100","1799","1799","1799","2092","2092","2092","1799","1799","1799","2092","2092","2092"
"16","1056","1056","1056","355","355","355","1399","1399","1399","2094","2094","2094","1399","1399","1399","2104","2104","2104","1399","1399","1399","2096","2096","2096","1399","1399","1399","2096","2096","2096"
"17","1091","1091","1091","359","359","359","1399","1399","1399","2097","2097","2097","1399","1399","1399","2108","2108","2108","1399","1399","1399","2100","2100","2100","1399","1399","1399","2100","2100","2100"
"18","1910","1910","1910","489","489","489","1887","1887","1887","3140","3140","3140","3499","3499","3499","3174","3174","3174","1792","1792","1792","3137","3137","3137","1670","1670","1670","3141","3141","3141"
"19","1799","1799","1799","493","493","493","1540","1540","1540","3144","3144","3144","1504","1504","1504","3178","3178","3178","1524","1524","1524","3141","3141","3141","1458","1458","1458","3145","3145","3145"
"20","1772","1772","1772","497","497","497","1505","1505","1505","3148","3148","3148","1999","1999","1999","3182","3182","3182","1430","1430","1430","3145","3145","3145","1413","1413","1413","3149","3149","3149"
"21","1505","1505","1505","501","501","501","1158","1158","1158","3152","3152","3152","1180","1180","1180","3186","3186","3186","1490","1490","1490","3149","3149","3149","1379","1379","1379","3153","3153","3153"
"22","1289","1289","1289","505","505","505","1089","1089","1089","3156","3156","3156","1119","1119","1119","3190","3190","3190","1171","1171","1171","3153","3153","3153","1045","1045","1045","3157","3157","3157"
"23","1144","1144","1144","509","509","509","1184","1184","1184","3160","3160","3160","1499","1499","1499","3194","3194","3194","1167","1167","1167","3157","3157","3157","1499","1499","1499","3161","3161","3161"
"24","1138","1138","1138","513","513","513","1122","1122","1122","3164","3164","3164","1799","1799","1799","3198","3198","3198","1138","1138","1138","3161","3161","3161","1404","1404","1404","3165","3165","3165"
"25","1211","1211","1211","517","517","517","1140","1140","1140","3168","3168","3168","1153","1153","1153","3202","3202","3202","1142","1142","1142","3165","3165","3165","1120","1120","1120","3169","3169","3169"
"26","1193","1193","1193","521","521","521","1128","1128","1128","3172","3172","3172","1399","1399","1399","3206","3206","3206","1103","1103","1103","3169","3169","3169","1138","1138","1138","3173","3173","3173"
"27","1859","1859","1859","651","651","651","1803","1803","1803","4216","4216","4216","1795","1795","1795","4255","4255","4255","1758","1758","1758","4205","4205","4205","1738","1738","1738","4212","4212","4212"
"28","1776","1776","1776","655","655","655","1621","1621","1621","4220","4220","4220","1550","1550","1550","4259","4259","4259","1581","1581","1581","4209","4209","4209","1591","1591","1591","4216","4216","4216"
"29","1600","1600","1600","659","659","659","1509","1509","1509","4224","4224","4224","1543","1543","1543","4263","4263","4263","1452","1452","1452","4213","4213","4213","1517","1517","1517","4220","4220","4220"
"30","1367","1367","1367","663","663","663","1037","1037","1037","4228","4228","4228","1508","1508","1508","4267","4267","4267","1122","1122","1122","4217","4217","4217","1130","1130","1130","4224","4224","4224"
"31","1255","1255","1255","667","667","667","1214","1214","1214","4232","4232","4232","1216","1216","1216","4271","4271","4271","1236","1236","1236","4221","4221","4221","1169","1169","1169","4228","4228","4228"
"32","1193","1193","1193","671","671","671","1213","1213","1213","4236","4236","4236","1154","1154","1154","4275","4275","4275","1187","1187","1187","4225","4225","4225","1175","1175","1175","4232","4232","4232"
"33","1277","1277","1277","675","675","675","1201","1201","1201","4240","4240","4240","1461","1461","1461","4279","4279","4279","1116","1116","1116","4229","4229","4229","1218","1218","1218","4236","4236","4236"
"34","1166","1166","1166","679","679","679","924","924","924","4244","4244","4244","1114","1114","1114","4283","4283","4283","1129","1129","1129","4233","4233","4233","1141","1141","1141","4240","4240","4240"
"35","1189","1189","1189","683","683","683","1163","1163","1163","4248","4248","4248","1119","1119","1119","4287","4287","4287","1120","1120","1120","4237","4237","4237","1145","1145","1145","4244","4244","4244"
"36","1884","1884","1884","813","813","813","1736","1736","1736","5296","5296","5296","1788","1788","1788","5332","5332","5332","1609","1609","1609","5274","5274","5274","1675","1675","1675","5282","5282","5282"
"37","1696","1696","1696","817","817","817","1502","1502","1502","5300","5300","5300","1666","1666","1666","5336","5336","5336","1430","1430","1430","5278","5278","5278","1494","1494","1494","5286","5286","5286"
"38","1825","1825","1825","821","821","821","1461","1461","1461","5304","5304","5304","1570","1570","1570","5340","5340","5340","1579","1579","1579","5282","5282","5282","1540","1540","1540","5290","5290","5290"
"39","1413","1413","1413","825","825","825","1314","1314","1314","5308","5308","5308","1422","1422","1422","5344","5344","5344","1120","1120","1120","5286","5286","5286","1136","1136","1136","5294","5294","5294"
"40","1066","1066","1066","829","829","829","1186","1186","1186","5312","5312","5312","1263","1263","1263","5348","5348","5348","1210","1210","1210","5290","5290","5290","1161","1161","1161","5298","5298","5298"
"41","1192","1192","1192","833","833","833","1206","1206","1206","5316","5316","5316","1499","1499","1499","5352","5352","5352","1202","1202","1202","5294","5294","5294","1017","1017","1017","5302","5302","5302"
"42","1218","1218","1218","837","837","837","1255","1255","1255","5320","5320","5320","1205","1205","1205","5356","5356","5356","1268","1268","1268","5298","5298","5298","1056","1056","1056","5306","5306","5306"
"43","1198","1198","1198","841","841","841","956","956","956","5324","5324","5324","1116","1116","1116","5360","5360","5360","1156","1156","1156","5302","5302","5302","1113","1113","1113","5310","5310","5310"
"44","1184","1184","1184","845","845","845","1115","1115","1115","5328","5328","5328","1136","1136","1136","5364","5364","5364","1128","1128","1128","5306","5306","5306","1151","1151","1151","5314","5314","5314"
"45","1809","1809","1809","975","975","975","3499","3499","3499","6389","6389","6389","1671","1671","1671","6424","6424","6424","1655","1655","1655","6344","6344","6344","1618","1618","1618","6351","6351","6351"
"46","1771","1771","1771","979","979","979","1999","1999","1999","6393","6393","6393","1547","1547","1547","6428","6428","6428","1572","1572","1572","6348","6348","6348","1603","1603","1603","6355","6355","6355"
"47","1669","1669","1669","983","983","983","1593","1593","1593","6397","6397","6397","1612","1612","1612","6432","6432","6432","1586","1586","1586","6352","6352","6352","1671","1671","1671","6359","6359","6359"
"48","1364","1364","1364","987","987","987","1256","1256","1256","6401","6401","6401","1174","1174","1174","6436","6436","6436","1799","1799","1799","6356","6356","6356","1262","1262","1262","6363","6363","6363"
"49","1206","1206","1206","991","991","991","1206","1206","1206","6405","6405","6405","1221","1221","1221","6440","6440","6440","1499","1499","1499","6360","6360","6360","1194","1194","1194","6367","6367","6367"
"50","1315","1315","1315","995","995","995","1328","1328","1328","6409","6409","6409","1178","1178","1178","6444","6444","6444","1499","1499","1499","6364","6364","6364","1168","1168","1168","6371","6371","6371"
"51","1206","1206","1206","999","999","999","1161","1161","1161","6413","6413","6413","1134","1134","1134","6448","6448","6448","1799","1799","1799","6368","6368","6368","1237","1237","1237","6375","6375","6375"
"52","1014","1014","1014","1003","1003","1003","1134","1134","1134","6417","6417","6417","1148","1148","1148","6452","6452","6452","1399","1399","1399","6372","6372","6372","1106","1106","1106","6379","6379","6379"
"53","1007","1007","1007","1007","1007","1007","1131","1131","1131","6421","6421","6421","1150","1150","1150","6456","6456","6456","1399","1399","1399","6376","6376","6376","1142","1142","1142","6383","6383","6383"
"54","1768","1768","1768","1137","1137","1137","1761","1761","1761","7476","7476","7476","3499","3499","3499","7507","7507","7507","1613","1613","1613","7414","7414","7414","1825","1825","1825","7430","7430","7430"
"55","1717","1717","1717","1141","1141","1141","1492","1492","1492","7480","7480","7480","1548","1548","1548","7511","7511","7511","1581","1581","1581","7418","7418","7418","1634","1634","1634","7434","7434","7434"
"56","1746","1746","1746","1145","1145","1145","1639","1639","1639","7484","7484","7484","1773","1773","1773","7515","7515","7515","1456","1456","1456","7422","7422","7422","1490","1490","1490","7438","7438","7438"
"57","1377","1377","1377","1149","1149","1149","1177","1177","1177","7488","7488","7488","1478","1478","1478","7519","7519","7519","1799","1799","1799","7426","7426","7426","1456","1456","1456","7442","7442","7442"
"58","1243","1243","1243","1153","1153","1153","1171","1171","1171","7492","7492","7492","1240","1240","1240","7523","7523","7523","1231","1231","1231","7430","7430","7430","1229","1229","1229","7446","7446","7446"
"59","1162","1162","1162","1157","1157","1157","1177","1177","1177","7496","7496","7496","1281","1281","1281","7527","7527","7527","1499","1499","1499","7434","7434","7434","1171","1171","1171","7450","7450","7450"
"60","1144","1144","1144","1161","1161","1161","1127","1127","1127","7500","7500","7500","1362","1362","1362","7531","7531","7531","1799","1799","1799","7438","7438","7438","1251","1251","1251","7454","7454","7454"
"61","1051","1051","1051","1165","1165","1165","947","947","947","7504","7504","7504","1115","1115","1115","7535","7535","7535","1399","1399","1399","7442","7442","7442","1139","1139","1139","7458","7458","7458"
"62","1259","1259","1259","1169","1169","1169","1143","1143","1143","7508","7508","7508","1144","1144","1144","7539","7539","7539","1399","1399","1399","7446","7446","7446","992","992","992","7462","7462","7462"
"63","1912","1912","1912","1299","1299","1299","1675","1675","1675","8545","8545","8545","1719","1719","1719","8584","8584","8584","1618","1618","1618","8482","8482","8482","1642","1642","1642","8499","8499","8499"
"64","1698","1698","1698","1303","1303","1303","1512","1512","1512","8549","8549","8549","1543","1543","1543","8588","8588","8588","1415","1415","1415","8486","8486","8486","1458","1458","1458","8503","8503","8503"
"65","1873","1873","1873","1307","1307","1307","1556","1556","1556","8553","8553","8553","1470","1470","1470","8592","8592","8592","1496","1496","1496","8490","8490","8490","1522","1522","1522","8507","8507","8507"
"66","1512","1512","1512","1311","1311","1311","1799","1799","1799","8557","8557","8557","1541","1541","1541","8596","8596","8596","1176","1176","1176","8494","8494","8494","1284","1284","1284","8511","8511","8511"
"67","1232","1232","1232","1315","1315","1315","1499","1499","1499","8561","8561","8561","1499","1499","1499","8602","8602","8602","1156","1156","1156","8498","8498","8498","1170","1170","1170","8515","8515","8515"
"68","1159","1159","1159","1319","1319","1319","1499","1499","1499","8565","8565","8565","1175","1175","1175","8606","8606","8606","1155","1155","1155","8502","8502","8502","1205","1205","1205","8519","8519","8519"
"69","1105","1105","1105","1323","1323","1323","1799","1799","1799","8569","8569","8569","1421","1421","1421","8610","8610","8610","1191","1191","1191","8506","8506","8506","1170","1170","1170","8523","8523","8523"
"70","1171","1171","1171","1327","1327","1327","1399","1399","1399","8573","8573","8573","1004","1004","1004","8614","8614","8614","942","942","942","8510","8510","8510","1138","1138","1138","8527","8527","8527"
"71","1042","1042","1042","1331","1331","1331","1399","1399","1399","8577","8577","8577","1118","1118","1118","8618","8618","8618","1139","1139","1139","8514","8514","8514","1147","1147","1147","8531","8531","8531"
"72","1803","1803","1803","1461","1461","1461","1803","1803","1803","9622","9622","9622","1783","1783","1783","9662","9662","9662","1844","1844","1844","9559","9559","9559","1747","1747","1747","9576","9576","9576"
"73","1792","1792","1792","1465","1465","1465","1629","1629","1629","9626","9626","9626","1520","1520","1520","9666","9666","9666","1652","1652","1652","9563","9563","9563","1633","1633","1633","9580","9580","9580"
"74","1615","1615","1615","1469","1469","1469","1425","1425","1425","9630","9630","9630","1489","1489","1489","9670","9670","9670","1532","1532","1532","9567","9567","9567","1535","1535","1535","9584","9584","9584"
"75","1352","1352","1352","1473","1473","1473","1610","1610","1610","9634","9634","9634","1567","1567","1567","9674","9674","9674","1618","1618","1618","9571","9571","9571","1281","1281","1281","9588","9588","9588"
"76","1222","1222","1222","1477","1477","1477","1254","1254","1254","9638","9638","9638","1245","1245","1245","9678","9678","9678","1499","1499","1499","9575","9575","9575","1191","1191","1191","9592","9592","9592"
"77","1167","1167","1167","1481","1481","1481","1298","1298","1298","9642","9642","9642","1192","1192","1192","9682","9682","9682","1499","1499","1499","9579","9579","9579","1181","1181","1181","9596","9596","9596"
"78","1162","1162","1162","1485","1485","1485","1550","1550","1550","9646","9646","9646","1331","1331","1331","9686","9686","9686","1799","1799","1799","9583","9583","9583","1253","1253","1253","9600","9600","9600"
"79","1188","1188","1188","1489","1489","1489","1159","1159","1159","9650","9650","9650","1133","1133","1133","9690","9690","9690","1399","1399","1399","9587","9587","9587","1122","1122","1122","9604","9604","9604"
"80","1100","1100","1100","1493","1493","1493","1168","1168","1168","9654","9654","9654","1143","1143","1143","9694","9694","9694","1399","1399","1399","9591","9591","9591","1114","1114","1114","9608","9608","9608"
"81","1948","1948","1948","1624","1624","1624","1766","1766","1766","10706","10706","10706","1756","1756","1756","10733","10733","10733","1884","1884","1884","10629","10629","10629","1750","1750","1750","10645","10645","10645"
"82","1779","1779","1779","1628","1628","1628","1482","1482","1482","10710","10710","10710","1617","1617","1617","10737","10737","10737","1556","1556","1556","10633","10633","10633","1457","1457","1457","10649","10649","10649"
"83","1763","1763","1763","1632","1632","1632","1492","1492","1492","10714","10714","10714","1549","1549","1549","10741","10741","10741","1464","1464","1464","10637","10637","10637","1456","1456","1456","10653","10653","10653"
"84","1400","1400","1400","1636","1636","1636","1624","1624","1624","10718","10718","10718","1417","1417","1417","10745","10745","10745","1799","1799","1799","10641","10641","10641","1047","1047","1047","10657","10657","10657"
"85","1216","1216","1216","1640","1640","1640","1189","1189","1189","10722","10722","10722","1203","1203","1203","10749","10749","10749","1499","1499","1499","10645","10645","10645","1213","1213","1213","10661","10661","10661"
"86","1156","1156","1156","1644","1644","1644","1190","1190","1190","10726","10726","10726","1204","1204","1204","10753","10753","10753","1156","1156","1156","10649","10649","10649","1189","1189","1189","10665","10665","10665"
"87","1174","1174","1174","1648","1648","1648","1544","1544","1544","10730","10730","10730","1488","1488","1488","10757","10757","10757","1258","1258","1258","10653","10653","10653","1127","1127","1127","10669","10669","10669"
"88","1095","1095","1095","1652","1652","1652","1137","1137","1137","10734","10734","10734","1121","1121","1121","10761","10761","10761","1106","1106","1106","10657","10657","10657","931","931","931","10673","10673","10673"
"89","1136","1136","1136","1656","1656","1656","1148","1148","1148","10738","10738","10738","1170","1170","1170","10765","10765","10765","1148","1148","1148","10661","10661","10661","1168","1168","1168","10677","10677","10677"
"90","2006","2006","2006","1786","1786","1786","1761","1761","1761","11774","11774","11774","1868","1868","1868","11805","11805","11805","1713","1713","1713","11699","11699","11699","1805","1805","1805","11719","11719","11719"
"91","1809","1809","1809","1790","1790","1790","1506","1506","1506","11778","11778","11778","1528","1528","1528","11809","11809","11809","1483","1483","1483","11703","11703","11703","1491","1491","1491","11723","11723","11723"
"92","1868","1868","1868","1794","1794","1794","1435","1435","1435","11782","11782","11782","1535","1535","1535","11813","11813","11813","1475","1475","1475","11707","11707","11707","1474","1474","1474","11727","11727","11727"
"93","1424","1424","1424","1798","1798","1798","1463","1463","1463","11786","11786","11786","1495","1495","1495","11817","11817","11817","1799","1799","1799","11711","11711","11711","1275","1275","1275","11731","11731","11731"
"94","1174","1174","1174","1802","1802","1802","1253","1253","1253","11790","11790","11790","1176","1176","1176","11821","11821","11821","1144","1144","1144","11715","11715","11715","1228","1228","1228","11735","11735","11735"
"95","1262","1262","1262","1806","1806","1806","1166","1166","1166","11794","11794","11794","1193","1193","1193","11825","11825","11825","1104","1104","1104","11719","11719","11719","1267","1267","1267","11739","11739","11739"
"96","1320","1320","1320","1810","1810","1810","1149","1149","1149","11798","11798","11798","1342","1342","1342","11829","11829","11829","1398","1398","1398","11723","11723","11723","1130","1130","1130","11743","11743","11743"
"97","976","976","976","1814","1814","1814","1114","1114","1114","11802","11802","11802","1116","1116","1116","11833","11833","11833","1028","1028","1028","11727","11727","11727","1399","1399","1399","11747","11747","11747"
"98","1183","1183","1183","1818","1818","1818","1108","1108","1108","11806","11806","11806","1130","1130","1130","11837","11837","11837","1007","1007","1007","11731","11731","11731","1399","1399","1399","11751","11751","11751"
"99","1788","1788","1788","1948","1948","1948","1734","1734","1734","12842","12842","12842","3499","3499","3499","12887","12887","12887","1866","1866","1866","12767","12767","12767","1743","1743","1743","12789","12789","12789"
"100","1691","1691","1691","1952","1952","1952","1495","1495","1495","12846","12846","12846","1368","1368","1368","12891","12891","12891","1551","1551","1551","12771","12771","12771","1511","1511","1511","12793","12793","12793"
"101","1662","1662","1662","1956","1956","1956","1485","1485","1485","12850","12850","12850","1322","1322","1322","12895","12895","12895","1663","1663","1663","12775","12775","12775","1414","1414","1414","12797","12797","12797"
"102","1250","1250","1250","1960","1960","1960","1426","1426","1426","12854","12854","12854","1439","1439","1439","12899","12899","12899","1361","1361","1361","12779","12779","12779","1197","1197","1197","12801","12801","12801"
"103","1158","1158","1158","1964","1964","1964","1226","1226","1226","12858","12858","12858","1203","1203","1203","12903","12903","12903","1185","1185","1185","12783","12783","12783","1181","1181","1181","12805","12805","12805"
"104","1273","1273","1273","1968","1968","1968","1303","1303","1303","12862","12862","12862","1265","1265","1265","12907","12907","12907","1181","1181","1181","12787","12787","12787","1174","1174","1174","12809","12809","12809"
"105","1345","1345","1345","1972","1972","1972","1149","1149","1149","12866","12866","12866","1799","1799","1799","12911","12911","12911","1349","1349","1349","12791","12791","12791","1185","1185","1185","12813","12813","12813"
"106","993","993","993","1976","1976","1976","1138","1138","1138","12870","12870","12870","1399","1399","1399","12915","12915","12915","1126","1126","1126","12795","12795","12795","1150","1150","1150","12817","12817","12817"
"107","1168","1168","1168","1980","1980","1980","1127","1127","1127","12874","12874","12874","1399","1399","1399","12919","12919","12919","1142","1142","1142","12799","12799","12799","1146","1146","1146","12821","12821","12821"
"108","1874","1874","1874","2110","2110","2110","1722","1722","1722","13917","13917","13917","1757","1757","1757","13959","13959","13959","1779","1779","1779","13838","13838","13838","1725","1725","1725","13865","13865","13865"
"109","1614","1614","1614","2114","2114","2114","1456","1456","1456","13921","13921","13921","1651","1651","1651","13963","13963","13963","1559","1559","1559","13842","13842","13842","1559","1559","1559","13869","13869","13869"
"110","1586","1586","1586","2118","2118","2118","1473","1473","1473","13925","13925","13925","1580","1580","1580","13967","13967","13967","1537","1537","1537","13846","13846","13846","1490","1490","1490","13873","13873","13873"
"111","1362","1362","1362","2122","2122","2122","1604","1604","1604","13929","13929","13929","1469","1469","1469","13971","13971","13971","1375","1375","1375","13850","13850","13850","1621","1621","1621","13877","13877","13877"
"112","1207","1207","1207","2127","2127","2127","1175","1175","1175","13933","13933","13933","1193","1193","1193","13975","13975","13975","1065","1065","1065","13854","13854","13854","1195","1195","1195","13881","13881","13881"
"113","1159","1159","1159","2131","2131","2131","1102","1102","1102","13937","13937","13937","1177","1177","1177","13979","13979","13979","1152","1152","1152","13858","13858","13858","1328","1328","1328","13885","13885","13885"
"114","1151","1151","1151","2135","2135","2135","1586","1586","1586","13941","13941","13941","1131","1131","1131","13983","13983","13983","1507","1507","1507","13862","13862","13862","1530","1530","1530","13889","13889","13889"
"115","1158","1158","1158","2139","2139","2139","1123","1123","1123","13945","13945","13945","1132","1132","1132","13987","13987","13987","1116","1116","1116","13866","13866","13866","1136","1136","1136","13893","13893","13893"
"116","1317","1317","1317","2143","2143","2143","1111","1111","1111","13949","13949","13949","990","990","990","13991","13991","13991","1117","1117","1117","13870","13870","13870","1158","1158","1158","13897","13897","13897"
"117","1886","1886","1886","2275","2275","2275","1729","1729","1729","14986","14986","14986","1746","1746","1746","15044","15044","15044","1776","1776","1776","14907","14907","14907","1722","1722","1722","14934","14934","14934"
"118","1708","1708","1708","2279","2279","2279","1406","1406","1406","14990","14990","14990","1756","1756","1756","15048","15048","15048","1545","1545","1545","14911","14911","14911","1440","1440","1440","14938","14938","14938"
"119","1782","1782","1782","2283","2283","2283","1412","1412","1412","14994","14994","14994","1631","1631","1631","15052","15052","15052","1583","1583","1583","14915","14915","14915","1999","1999","1999","14942","14942","14942"
"120","1357","1357","1357","2287","2287","2287","1398","1398","1398","14998","14998","14998","1432","1432","1432","15056","15056","15056","1471","1471","1471","14919","14919","14919","1662","1662","1662","14946","14946","14946"
"121","1093","1093","1093","2291","2291","2291","1170","1170","1170","15002","15002","15002","1167","1167","1167","15060","15060","15060","1192","1192","1192","14923","14923","14923","1499","1499","1499","14950","14950","14950"
"122","1227","1227","1227","2295","2295","2295","1155","1155","1155","15006","15006","15006","1172","1172","1172","15064","15064","15064","1170","1170","1170","14927","14927","14927","1499","1499","1499","14954","14954","14954"
"123","1240","1240","1240","2299","2299","2299","1411","1411","1411","15010","15010","15010","1236","1236","1236","15068","15068","15068","1144","1144","1144","14931","14931","14931","1495","1495","1495","14958","14958","14958"
"124","1056","1056","1056","2303","2303","2303","965","965","965","15014","15014","15014","967","967","967","15072","15072","15072","1106","1106","1106","14935","14935","14935","1399","1399","1399","14962","14962","14962"
"125","1218","1218","1218","2307","2307","2307","1148","1148","1148","15018","15018","15018","1136","1136","1136","15076","15076","15076","1120","1120","1120","14939","14939","14939","1399","1399","1399","14966","14966","14966"
"126","1868","1868","1868","2437","2437","2437","1762","1762","1762","16055","16055","16055","1840","1840","1840","16124","16124","16124","1753","1753","1753","15976","15976","15976","3499","3499","3499","16010","16010","16010"
