"Train/step","rl_filter_mlp_2025-12-07_21-13-48 - Train/Mrewards","rl_filter_mlp_2025-12-07_21-13-48 - Train/Mrewards__MIN","rl_filter_mlp_2025-12-07_21-13-48 - Train/Mrewards__MAX","rl_filter_mlp_2025-12-07_21-13-48 - _step","rl_filter_mlp_2025-12-07_21-13-48 - _step__MIN","rl_filter_mlp_2025-12-07_21-13-48 - _step__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - Train/Mrewards","rl_filter_no_dueling_2025-11-29_18-11-35 - Train/Mrewards__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - Train/Mrewards__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - _step","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - Train/Mrewards","rl_filter_selfattn_2025-11-26_16-56-20 - Train/Mrewards__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - Train/Mrewards__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - _step","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - Train/Mrewards","rl_filter_no_noisy_2025-11-25_15-04-29 - Train/Mrewards__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - Train/Mrewards__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - _step","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MAX","4070_rl_filter_2025-07-20_12-17-12 - Train/Mrewards","4070_rl_filter_2025-07-20_12-17-12 - Train/Mrewards__MIN","4070_rl_filter_2025-07-20_12-17-12 - Train/Mrewards__MAX","4070_rl_filter_2025-07-20_12-17-12 - _step","4070_rl_filter_2025-07-20_12-17-12 - _step__MIN","4070_rl_filter_2025-07-20_12-17-12 - _step__MAX"
"768","-1.8645505905151367","-1.8645505905151367","-1.8645505905151367","53","53","53","-2.3834457397460938","-2.3834457397460938","-2.3834457397460938","46","46","46","-1.8645505905151367","-1.8645505905151367","-1.8645505905151367","53","53","53","-1.8645505905151367","-1.8645505905151367","-1.8645505905151367","53","53","53","","","","","",""
"792","","","","","","","","","","","","","","","","","","","","","","","","","-1.5649746656417847","-1.5649746656417847","-1.5649746656417847","53","53","53"
"827","","","","","","","-2.3677711486816406","-2.3677711486816406","-2.3677711486816406","53","53","53","","","","","","","","","","","","","","","","","",""
"836","-1.904780626296997","-1.904780626296997","-1.904780626296997","60","60","60","","","","","","","-1.904780626296997","-1.904780626296997","-1.904780626296997","60","60","60","-1.904780626296997","-1.904780626296997","-1.904780626296997","60","60","60","","","","","",""
"844","","","","","","","","","","","","","","","","","","","","","","","","","-1.5115764141082764","-1.5115764141082764","-1.5115764141082764","60","60","60"
"888","","","","","","","-2.32698655128479","-2.32698655128479","-2.32698655128479","60","60","60","","","","","","","","","","","","","","","","","",""
"890","-1.842606782913208","-1.842606782913208","-1.842606782913208","67","67","67","","","","","","","-1.842606782913208","-1.842606782913208","-1.842606782913208","67","67","67","-1.842606782913208","-1.842606782913208","-1.842606782913208","67","67","67","","","","","",""
"899","","","","","","","","","","","","","","","","","","","","","","","","","-1.4804779291152954","-1.4804779291152954","-1.4804779291152954","67","67","67"
"941","","","","","","","-2.2315497398376465","-2.2315497398376465","-2.2315497398376465","67","67","67","","","","","","","","","","","","","","","","","",""
"942","","","","","","","","","","","","","","","","","","","","","","","","","-1.3879791498184204","-1.3879791498184204","-1.3879791498184204","74","74","74"
"946","-1.831512212753296","-1.831512212753296","-1.831512212753296","74","74","74","","","","","","","-1.831512212753296","-1.831512212753296","-1.831512212753296","74","74","74","-1.831512212753296","-1.831512212753296","-1.831512212753296","74","74","74","","","","","",""
"981","","","","","","","-2.0766351222991943","-2.0766351222991943","-2.0766351222991943","74","74","74","","","","","","","","","","","","","","","","","",""
"990","-1.7124282121658325","-1.7124282121658325","-1.7124282121658325","81","81","81","","","","","","","-1.7124282121658325","-1.7124282121658325","-1.7124282121658325","81","81","81","-1.7124282121658325","-1.7124282121658325","-1.7124282121658325","81","81","81","","","","","",""
"1003","","","","","","","","","","","","","","","","","","","","","","","","","-1.3964247703552246","-1.3964247703552246","-1.3964247703552246","81","81","81"
"1042","","","","","","","-2.050044298171997","-2.050044298171997","-2.050044298171997","81","81","81","","","","","","","","","","","","","","","","","",""
"1533","","","","","","","","","","","","","","","","","","","","","","","","","-0.8629267811775208","-0.8629267811775208","-0.8629267811775208","106","106","106"
"1550","-1.216632604598999","-1.216632604598999","-1.216632604598999","106","106","106","","","","","","","-1.216632604598999","-1.216632604598999","-1.216632604598999","106","106","106","-1.216632604598999","-1.216632604598999","-1.216632604598999","106","106","106","","","","","",""
"1572","","","","","","","-1.0610191822052002","-1.0610191822052002","-1.0610191822052002","106","106","106","","","","","","","","","","","","","","","","","",""
"1940","-1.0832369327545166","-1.0832369327545166","-1.0832369327545166","131","131","131","","","","","","","-1.0832369327545166","-1.0832369327545166","-1.0832369327545166","131","131","131","-1.0832369327545166","-1.0832369327545166","-1.0832369327545166","131","131","131","","","","","",""
"2033","","","","","","","","","","","","","","","","","","","","","","","","","-1.0394155979156494","-1.0394155979156494","-1.0394155979156494","131","131","131"
"2112","","","","","","","-1.4277143478393555","-1.4277143478393555","-1.4277143478393555","131","131","131","","","","","","","","","","","","","","","","","",""
"2440","-1.0953319072723389","-1.0953319072723389","-1.0953319072723389","156","156","156","","","","","","","-1.0953319072723389","-1.0953319072723389","-1.0953319072723389","156","156","156","-1.0953319072723389","-1.0953319072723389","-1.0953319072723389","156","156","156","","","","","",""
"2562","","","","","","","-1.2337872982025146","-1.2337872982025146","-1.2337872982025146","156","156","156","","","","","","","","","","","","","","","","","",""
"2603","","","","","","","","","","","","","","","","","","","","","","","","","-1.2374728918075562","-1.2374728918075562","-1.2374728918075562","156","156","156"
"2970","-1.24383544921875","-1.24383544921875","-1.24383544921875","218","218","218","","","","","","","-1.24383544921875","-1.24383544921875","-1.24383544921875","181","181","181","-1.24383544921875","-1.24383544921875","-1.24383544921875","181","181","181","","","","","",""
"3092","","","","","","","-1.3222254514694214","-1.3222254514694214","-1.3222254514694214","181","181","181","","","","","","","","","","","","","","","","","",""
"3113","","","","","","","","","","","","","","","","","","","","","","","","","-1.2798066139221191","-1.2798066139221191","-1.2798066139221191","181","181","181"
"3450","","","","","","","","","","","","","-1.140583872795105","-1.140583872795105","-1.140583872795105","206","206","206","-1.140583872795105","-1.140583872795105","-1.140583872795105","206","206","206","","","","","",""
"3460","-1.510097861289978","-1.510097861289978","-1.510097861289978","243","243","243","","","","","","","","","","","","","","","","","","","","","","","",""
"3633","","","","","","","","","","","","","","","","","","","","","","","","","-1.2941333055496216","-1.2941333055496216","-1.2941333055496216","206","206","206"
"3652","","","","","","","-1.3355326652526855","-1.3355326652526855","-1.3355326652526855","206","206","206","","","","","","","","","","","","","","","","","",""
"4000","-1.3902034759521484","-1.3902034759521484","-1.3902034759521484","268","268","268","","","","","","","","","","","","","","","","","","","","","","","",""
"4080","","","","","","","","","","","","","-1.2319473028182983","-1.2319473028182983","-1.2319473028182983","231","231","231","-1.2319473028182983","-1.2319473028182983","-1.2319473028182983","231","231","231","","","","","",""
"4212","","","","","","","-1.2990721464157104","-1.2990721464157104","-1.2990721464157104","231","231","231","","","","","","","","","","","","","","","","","",""
"4343","","","","","","","","","","","","","","","","","","","","","","","","","-1.474838137626648","-1.474838137626648","-1.474838137626648","231","231","231"
"4520","-1.2555058002471924","-1.2555058002471924","-1.2555058002471924","293","293","293","","","","","","","","","","","","","","","","","","","","","","","",""
"4650","","","","","","","","","","","","","-1.1697828769683838","-1.1697828769683838","-1.1697828769683838","256","256","256","-1.1697828769683838","-1.1697828769683838","-1.1697828769683838","256","256","256","","","","","",""
"4893","","","","","","","","","","","","","","","","","","","","","","","","","-1.409075379371643","-1.409075379371643","-1.409075379371643","256","256","256"
"4922","","","","","","","-1.4371095895767212","-1.4371095895767212","-1.4371095895767212","256","256","256","","","","","","","","","","","","","","","","","",""
"5200","","","","","","","","","","","","","-1.2076784372329712","-1.2076784372329712","-1.2076784372329712","281","281","281","-1.2076784372329712","-1.2076784372329712","-1.2076784372329712","281","281","281","","","","","",""
"5210","-1.3673319816589355","-1.3673319816589355","-1.3673319816589355","318","318","318","","","","","","","","","","","","","","","","","","","","","","","",""
"5372","","","","","","","-1.3905620574951172","-1.3905620574951172","-1.3905620574951172","281","281","281","","","","","","","","","","","","","","","","","",""
"5413","","","","","","","","","","","","","","","","","","","","","","","","","-1.3205270767211914","-1.3205270767211914","-1.3205270767211914","281","281","281"
"5760","","","","","","","","","","","","","-1.1819727420806885","-1.1819727420806885","-1.1819727420806885","306","306","306","-1.1819727420806885","-1.1819727420806885","-1.1819727420806885","306","306","306","","","","","",""
"5860","-1.4399842023849487","-1.4399842023849487","-1.4399842023849487","380","380","380","","","","","","","","","","","","","","","","","","","","","","","",""
"5983","","","","","","","","","","","","","","","","","","","","","","","","","-1.3081802129745483","-1.3081802129745483","-1.3081802129745483","306","306","306"
"6012","","","","","","","-1.4931565523147583","-1.4931565523147583","-1.4931565523147583","306","306","306","","","","","","","","","","","","","","","","","",""
"6250","","","","","","","","","","","","","-1.0212976932525635","-1.0212976932525635","-1.0212976932525635","331","331","331","-1.0212976932525635","-1.0212976932525635","-1.0212976932525635","331","331","331","","","","","",""
"6433","","","","","","","","","","","","","","","","","","","","","","","","","-1.0996170043945312","-1.0996170043945312","-1.0996170043945312","331","331","331"
"6440","-1.4610424041748047","-1.4610424041748047","-1.4610424041748047","405","405","405","","","","","","","","","","","","","","","","","","","","","","","",""
"6572","","","","","","","-1.3632361888885498","-1.3632361888885498","-1.3632361888885498","331","331","331","","","","","","","","","","","","","","","","","",""
"6730","","","","","","","","","","","","","-1.0647923946380615","-1.0647923946380615","-1.0647923946380615","356","356","356","-1.0647923946380615","-1.0647923946380615","-1.0647923946380615","356","356","356","","","","","",""
"6913","","","","","","","","","","","","","","","","","","","","","","","","","-1.1798783540725708","-1.1798783540725708","-1.1798783540725708","356","356","356"
"6980","-1.5662094354629517","-1.5662094354629517","-1.5662094354629517","430","430","430","","","","","","","","","","","","","","","","","","","","","","","",""
"7132","","","","","","","-1.4583300352096558","-1.4583300352096558","-1.4583300352096558","356","356","356","","","","","","","","","","","","","","","","","",""
"7210","","","","","","","","","","","","","-1.0344414710998535","-1.0344414710998535","-1.0344414710998535","381","381","381","-1.0344414710998535","-1.0344414710998535","-1.0344414710998535","381","381","381","","","","","",""
"7373","","","","","","","","","","","","","","","","","","","","","","","","","-1.1349390745162964","-1.1349390745162964","-1.1349390745162964","381","381","381"
"7420","-1.4569683074951172","-1.4569683074951172","-1.4569683074951172","455","455","455","","","","","","","","","","","","","","","","","","","","","","","",""
"7662","","","","","","","-1.4595320224761963","-1.4595320224761963","-1.4595320224761963","381","381","381","","","","","","","","","","","","","","","","","",""
"7720","","","","","","","","","","","","","-1.1724717617034912","-1.1724717617034912","-1.1724717617034912","406","406","406","-1.1724717617034912","-1.1724717617034912","-1.1724717617034912","406","406","406","","","","","",""
"7983","","","","","","","","","","","","","","","","","","","","","","","","","-1.253104567527771","-1.253104567527771","-1.253104567527771","406","406","406"
"7990","-1.5720990896224976","-1.5720990896224976","-1.5720990896224976","480","480","480","","","","","","","","","","","","","","","","","","","","","","","",""
"8052","","","","","","","-1.3313853740692139","-1.3313853740692139","-1.3313853740692139","406","406","406","","","","","","","","","","","","","","","","","",""
"8230","","","","","","","","","","","","","-1.1944600343704224","-1.1944600343704224","-1.1944600343704224","431","431","431","-1.1944600343704224","-1.1944600343704224","-1.1944600343704224","431","431","431","","","","","",""
"8473","","","","","","","","","","","","","","","","","","","","","","","","","-1.2508704662322998","-1.2508704662322998","-1.2508704662322998","431","431","431"
"8580","-1.5212490558624268","-1.5212490558624268","-1.5212490558624268","542","542","542","","","","","","","","","","","","","","","","","","","","","","","",""
"8612","","","","","","","-1.331554651260376","-1.331554651260376","-1.331554651260376","431","431","431","","","","","","","","","","","","","","","","","",""
"8750","","","","","","","","","","","","","-1.145969271659851","-1.145969271659851","-1.145969271659851","456","456","456","-1.145969271659851","-1.145969271659851","-1.145969271659851","456","456","456","","","","","",""
"8973","","","","","","","","","","","","","","","","","","","","","","","","","-1.1768382787704468","-1.1768382787704468","-1.1768382787704468","456","456","456"
"9090","-1.4379409551620483","-1.4379409551620483","-1.4379409551620483","567","567","567","","","","","","","","","","","","","","","","","","","","","","","",""
"9112","","","","","","","-1.189902901649475","-1.189902901649475","-1.189902901649475","456","456","456","","","","","","","","","","","","","","","","","",""
"9390","","","","","","","","","","","","","-1.1969712972640991","-1.1969712972640991","-1.1969712972640991","481","481","481","-1.1969712972640991","-1.1969712972640991","-1.1969712972640991","481","481","481","","","","","",""
"9590","-1.3272846937179565","-1.3272846937179565","-1.3272846937179565","592","592","592","","","","","","","","","","","","","","","","","","","","","","","",""
"9603","","","","","","","","","","","","","","","","","","","","","","","","","-1.2383912801742554","-1.2383912801742554","-1.2383912801742554","481","481","481"
"9642","","","","","","","-1.1590641736984253","-1.1590641736984253","-1.1590641736984253","481","481","481","","","","","","","","","","","","","","","","","",""
"9920","","","","","","","","","","","","","-1.221910834312439","-1.221910834312439","-1.221910834312439","506","506","506","-1.221910834312439","-1.221910834312439","-1.221910834312439","506","506","506","","","","","",""
"10130","-1.2930999994277954","-1.2930999994277954","-1.2930999994277954","617","617","617","","","","","","","","","","","","","","","","","","","","","","","",""
"10313","","","","","","","","","","","","","","","","","","","","","","","","","-1.3524360656738281","-1.3524360656738281","-1.3524360656738281","506","506","506"
"10322","","","","","","","-1.289071798324585","-1.289071798324585","-1.289071798324585","506","506","506","","","","","","","","","","","","","","","","","",""
"10490","","","","","","","","","","","","","-1.2192414999008179","-1.2192414999008179","-1.2192414999008179","531","531","531","-1.2192414999008179","-1.2192414999008179","-1.2192414999008179","531","531","531","","","","","",""
"10710","-1.2903177738189697","-1.2903177738189697","-1.2903177738189697","642","642","642","","","","","","","","","","","","","","","","","","","","","","","",""
"10832","","","","","","","-1.2306708097457886","-1.2306708097457886","-1.2306708097457886","531","531","531","","","","","","","","","","","","","","","","","",""
"10883","","","","","","","","","","","","","","","","","","","","","","","","","-1.3453359603881836","-1.3453359603881836","-1.3453359603881836","531","531","531"
"11140","","","","","","","","","","","","","-1.2023519277572632","-1.2023519277572632","-1.2023519277572632","556","556","556","-1.2023519277572632","-1.2023519277572632","-1.2023519277572632","556","556","556","","","","","",""
"11230","-1.1444240808486938","-1.1444240808486938","-1.1444240808486938","704","704","704","","","","","","","","","","","","","","","","","","","","","","","",""
"11403","","","","","","","","","","","","","","","","","","","","","","","","","-1.2052572965621948","-1.2052572965621948","-1.2052572965621948","556","556","556"
"11492","","","","","","","-1.2172201871871948","-1.2172201871871948","-1.2172201871871948","556","556","556","","","","","","","","","","","","","","","","","",""
"11650","","","","","","","","","","","","","-1.3155953884124756","-1.3155953884124756","-1.3155953884124756","581","581","581","-1.3155953884124756","-1.3155953884124756","-1.3155953884124756","581","581","581","","","","","",""
"11690","-1.098048210144043","-1.098048210144043","-1.098048210144043","729","729","729","","","","","","","","","","","","","","","","","","","","","","","",""
"11943","","","","","","","","","","","","","","","","","","","","","","","","","-1.3412549495697021","-1.3412549495697021","-1.3412549495697021","581","581","581"
"11962","","","","","","","-1.2014141082763672","-1.2014141082763672","-1.2014141082763672","581","581","581","","","","","","","","","","","","","","","","","",""
"12170","-1.1328767538070679","-1.1328767538070679","-1.1328767538070679","754","754","754","","","","","","","","","","","","","","","","","","","","","","","",""
"12280","","","","","","","","","","","","","-1.4316380023956299","-1.4316380023956299","-1.4316380023956299","606","606","606","-1.4316380023956299","-1.4316380023956299","-1.4316380023956299","606","606","606","","","","","",""
"12372","","","","","","","-1.1478259563446045","-1.1478259563446045","-1.1478259563446045","606","606","606","","","","","","","","","","","","","","","","","",""
"12533","","","","","","","","","","","","","","","","","","","","","","","","","-1.3743168115615845","-1.3743168115615845","-1.3743168115615845","606","606","606"
"12730","-1.2234123945236206","-1.2234123945236206","-1.2234123945236206","779","779","779","","","","","","","","","","","","","","","","","","","","","","","",""
"12800","","","","","","","","","","","","","-1.45369553565979","-1.45369553565979","-1.45369553565979","631","631","631","-1.45369553565979","-1.45369553565979","-1.45369553565979","631","631","631","","","","","",""
"12922","","","","","","","-1.2477099895477295","-1.2477099895477295","-1.2477099895477295","631","631","631","","","","","","","","","","","","","","","","","",""
"13033","","","","","","","","","","","","","","","","","","","","","","","","","-1.3986581563949585","-1.3986581563949585","-1.3986581563949585","631","631","631"
"13330","-1.3315870761871338","-1.3315870761871338","-1.3315870761871338","804","804","804","","","","","","","","","","","","","","","","","","","","","","","",""
"13400","","","","","","","","","","","","","-1.4948575496673584","-1.4948575496673584","-1.4948575496673584","656","656","656","-1.4948575496673584","-1.4948575496673584","-1.4948575496673584","656","656","656","","","","","",""
"13592","","","","","","","-1.4319742918014526","-1.4319742918014526","-1.4319742918014526","656","656","656","","","","","","","","","","","","","","","","","",""
"13643","","","","","","","","","","","","","","","","","","","","","","","","","-1.5991549491882324","-1.5991549491882324","-1.5991549491882324","656","656","656"
"13910","-1.3380142450332642","-1.3380142450332642","-1.3380142450332642","866","866","866","","","","","","","","","","","","","","","","","","","","","","","",""
"13920","","","","","","","","","","","","","-1.4156572818756104","-1.4156572818756104","-1.4156572818756104","681","681","681","-1.4156572818756104","-1.4156572818756104","-1.4156572818756104","681","681","681","","","","","",""
"14112","","","","","","","-1.3610323667526245","-1.3610323667526245","-1.3610323667526245","681","681","681","","","","","","","","","","","","","","","","","",""
"14410","-1.2361645698547363","-1.2361645698547363","-1.2361645698547363","891","891","891","","","","","","","","","","","","","","","","","","","","","","","",""
"14460","","","","","","","","","","","","","-1.3391687870025635","-1.3391687870025635","-1.3391687870025635","706","706","706","-1.3391687870025635","-1.3391687870025635","-1.3391687870025635","706","706","706","","","","","",""
"14732","","","","","","","-1.3657042980194092","-1.3657042980194092","-1.3657042980194092","706","706","706","","","","","","","","","","","","","","","","","",""
"14763","","","","","","","","","","","","","","","","","","","","","","","","","-1.5814145803451538","-1.5814145803451538","-1.5814145803451538","704","704","704"
"15060","","","","","","","","","","","","","-1.3513836860656738","-1.3513836860656738","-1.3513836860656738","731","731","731","-1.3513836860656738","-1.3513836860656738","-1.3513836860656738","731","731","731","","","","","",""
"15150","-1.3552573919296265","-1.3552573919296265","-1.3552573919296265","916","916","916","","","","","","","","","","","","","","","","","","","","","","","",""
"15222","","","","","","","-1.3726929426193237","-1.3726929426193237","-1.3726929426193237","731","731","731","","","","","","","","","","","","","","","","","",""
"15563","","","","","","","","","","","","","","","","","","","","","","","","","-1.5255756378173828","-1.5255756378173828","-1.5255756378173828","729","729","729"
"15650","","","","","","","","","","","","","-1.3470263481140137","-1.3470263481140137","-1.3470263481140137","756","756","756","-1.3470263481140137","-1.3470263481140137","-1.3470263481140137","756","756","756","","","","","",""
"15690","-1.3130449056625366","-1.3130449056625366","-1.3130449056625366","941","941","941","","","","","","","","","","","","","","","","","","","","","","","",""
"15722","","","","","","","-1.2901698350906372","-1.2901698350906372","-1.2901698350906372","756","756","756","","","","","","","","","","","","","","","","","",""
"16083","","","","","","","","","","","","","","","","","","","","","","","","","-1.554546594619751","-1.554546594619751","-1.554546594619751","754","754","754"
"16190","-1.1455867290496826","-1.1455867290496826","-1.1455867290496826","966","966","966","","","","","","","","","","","","","","","","","","","","","","","",""
"16200","","","","","","","","","","","","","-1.2137250900268555","-1.2137250900268555","-1.2137250900268555","781","781","781","-1.2137250900268555","-1.2137250900268555","-1.2137250900268555","781","781","781","","","","","",""
"16232","","","","","","","-1.1213542222976685","-1.1213542222976685","-1.1213542222976685","781","781","781","","","","","","","","","","","","","","","","","",""
"16700","","","","","","","","","","","","","-1.250275731086731","-1.250275731086731","-1.250275731086731","806","806","806","-1.250275731086731","-1.250275731086731","-1.250275731086731","806","806","806","","","","","",""
"16723","","","","","","","","","","","","","","","","","","","","","","","","","-1.6030677556991577","-1.6030677556991577","-1.6030677556991577","779","779","779"
"16760","-1.2676492929458618","-1.2676492929458618","-1.2676492929458618","1028","1028","1028","","","","","","","","","","","","","","","","","","","","","","","",""
"16782","","","","","","","-1.2869752645492554","-1.2869752645492554","-1.2869752645492554","806","806","806","","","","","","","","","","","","","","","","","",""
"17213","","","","","","","","","","","","","","","","","","","","","","","","","-1.3531533479690552","-1.3531533479690552","-1.3531533479690552","804","804","804"
"17310","-1.1882089376449585","-1.1882089376449585","-1.1882089376449585","1053","1053","1053","","","","","","","","","","","","","","","","","","","","","","","",""
"17322","","","","","","","-1.3996148109436035","-1.3996148109436035","-1.3996148109436035","831","831","831","","","","","","","","","","","","","","","","","",""
"17340","","","","","","","","","","","","","-1.3418151140213013","-1.3418151140213013","-1.3418151140213013","831","831","831","-1.3418151140213013","-1.3418151140213013","-1.3418151140213013","831","831","831","","","","","",""
"17743","","","","","","","","","","","","","","","","","","","","","","","","","-1.4670112133026123","-1.4670112133026123","-1.4670112133026123","829","829","829"
"17792","","","","","","","-1.3931432962417603","-1.3931432962417603","-1.3931432962417603","856","856","856","","","","","","","","","","","","","","","","","",""
"17830","-1.2960566282272339","-1.2960566282272339","-1.2960566282272339","1078","1078","1078","","","","","","","","","","","","","","","","","","","","","","","",""
"17890","","","","","","","","","","","","","-1.4243743419647217","-1.4243743419647217","-1.4243743419647217","856","856","856","-1.4243743419647217","-1.4243743419647217","-1.4243743419647217","856","856","856","","","","","",""
"18283","","","","","","","","","","","","","","","","","","","","","","","","","-1.4908103942871094","-1.4908103942871094","-1.4908103942871094","854","854","854"
"18322","","","","","","","-1.3782055377960205","-1.3782055377960205","-1.3782055377960205","881","881","881","","","","","","","","","","","","","","","","","",""
"18350","-1.3063476085662842","-1.3063476085662842","-1.3063476085662842","1103","1103","1103","","","","","","","","","","","","","","","","","","","","","","","",""
"18370","","","","","","","","","","","","","-1.3720263242721558","-1.3720263242721558","-1.3720263242721558","881","881","881","-1.3720263242721558","-1.3720263242721558","-1.3720263242721558","881","881","881","","","","","",""
"18833","","","","","","","","","","","","","","","","","","","","","","","","","-1.513575553894043","-1.513575553894043","-1.513575553894043","879","879","879"
"18890","","","","","","","","","","","","","-1.320144772529602","-1.320144772529602","-1.320144772529602","906","906","906","-1.320144772529602","-1.320144772529602","-1.320144772529602","906","906","906","","","","","",""
"18962","","","","","","","-1.4397623538970947","-1.4397623538970947","-1.4397623538970947","906","906","906","","","","","","","","","","","","","","","","","",""
"19010","-1.4184496402740479","-1.4184496402740479","-1.4184496402740479","1128","1128","1128","","","","","","","","","","","","","","","","","","","","","","","",""
"19373","","","","","","","","","","","","","","","","","","","","","","","","","-1.537270188331604","-1.537270188331604","-1.537270188331604","904","904","904"
"19480","","","","","","","","","","","","","-1.3109596967697144","-1.3109596967697144","-1.3109596967697144","931","931","931","-1.3109596967697144","-1.3109596967697144","-1.3109596967697144","931","931","931","","","","","",""
"19512","","","","","","","-1.3659852743148804","-1.3659852743148804","-1.3659852743148804","931","931","931","","","","","","","","","","","","","","","","","",""
"19620","-1.431442379951477","-1.431442379951477","-1.431442379951477","1190","1190","1190","","","","","","","","","","","","","","","","","","","","","","","",""
"19943","","","","","","","","","","","","","","","","","","","","","","","","","-1.5094355344772339","-1.5094355344772339","-1.5094355344772339","929","929","929"
"20022","","","","","","","-1.3503587245941162","-1.3503587245941162","-1.3503587245941162","956","956","956","","","","","","","","","","","","","","","","","",""
"20140","","","","","","","","","","","","","-1.5121906995773315","-1.5121906995773315","-1.5121906995773315","956","956","956","-1.5121906995773315","-1.5121906995773315","-1.5121906995773315","956","956","956","","","","","",""
"20150","-1.3702640533447266","-1.3702640533447266","-1.3702640533447266","1215","1215","1215","","","","","","","","","","","","","","","","","","","","","","","",""
