"Evaluate/step_episode","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpProgress","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpProgress__MIN","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpProgress__MAX","rl_filter_mlp_2025-12-07_21-13-48 - _step","rl_filter_mlp_2025-12-07_21-13-48 - _step__MIN","rl_filter_mlp_2025-12-07_21-13-48 - _step__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpProgress","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpProgress__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpProgress__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - _step","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpProgress","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpProgress__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpProgress__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - _step","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpProgress","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpProgress__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpProgress__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - _step","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MAX","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpProgress","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpProgress__MIN","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpProgress__MAX","4070_rl_filter_2025-07-20_12-17-12 - _step","4070_rl_filter_2025-07-20_12-17-12 - _step__MIN","4070_rl_filter_2025-07-20_12-17-12 - _step__MAX"
"13","1","1","1","343","343","343","0","0","0","2084","2084","2084","0","0","0","2092","2092","2092","0","0","0","2084","2084","2084","0","0","0","2084","2084","2084"
"14","1","1","1","347","347","347","0","0","0","2087","2087","2087","0","0","0","2096","2096","2096","0","0","0","2088","2088","2088","0","0","0","2088","2088","2088"
"15","1","1","1","351","351","351","0","0","0","2091","2091","2091","0","0","0","2100","2100","2100","0","0","0","2092","2092","2092","0","0","0","2092","2092","2092"
"16","1","1","1","355","355","355","0","0","0","2094","2094","2094","0","0","0","2104","2104","2104","0","0","0","2096","2096","2096","0","0","0","2096","2096","2096"
"17","1","1","1","359","359","359","0","0","0","2097","2097","2097","0","0","0","2108","2108","2108","0","0","0","2100","2100","2100","0","0","0","2100","2100","2100"
"18","1","1","1","489","489","489","1","1","1","3140","3140","3140","0","0","0","3174","3174","3174","1","1","1","3137","3137","3137","1","1","1","3141","3141","3141"
"19","1","1","1","493","493","493","1","1","1","3144","3144","3144","1","1","1","3178","3178","3178","1","1","1","3141","3141","3141","1","1","1","3145","3145","3145"
"20","1","1","1","497","497","497","1","1","1","3148","3148","3148","0","0","0","3182","3182","3182","1","1","1","3145","3145","3145","1","1","1","3149","3149","3149"
"21","1","1","1","501","501","501","1","1","1","3152","3152","3152","1","1","1","3186","3186","3186","1","1","1","3149","3149","3149","1","1","1","3153","3153","3153"
"22","1","1","1","505","505","505","1","1","1","3156","3156","3156","1","1","1","3190","3190","3190","1","1","1","3153","3153","3153","1","1","1","3157","3157","3157"
"23","1","1","1","509","509","509","1","1","1","3160","3160","3160","0.8","0.8","0.8","3194","3194","3194","1","1","1","3157","3157","3157","0.9","0.9","0.9","3161","3161","3161"
"24","1","1","1","513","513","513","1","1","1","3164","3164","3164","0.2","0.2","0.2","3198","3198","3198","1","1","1","3161","3161","3161","1","1","1","3165","3165","3165"
"25","1","1","1","517","517","517","1","1","1","3168","3168","3168","1","1","1","3202","3202","3202","1","1","1","3165","3165","3165","1","1","1","3169","3169","3169"
"26","1","1","1","521","521","521","1","1","1","3172","3172","3172","0.8","0.8","0.8","3206","3206","3206","1","1","1","3169","3169","3169","1","1","1","3173","3173","3173"
"27","1","1","1","651","651","651","1","1","1","4216","4216","4216","1","1","1","4255","4255","4255","1","1","1","4205","4205","4205","1","1","1","4212","4212","4212"
"28","1","1","1","655","655","655","1","1","1","4220","4220","4220","1","1","1","4259","4259","4259","1","1","1","4209","4209","4209","1","1","1","4216","4216","4216"
"29","1","1","1","659","659","659","1","1","1","4224","4224","4224","1","1","1","4263","4263","4263","1","1","1","4213","4213","4213","1","1","1","4220","4220","4220"
"30","1","1","1","663","663","663","1","1","1","4228","4228","4228","1","1","1","4267","4267","4267","1","1","1","4217","4217","4217","1","1","1","4224","4224","4224"
"31","1","1","1","667","667","667","1","1","1","4232","4232","4232","1","1","1","4271","4271","4271","1","1","1","4221","4221","4221","1","1","1","4228","4228","4228"
"32","1","1","1","671","671","671","1","1","1","4236","4236","4236","1","1","1","4275","4275","4275","1","1","1","4225","4225","4225","1","1","1","4232","4232","4232"
"33","1","1","1","675","675","675","1","1","1","4240","4240","4240","1","1","1","4279","4279","4279","1","1","1","4229","4229","4229","1","1","1","4236","4236","4236"
"34","1","1","1","679","679","679","1","1","1","4244","4244","4244","1","1","1","4283","4283","4283","1","1","1","4233","4233","4233","1","1","1","4240","4240","4240"
"35","1","1","1","683","683","683","1","1","1","4248","4248","4248","1","1","1","4287","4287","4287","1","1","1","4237","4237","4237","1","1","1","4244","4244","4244"
"36","1","1","1","813","813","813","1","1","1","5296","5296","5296","1","1","1","5332","5332","5332","1","1","1","5274","5274","5274","1","1","1","5282","5282","5282"
"37","1","1","1","817","817","817","1","1","1","5300","5300","5300","1","1","1","5336","5336","5336","1","1","1","5278","5278","5278","1","1","1","5286","5286","5286"
"38","1","1","1","821","821","821","1","1","1","5304","5304","5304","1","1","1","5340","5340","5340","1","1","1","5282","5282","5282","1","1","1","5290","5290","5290"
"39","1","1","1","825","825","825","1","1","1","5308","5308","5308","1","1","1","5344","5344","5344","1","1","1","5286","5286","5286","1","1","1","5294","5294","5294"
"40","1","1","1","829","829","829","1","1","1","5312","5312","5312","1","1","1","5348","5348","5348","1","1","1","5290","5290","5290","1","1","1","5298","5298","5298"
"41","1","1","1","833","833","833","1","1","1","5316","5316","5316","0.8","0.8","0.8","5352","5352","5352","1","1","1","5294","5294","5294","1","1","1","5302","5302","5302"
"42","1","1","1","837","837","837","1","1","1","5320","5320","5320","1","1","1","5356","5356","5356","1","1","1","5298","5298","5298","1","1","1","5306","5306","5306"
"43","1","1","1","841","841","841","1","1","1","5324","5324","5324","1","1","1","5360","5360","5360","1","1","1","5302","5302","5302","1","1","1","5310","5310","5310"
"44","1","1","1","845","845","845","1","1","1","5328","5328","5328","1","1","1","5364","5364","5364","1","1","1","5306","5306","5306","1","1","1","5314","5314","5314"
"45","1","1","1","975","975","975","0","0","0","6389","6389","6389","1","1","1","6424","6424","6424","1","1","1","6344","6344","6344","1","1","1","6351","6351","6351"
"46","1","1","1","979","979","979","0.8","0.8","0.8","6393","6393","6393","1","1","1","6428","6428","6428","1","1","1","6348","6348","6348","1","1","1","6355","6355","6355"
"47","1","1","1","983","983","983","1","1","1","6397","6397","6397","1","1","1","6432","6432","6432","1","1","1","6352","6352","6352","1","1","1","6359","6359","6359"
"48","1","1","1","987","987","987","1","1","1","6401","6401","6401","1","1","1","6436","6436","6436","0.8","0.8","0.8","6356","6356","6356","1","1","1","6363","6363","6363"
"49","1","1","1","991","991","991","1","1","1","6405","6405","6405","1","1","1","6440","6440","6440","0.8","0.8","0.8","6360","6360","6360","1","1","1","6367","6367","6367"
"50","1","1","1","995","995","995","1","1","1","6409","6409","6409","1","1","1","6444","6444","6444","0.8","0.8","0.8","6364","6364","6364","1","1","1","6371","6371","6371"
"51","1","1","1","999","999","999","1","1","1","6413","6413","6413","1","1","1","6448","6448","6448","0","0","0","6368","6368","6368","1","1","1","6375","6375","6375"
"52","1","1","1","1003","1003","1003","1","1","1","6417","6417","6417","1","1","1","6452","6452","6452","0","0","0","6372","6372","6372","1","1","1","6379","6379","6379"
"53","1","1","1","1007","1007","1007","1","1","1","6421","6421","6421","1","1","1","6456","6456","6456","0.4","0.4","0.4","6376","6376","6376","1","1","1","6383","6383","6383"
"54","1","1","1","1137","1137","1137","1","1","1","7476","7476","7476","0","0","0","7507","7507","7507","1","1","1","7414","7414","7414","1","1","1","7430","7430","7430"
"55","1","1","1","1141","1141","1141","1","1","1","7480","7480","7480","1","1","1","7511","7511","7511","1","1","1","7418","7418","7418","1","1","1","7434","7434","7434"
"56","1","1","1","1145","1145","1145","1","1","1","7484","7484","7484","1","1","1","7515","7515","7515","1","1","1","7422","7422","7422","1","1","1","7438","7438","7438"
"57","1","1","1","1149","1149","1149","1","1","1","7488","7488","7488","1","1","1","7519","7519","7519","0.6","0.6","0.6","7426","7426","7426","1","1","1","7442","7442","7442"
"58","1","1","1","1153","1153","1153","1","1","1","7492","7492","7492","1","1","1","7523","7523","7523","1","1","1","7430","7430","7430","1","1","1","7446","7446","7446"
"59","1","1","1","1157","1157","1157","1","1","1","7496","7496","7496","1","1","1","7527","7527","7527","0.8","0.8","0.8","7434","7434","7434","1","1","1","7450","7450","7450"
"60","1","1","1","1161","1161","1161","1","1","1","7500","7500","7500","1","1","1","7531","7531","7531","0.8","0.8","0.8","7438","7438","7438","1","1","1","7454","7454","7454"
"61","1","1","1","1165","1165","1165","1","1","1","7504","7504","7504","1","1","1","7535","7535","7535","0.8","0.8","0.8","7442","7442","7442","1","1","1","7458","7458","7458"
"62","1","1","1","1169","1169","1169","1","1","1","7508","7508","7508","1","1","1","7539","7539","7539","0.8","0.8","0.8","7446","7446","7446","1","1","1","7462","7462","7462"
"63","1","1","1","1299","1299","1299","1","1","1","8545","8545","8545","1","1","1","8584","8584","8584","1","1","1","8482","8482","8482","1","1","1","8499","8499","8499"
"64","1","1","1","1303","1303","1303","1","1","1","8549","8549","8549","1","1","1","8588","8588","8588","1","1","1","8486","8486","8486","1","1","1","8503","8503","8503"
"65","1","1","1","1307","1307","1307","1","1","1","8553","8553","8553","1","1","1","8592","8592","8592","1","1","1","8490","8490","8490","1","1","1","8507","8507","8507"
"66","1","1","1","1311","1311","1311","0.8","0.8","0.8","8557","8557","8557","1","1","1","8596","8596","8596","1","1","1","8494","8494","8494","1","1","1","8511","8511","8511"
"67","1","1","1","1315","1315","1315","0.8","0.8","0.8","8561","8561","8561","0.9","0.9","0.9","8602","8602","8602","1","1","1","8498","8498","8498","1","1","1","8515","8515","8515"
"68","1","1","1","1319","1319","1319","0.8","0.8","0.8","8565","8565","8565","1","1","1","8606","8606","8606","1","1","1","8502","8502","8502","1","1","1","8519","8519","8519"
"69","1","1","1","1323","1323","1323","0.2","0.2","0.2","8569","8569","8569","1","1","1","8610","8610","8610","1","1","1","8506","8506","8506","1","1","1","8523","8523","8523"
"70","1","1","1","1327","1327","1327","0.8","0.8","0.8","8573","8573","8573","1","1","1","8614","8614","8614","1","1","1","8510","8510","8510","1","1","1","8527","8527","8527"
"71","1","1","1","1331","1331","1331","0.8","0.8","0.8","8577","8577","8577","1","1","1","8618","8618","8618","1","1","1","8514","8514","8514","1","1","1","8531","8531","8531"
"72","1","1","1","1461","1461","1461","1","1","1","9622","9622","9622","1","1","1","9662","9662","9662","1","1","1","9559","9559","9559","1","1","1","9576","9576","9576"
"73","1","1","1","1465","1465","1465","1","1","1","9626","9626","9626","1","1","1","9666","9666","9666","1","1","1","9563","9563","9563","1","1","1","9580","9580","9580"
"74","1","1","1","1469","1469","1469","1","1","1","9630","9630","9630","1","1","1","9670","9670","9670","1","1","1","9567","9567","9567","1","1","1","9584","9584","9584"
"75","1","1","1","1473","1473","1473","1","1","1","9634","9634","9634","1","1","1","9674","9674","9674","1","1","1","9571","9571","9571","1","1","1","9588","9588","9588"
"76","1","1","1","1477","1477","1477","1","1","1","9638","9638","9638","1","1","1","9678","9678","9678","0.8","0.8","0.8","9575","9575","9575","1","1","1","9592","9592","9592"
"77","1","1","1","1481","1481","1481","1","1","1","9642","9642","9642","1","1","1","9682","9682","9682","0.8","0.8","0.8","9579","9579","9579","1","1","1","9596","9596","9596"
"78","1","1","1","1485","1485","1485","1","1","1","9646","9646","9646","1","1","1","9686","9686","9686","0.8","0.8","0.8","9583","9583","9583","1","1","1","9600","9600","9600"
"79","1","1","1","1489","1489","1489","1","1","1","9650","9650","9650","1","1","1","9690","9690","9690","0.8","0.8","0.8","9587","9587","9587","1","1","1","9604","9604","9604"
"80","1","1","1","1493","1493","1493","1","1","1","9654","9654","9654","1","1","1","9694","9694","9694","0.8","0.8","0.8","9591","9591","9591","1","1","1","9608","9608","9608"
"81","1","1","1","1624","1624","1624","1","1","1","10706","10706","10706","1","1","1","10733","10733","10733","1","1","1","10629","10629","10629","1","1","1","10645","10645","10645"
"82","1","1","1","1628","1628","1628","1","1","1","10710","10710","10710","1","1","1","10737","10737","10737","1","1","1","10633","10633","10633","1","1","1","10649","10649","10649"
"83","1","1","1","1632","1632","1632","1","1","1","10714","10714","10714","1","1","1","10741","10741","10741","1","1","1","10637","10637","10637","1","1","1","10653","10653","10653"
"84","1","1","1","1636","1636","1636","1","1","1","10718","10718","10718","1","1","1","10745","10745","10745","0.8","0.8","0.8","10641","10641","10641","1","1","1","10657","10657","10657"
"85","1","1","1","1640","1640","1640","1","1","1","10722","10722","10722","1","1","1","10749","10749","10749","0.9","0.9","0.9","10645","10645","10645","1","1","1","10661","10661","10661"
"86","1","1","1","1644","1644","1644","1","1","1","10726","10726","10726","1","1","1","10753","10753","10753","1","1","1","10649","10649","10649","1","1","1","10665","10665","10665"
"87","1","1","1","1648","1648","1648","1","1","1","10730","10730","10730","1","1","1","10757","10757","10757","1","1","1","10653","10653","10653","1","1","1","10669","10669","10669"
"88","1","1","1","1652","1652","1652","1","1","1","10734","10734","10734","1","1","1","10761","10761","10761","1","1","1","10657","10657","10657","1","1","1","10673","10673","10673"
"89","1","1","1","1656","1656","1656","1","1","1","10738","10738","10738","1","1","1","10765","10765","10765","1","1","1","10661","10661","10661","1","1","1","10677","10677","10677"
"90","1","1","1","1786","1786","1786","1","1","1","11774","11774","11774","1","1","1","11805","11805","11805","1","1","1","11699","11699","11699","1","1","1","11719","11719","11719"
"91","1","1","1","1790","1790","1790","1","1","1","11778","11778","11778","1","1","1","11809","11809","11809","1","1","1","11703","11703","11703","1","1","1","11723","11723","11723"
"92","1","1","1","1794","1794","1794","1","1","1","11782","11782","11782","1","1","1","11813","11813","11813","1","1","1","11707","11707","11707","1","1","1","11727","11727","11727"
"93","1","1","1","1798","1798","1798","1","1","1","11786","11786","11786","1","1","1","11817","11817","11817","0.2","0.2","0.2","11711","11711","11711","1","1","1","11731","11731","11731"
"94","1","1","1","1802","1802","1802","1","1","1","11790","11790","11790","1","1","1","11821","11821","11821","1","1","1","11715","11715","11715","1","1","1","11735","11735","11735"
"95","1","1","1","1806","1806","1806","1","1","1","11794","11794","11794","1","1","1","11825","11825","11825","1","1","1","11719","11719","11719","1","1","1","11739","11739","11739"
"96","1","1","1","1810","1810","1810","1","1","1","11798","11798","11798","1","1","1","11829","11829","11829","1","1","1","11723","11723","11723","1","1","1","11743","11743","11743"
"97","1","1","1","1814","1814","1814","1","1","1","11802","11802","11802","1","1","1","11833","11833","11833","1","1","1","11727","11727","11727","0.8","0.8","0.8","11747","11747","11747"
"98","1","1","1","1818","1818","1818","1","1","1","11806","11806","11806","1","1","1","11837","11837","11837","1","1","1","11731","11731","11731","0.8","0.8","0.8","11751","11751","11751"
"99","1","1","1","1948","1948","1948","1","1","1","12842","12842","12842","0.1","0.1","0.1","12887","12887","12887","1","1","1","12767","12767","12767","1","1","1","12789","12789","12789"
"100","1","1","1","1952","1952","1952","1","1","1","12846","12846","12846","1","1","1","12891","12891","12891","1","1","1","12771","12771","12771","1","1","1","12793","12793","12793"
"101","1","1","1","1956","1956","1956","1","1","1","12850","12850","12850","1","1","1","12895","12895","12895","1","1","1","12775","12775","12775","1","1","1","12797","12797","12797"
"102","1","1","1","1960","1960","1960","1","1","1","12854","12854","12854","1","1","1","12899","12899","12899","1","1","1","12779","12779","12779","1","1","1","12801","12801","12801"
"103","1","1","1","1964","1964","1964","1","1","1","12858","12858","12858","1","1","1","12903","12903","12903","1","1","1","12783","12783","12783","1","1","1","12805","12805","12805"
"104","1","1","1","1968","1968","1968","1","1","1","12862","12862","12862","1","1","1","12907","12907","12907","1","1","1","12787","12787","12787","1","1","1","12809","12809","12809"
"105","1","1","1","1972","1972","1972","1","1","1","12866","12866","12866","0.9","0.9","0.9","12911","12911","12911","1","1","1","12791","12791","12791","1","1","1","12813","12813","12813"
"106","1","1","1","1976","1976","1976","1","1","1","12870","12870","12870","0.8","0.8","0.8","12915","12915","12915","1","1","1","12795","12795","12795","1","1","1","12817","12817","12817"
"107","1","1","1","1980","1980","1980","1","1","1","12874","12874","12874","0.8","0.8","0.8","12919","12919","12919","1","1","1","12799","12799","12799","1","1","1","12821","12821","12821"
"108","1","1","1","2110","2110","2110","1","1","1","13917","13917","13917","1","1","1","13959","13959","13959","1","1","1","13838","13838","13838","1","1","1","13865","13865","13865"
"109","1","1","1","2114","2114","2114","1","1","1","13921","13921","13921","1","1","1","13963","13963","13963","1","1","1","13842","13842","13842","1","1","1","13869","13869","13869"
"110","1","1","1","2118","2118","2118","1","1","1","13925","13925","13925","1","1","1","13967","13967","13967","1","1","1","13846","13846","13846","1","1","1","13873","13873","13873"
"111","1","1","1","2122","2122","2122","1","1","1","13929","13929","13929","1","1","1","13971","13971","13971","1","1","1","13850","13850","13850","1","1","1","13877","13877","13877"
"112","1","1","1","2127","2127","2127","1","1","1","13933","13933","13933","1","1","1","13975","13975","13975","1","1","1","13854","13854","13854","1","1","1","13881","13881","13881"
"113","1","1","1","2131","2131","2131","1","1","1","13937","13937","13937","1","1","1","13979","13979","13979","1","1","1","13858","13858","13858","1","1","1","13885","13885","13885"
"114","1","1","1","2135","2135","2135","1","1","1","13941","13941","13941","1","1","1","13983","13983","13983","1","1","1","13862","13862","13862","1","1","1","13889","13889","13889"
"115","1","1","1","2139","2139","2139","1","1","1","13945","13945","13945","1","1","1","13987","13987","13987","1","1","1","13866","13866","13866","1","1","1","13893","13893","13893"
"116","1","1","1","2143","2143","2143","1","1","1","13949","13949","13949","1","1","1","13991","13991","13991","1","1","1","13870","13870","13870","1","1","1","13897","13897","13897"
"117","1","1","1","2275","2275","2275","1","1","1","14986","14986","14986","1","1","1","15044","15044","15044","1","1","1","14907","14907","14907","1","1","1","14934","14934","14934"
"118","1","1","1","2279","2279","2279","1","1","1","14990","14990","14990","1","1","1","15048","15048","15048","1","1","1","14911","14911","14911","1","1","1","14938","14938","14938"
"119","1","1","1","2283","2283","2283","1","1","1","14994","14994","14994","1","1","1","15052","15052","15052","1","1","1","14915","14915","14915","0.8","0.8","0.8","14942","14942","14942"
"120","1","1","1","2287","2287","2287","1","1","1","14998","14998","14998","1","1","1","15056","15056","15056","1","1","1","14919","14919","14919","1","1","1","14946","14946","14946"
"121","1","1","1","2291","2291","2291","1","1","1","15002","15002","15002","1","1","1","15060","15060","15060","1","1","1","14923","14923","14923","0.8","0.8","0.8","14950","14950","14950"
"122","1","1","1","2295","2295","2295","1","1","1","15006","15006","15006","1","1","1","15064","15064","15064","1","1","1","14927","14927","14927","0.8","0.8","0.8","14954","14954","14954"
"123","1","1","1","2299","2299","2299","1","1","1","15010","15010","15010","1","1","1","15068","15068","15068","1","1","1","14931","14931","14931","1","1","1","14958","14958","14958"
"124","1","1","1","2303","2303","2303","1","1","1","15014","15014","15014","1","1","1","15072","15072","15072","1","1","1","14935","14935","14935","0.8","0.8","0.8","14962","14962","14962"
"125","1","1","1","2307","2307","2307","1","1","1","15018","15018","15018","1","1","1","15076","15076","15076","1","1","1","14939","14939","14939","0.8","0.8","0.8","14966","14966","14966"
"126","1","1","1","2437","2437","2437","1","1","1","16055","16055","16055","1","1","1","16124","16124","16124","1","1","1","15976","15976","15976","0","0","0","16010","16010","16010"
"127","1","1","1","2441","2441","2441","1","1","1","16059","16059","16059","1","1","1","16128","16128","16128","1","1","1","15980","15980","15980","0","0","0","16014","16014","16014"
"128","1","1","1","2445","2445","2445","1","1","1","16063","16063","16063","1","1","1","16132","16132","16132","1","1","1","15984","15984","15984","0","0","0","16018","16018","16018"
"129","1","1","1","2449","2449","2449","1","1","1","16067","16067","16067","1","1","1","16136","16136","16136","1","1","1","15988","15988","15988","1","1","1","16022","16022","16022"
"130","1","1","1","2453","2453","2453","1","1","1","16071","16071","16071","1","1","1","16140","16140","16140","1","1","1","15992","15992","15992","1","1","1","16026","16026","16026"
"131","1","1","1","2457","2457","2457","1","1","1","16075","16075","16075","1","1","1","16144","16144","16144","1","1","1","15996","15996","15996","1","1","1","16030","16030","16030"
"132","1","1","1","2461","2461","2461","1","1","1","16079","16079","16079","1","1","1","16148","16148","16148","1","1","1","16000","16000","16000","1","1","1","16034","16034","16034"
"133","1","1","1","2465","2465","2465","1","1","1","16083","16083","16083","1","1","1","16152","16152","16152","1","1","1","16004","16004","16004","1","1","1","16038","16038","16038"
"134","1","1","1","2469","2469","2469","1","1","1","16087","16087","16087","0.8","0.8","0.8","16156","16156","16156","1","1","1","16008","16008","16008","1","1","1","16042","16042","16042"
"135","1","1","1","2599","2599","2599","1","1","1","17129","17129","17129","1","1","1","17198","17198","17198","1","1","1","17044","17044","17044","1","1","1","17086","17086","17086"
"136","1","1","1","2603","2603","2603","1","1","1","17133","17133","17133","1","1","1","17202","17202","17202","1","1","1","17048","17048","17048","1","1","1","17090","17090","17090"
"137","1","1","1","2607","2607","2607","1","1","1","17137","17137","17137","1","1","1","17206","17206","17206","1","1","1","17052","17052","17052","1","1","1","17094","17094","17094"
"138","1","1","1","2611","2611","2611","1","1","1","17141","17141","17141","1","1","1","17210","17210","17210","1","1","1","17056","17056","17056","1","1","1","17098","17098","17098"
"139","1","1","1","2615","2615","2615","1","1","1","17145","17145","17145","1","1","1","17214","17214","17214","1","1","1","17060","17060","17060","1","1","1","17102","17102","17102"
"140","1","1","1","2619","2619","2619","1","1","1","17149","17149","17149","1","1","1","17218","17218","17218","1","1","1","17064","17064","17064","1","1","1","17106","17106","17106"
"141","1","1","1","2623","2623","2623","1","1","1","17153","17153","17153","1","1","1","17222","17222","17222","1","1","1","17068","17068","17068","1","1","1","17110","17110","17110"
"142","1","1","1","2627","2627","2627","1","1","1","17157","17157","17157","1","1","1","17226","17226","17226","1","1","1","17072","17072","17072","1","1","1","17114","17114","17114"
"143","1","1","1","2631","2631","2631","1","1","1","17161","17161","17161","1","1","1","17230","17230","17230","1","1","1","17076","17076","17076","1","1","1","17118","17118","17118"
"144","1","1","1","2761","2761","2761","1","1","1","18197","18197","18197","1","1","1","18272","18272","18272","1","1","1","18112","18112","18112","1","1","1","18154","18154","18154"
"145","1","1","1","2765","2765","2765","1","1","1","18201","18201","18201","1","1","1","18276","18276","18276","1","1","1","18116","18116","18116","1","1","1","18158","18158","18158"
"146","1","1","1","2769","2769","2769","1","1","1","18205","18205","18205","1","1","1","18280","18280","18280","1","1","1","18120","18120","18120","1","1","1","18162","18162","18162"
"147","1","1","1","2773","2773","2773","1","1","1","18209","18209","18209","1","1","1","18284","18284","18284","1","1","1","18124","18124","18124","1","1","1","18166","18166","18166"
